"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","bpca","A","B","-0.018945419905488","0","1.52713153073537e-39","****","blank-bpca"
"2","blank","GMS","A","C","-0.0137269381333083","0","5.16655804799804e-25","****","blank-GMS"
"3","blank","Impseq","A","D","-0.023694986690068","0","3.46728033529388e-53","****","blank-Impseq"
"4","blank","Impseqrob","A","E","-0.00977269625057042","0","1.4058231856659e-17","****","blank-Impseqrob"
"5","blank","knn","A","F","-0.0089386326326108","0","7.32131181833226e-19","****","blank-knn"
"6","blank","mice","A","G","-0.00800184670160318","0","2.43163224386456e-15","****","blank-mice"
"7","blank","min","A","H","-0.0309734050070427","0","6.10002047675225e-89","****","blank-min"
"8","blank","MinDet","A","I","-0.0249507971673126","0","6.65785602977927e-64","****","blank-MinDet"
"9","blank","MinProb","A","J","-0.0238470545534965","0","4.29993687544035e-57","****","blank-MinProb"
"10","blank","missForest","A","K","-0.0128129900145037","0","4.90642241539563e-33","****","blank-missForest"
"11","blank","MLE","A","L","0.00918477264055913","0","1.23361540257112e-13","****","blank-MLE"
"12","blank","nbavg","A","M","-0.0295294671360787","0","7.24321743587556e-87","****","blank-nbavg"
"13","blank","QRILC","A","N","-0.0189826619152287","0","3.00397003329785e-42","****","blank-QRILC"
"14","blank","SeqKNN","A","O","-0.0133721021246403","0","1.49404794619462e-32","****","blank-SeqKNN"
"15","blank","zero","A","P","-0.0209557941605272","0","4.65564342669323e-37","****","blank-zero"
"16","bpca","GMS","B","C","0.00521848177217968","0","2.39364656091829e-13","****","bpca-GMS"
"17","bpca","Impseq","B","D","-0.00474956678458004","0","1.84074735753847e-28","****","bpca-Impseq"
"18","bpca","Impseqrob","B","E","0.00917272365491758","0","3.73699432008982e-22","****","bpca-Impseqrob"
"19","bpca","knn","B","F","0.0100067872728772","0","1.61128580459202e-32","****","bpca-knn"
"20","bpca","mice","B","G","0.0109435732038848","0","6.06365888076105e-37","****","bpca-mice"
"21","bpca","min","B","H","-0.0120279851015547","0","8.88943291529527e-17","****","bpca-min"
"22","bpca","MinDet","B","I","-0.00600537726182461","0","2.38772425807214e-06","****","bpca-MinDet"
"23","bpca","MinProb","B","J","-0.0049016346480085","0","0.000116472156027328","***","bpca-MinProb"
"24","bpca","missForest","B","K","0.00613242989098431","0","4.20253330886093e-23","****","bpca-missForest"
"25","bpca","MLE","B","L","0.0281301925460471","0.00274127824571296","1.38561046381253e-86","****","bpca-MLE"
"26","bpca","nbavg","B","M","-0.0105840472305908","0","8.71649831577767e-16","****","bpca-nbavg"
"27","bpca","QRILC","B","N","-3.72420097407168e-05","0","0.976187119109559","na","bpca-QRILC"
"28","bpca","SeqKNN","B","O","0.00557331778084767","0","1.77100391349344e-14","****","bpca-SeqKNN"
"29","bpca","zero","B","P","-0.00201037425503924","0","0.292898811612796","na","bpca-zero"
"30","GMS","Impseq","C","D","-0.00996804855675972","0","6.54942544706626e-44","****","GMS-Impseq"
"31","GMS","Impseqrob","C","E","0.0039542418827379","0","1.83918859276395e-05","****","GMS-Impseqrob"
"32","GMS","knn","C","F","0.00478830550069751","0","1.27171245619702e-10","****","GMS-knn"
"33","GMS","mice","C","G","0.00572509143170513","0","2.94402132734771e-11","****","GMS-mice"
"34","GMS","min","C","H","-0.0172464668737344","0","6.73585177784552e-47","****","GMS-min"
"35","GMS","MinDet","C","I","-0.0112238590340043","0","4.6095697642007e-32","****","GMS-MinDet"
"36","GMS","MinProb","C","J","-0.0101201164201882","0","2.12177475972398e-26","****","GMS-MinProb"
"37","GMS","missForest","C","K","0.000913948118804633","0","0.11613479306804","na","GMS-missForest"
"38","GMS","MLE","C","L","0.0229117107738674","0.0023791895188115","1.03113123937074e-81","****","GMS-MLE"
"39","GMS","nbavg","C","M","-0.0158025290027704","0","5.3972794796993e-48","****","GMS-nbavg"
"40","GMS","QRILC","C","N","-0.0052557237819204","0","4.38925560875058e-08","****","GMS-QRILC"
"41","GMS","SeqKNN","C","O","0.000354836008667989","0","0.577340565239826","na","GMS-SeqKNN"
"42","GMS","zero","C","P","-0.00722885602721892","0","3.69308603334436e-05","****","GMS-zero"
"43","Impseq","Impseqrob","D","E","0.0139222904394976","0","1.90451067365442e-44","****","Impseq-Impseqrob"
"44","Impseq","knn","D","F","0.0147563540574572","0","7.64558589812832e-52","****","Impseq-knn"
"45","Impseq","mice","D","G","0.0156931399884648","0","2.3071599962665e-57","****","Impseq-mice"
"46","Impseq","min","D","H","-0.00727841831697464","0","1.80047453247913e-07","****","Impseq-min"
"47","Impseq","MinDet","D","I","-0.00125581047724458","0","0.300954115062067","na","Impseq-MinDet"
"48","Impseq","MinProb","D","J","-0.000152067863428463","0","0.900457237551396","na","Impseq-MinProb"
"49","Impseq","missForest","D","K","0.0108819966755644","0","1.18808441342097e-52","****","Impseq-missForest"
"50","Impseq","MLE","D","L","0.0328797593306272","0.00319413438066252","1.67373619552335e-101","****","Impseq-MLE"
"51","Impseq","nbavg","D","M","-0.00583448044601072","0","4.39172420914524e-06","****","Impseq-nbavg"
"52","Impseq","QRILC","D","N","0.00471232477483932","0","0.000149644754512502","***","Impseq-QRILC"
"53","Impseq","SeqKNN","D","O","0.0103228845654277","0","7.17874648636451e-42","****","Impseq-SeqKNN"
"54","Impseq","zero","D","P","0.0027391925295408","0","0.164532103952617","na","Impseq-zero"
"55","Impseqrob","knn","E","F","0.000834063617959613","0","0.345297575488743","na","Impseqrob-knn"
"56","Impseqrob","mice","E","G","0.00177084954896723","0","0.0242281858086865","*","Impseqrob-mice"
"57","Impseqrob","min","E","H","-0.0212007087564723","0","1.4080388574616e-46","****","Impseqrob-min"
"58","Impseqrob","MinDet","E","I","-0.0151781009167422","0","8.38039392238171e-30","****","Impseqrob-MinDet"
"59","Impseqrob","MinProb","E","J","-0.0140743583029261","0","1.02572954232813e-25","****","Impseqrob-MinProb"
"60","Impseqrob","missForest","E","K","-0.00304029376393326","0","3.27165353291555e-05","****","Impseqrob-missForest"
"61","Impseqrob","MLE","E","L","0.0189574688911295","0.00225046068832602","3.47366228673643e-57","****","Impseqrob-MLE"
"62","Impseqrob","nbavg","E","M","-0.0197567708855083","0","7.65758415408064e-44","****","Impseqrob-nbavg"
"63","Impseqrob","QRILC","E","N","-0.00920996566465829","0","2.25136473155496e-13","****","Impseqrob-QRILC"
"64","Impseqrob","SeqKNN","E","O","-0.00359940587406991","0","2.59419219767186e-05","****","Impseqrob-SeqKNN"
"65","Impseqrob","zero","E","P","-0.0111830979099568","0","1.40614995974716e-10","****","Impseqrob-zero"
"66","knn","mice","F","G","0.000936785931007622","0","0.169297956840252","na","knn-mice"
"67","knn","min","F","H","-0.0220347723744319","0","1.53792963179449e-61","****","knn-min"
"68","knn","MinDet","F","I","-0.0160121645347018","0","1.01704398050963e-42","****","knn-MinDet"
"69","knn","MinProb","F","J","-0.0149084219208857","0","3.52369734805491e-37","****","knn-MinProb"
"70","knn","missForest","F","K","-0.00387435738189288","0","1.65281848069867e-10","****","knn-missForest"
"71","knn","MLE","F","L","0.0181234052731699","0.00225046068832602","5.99116605557879e-71","****","knn-MLE"
"72","knn","nbavg","F","M","-0.0205908345034679","0","9.31428292034113e-65","****","knn-nbavg"
"73","knn","QRILC","F","N","-0.0100440292826179","0","1.70202568406151e-20","****","knn-QRILC"
"74","knn","SeqKNN","F","O","-0.00443346949202952","0","1.9913148369978e-16","****","knn-SeqKNN"
"75","knn","zero","F","P","-0.0120171615279164","0","9.51405959497542e-13","****","knn-zero"
"76","mice","min","G","H","-0.0229715583054395","0","2.15471997224051e-57","****","mice-min"
"77","mice","MinDet","G","I","-0.0169489504657094","0","4.72189835112321e-39","****","mice-MinDet"
"78","mice","MinProb","G","J","-0.0158452078518933","0","3.46799951191495e-34","****","mice-MinProb"
"79","mice","missForest","G","K","-0.0048111433129005","0","4.99689399934684e-13","****","mice-missForest"
"80","mice","MLE","G","L","0.0171866193421623","0.00173433860838101","1.95243159524304e-57","****","mice-MLE"
"81","mice","nbavg","G","M","-0.0215276204344756","0","1.90870257007936e-64","****","mice-nbavg"
"82","mice","QRILC","G","N","-0.0109808152136255","0","3.48625647404517e-20","****","mice-QRILC"
"83","mice","SeqKNN","G","O","-0.00537025542303714","0","1.04835561828178e-14","****","mice-SeqKNN"
"84","mice","zero","G","P","-0.0129539474589241","0","4.28551779551252e-14","****","mice-zero"
"85","min","MinDet","H","I","0.00602260783973006","0","1.84611640891583e-18","****","min-MinDet"
"86","min","MinProb","H","J","0.00712635045354618","0","3.63170264049139e-24","****","min-MinProb"
"87","min","missForest","H","K","0.018160414992539","0","3.72140328132787e-49","****","min-missForest"
"88","min","MLE","H","L","0.0401581776476018","0.00684689953188844","7.75787158861082e-133","****","min-MLE"
"89","min","nbavg","H","M","0.00144393787096393","0","0.0688008923169748","na","min-nbavg"
"90","min","QRILC","H","N","0.011990743091814","0","1.41172837550166e-43","****","min-QRILC"
"91","min","SeqKNN","H","O","0.0176013028824023","0","2.21776024261035e-41","****","min-SeqKNN"
"92","min","zero","H","P","0.0100176108465154","0","7.71593284905072e-09","****","min-zero"
"93","MinDet","MinProb","I","J","0.00110374261381611","0","1.63257733081109e-07","****","MinDet-MinProb"
"94","MinDet","missForest","I","K","0.0121378071528089","0","4.65852203104526e-32","****","MinDet-missForest"
"95","MinDet","MLE","I","L","0.0341355698078717","0.00501871629263045","5.65317425227098e-111","****","MinDet-MLE"
"96","MinDet","nbavg","I","M","-0.00457866996876614","0","1.49161225422052e-09","****","MinDet-nbavg"
"97","MinDet","QRILC","I","N","0.0059681352520839","0","5.73301190961358e-22","****","MinDet-QRILC"
"98","MinDet","SeqKNN","I","O","0.0115786950426723","0","1.82062667463794e-25","****","MinDet-SeqKNN"
"99","MinDet","zero","I","P","0.00399500300678537","0","0.0265486670491033","*","MinDet-zero"
"100","MinProb","missForest","J","K","0.0110340645389928","0","1.30284686261281e-26","****","MinProb-missForest"
"101","MinProb","MLE","J","L","0.0330318271940556","0.004215018947889","1.36124371425464e-106","****","MinProb-MLE"
"102","MinProb","nbavg","J","M","-0.00568241258258225","0","1.19476096509018e-13","****","MinProb-nbavg"
"103","MinProb","QRILC","J","N","0.00486439263826778","0","9.29656150091604e-17","****","MinProb-QRILC"
"104","MinProb","SeqKNN","J","O","0.0104749524288562","0","6.81962754436486e-21","****","MinProb-SeqKNN"
"105","MinProb","zero","J","P","0.00289126039296926","0","0.107617494794972","na","MinProb-zero"
"106","missForest","MLE","K","L","0.0219977626550628","0.00242470128610445","3.91823468202812e-83","****","missForest-MLE"
"107","missForest","nbavg","K","M","-0.0167164771215751","0","1.11069689398171e-49","****","missForest-nbavg"
"108","missForest","QRILC","K","N","-0.00616967190072503","0","1.88559613276856e-10","****","missForest-QRILC"
