"dlfq","LFQ","top1","top3"
"limma|DIANN||MLE|blank_nMcc_B.A_HYEtims735_DIA",0.909739096460693,0.836715887288533,0.754486835295968,0.789914235771316
"limma|DIANN||MLE|blank_nMcc_C.A_MYtims709_DIA",0.616335240582921,0.719681433870727,0.50610421428955,0.57499532176187
"limma|DIANN||MLE|blank_nMcc_C.B_MYtims709_DIA",0.752535992989989,0.80650805322907,0.67556710492169,0.734348292635853
"limma|DIANN||MLE|blank_nMcc_E.C_MYtims709_DIA",0.71242023852578,0.521144041085633,0.594383217923306,0.609048020772991
"limma|DIANN||MLE|blank_nMcc_E.B_HEof_n600_DIA",0.626152700183077,0.661164710848865,0.579199069892975,0.553510738125732
"limma|DIANN||MLE|blank_nMcc_E.C_HEof_n600_DIA",0.846323090473725,0.887059600136717,0.629564215484087,0.684959154878023
"limma|DIANN||MLE|blank_nMcc_G.F_HEof_n600_DIA",1,0.994756773254094,0.926176945568625,0.944320695620749
"limma|DIANN||MLE|blank_nMcc_A.B_HEof_w600_DIA",0.5,0.498265661391619,0.539196077940371,0.5
"limma|DIANN||MLE|blank_nMcc_E.A_HEof_w600_DIA",0.606198694268995,0.642755343879466,0.518963994235627,0.508034901827199
"limma|DIANN||MLE|blank_nMcc_F.C_HEof_w600_DIA",0.932183887558706,0.937767550432403,0.748146037500638,0.820483681659129
"limma|DIANN||MLE|blank_nMcc_C.B_HYtims134_DIA",0.518455669429338,0.495704897972865,0.494487951230139,0.504922853872898
"limma|DIANN||MLE|blank_nMcc_D.B_HYtims134_DIA",0.687443842544828,0.581935180941376,0.63073976681337,0.676409885615418
"limma|DIANN||MLE|blank_nMcc_D.C_HYtims134_DIA",0.52096222836803,0.5,0.501495405473561,0.5
"limma|DIANN||MLE|blank_nMcc_B.A_HEqe777_DIA",0.534336158142595,0.537874417592228,0.500658065928778,0.530323118174878
"limma|DIANN||MLE|blank_nMcc_C.A_HEqe777_DIA",0.939122702852018,0.923980898157936,0.684276664095654,0.756944996560908
"limma|DIANN||MLE|blank_nMcc_C.B_HEqe777_DIA",0.904318049490624,0.865457872047201,0.646611258763684,0.647710079959161
"limma|DIANN||MLE|blank_nMcc_B.A_HEqe408_DIA",0.916782528316746,0.901961305341734,0.805223793561174,0.838885600657195
"limma|DIANN||MLE|sum_nMcc_B.A_HYEtims735_DIA",0.562148541094111,0.553428497212763,0.583109550639883,0.564460021646909
"limma|DIANN||MLE|sum_nMcc_C.A_MYtims709_DIA",0.561052443308285,0.592336075687636,0.532187298231744,0.562971807503547
"limma|DIANN||MLE|sum_nMcc_C.B_MYtims709_DIA",0.517192788885684,0.526264345677897,0.50805332564009,0.522421765196057
