"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","center.mean","A","B","0.0162667206813435","0.00302811921930701","2.54849485450689e-107","****","blank-center.mean"
"2","blank","center.median","A","C","0.0179673915807381","0.00493962268366399","6.27455649204037e-131","****","blank-center.median"
"3","blank","div.mean","A","D","0.191826824165202","0.189351766570583","0","****","blank-div.mean"
"4","blank","div.median","A","E","0.191755526426906","0.189148975286509","0","****","blank-div.median"
"5","blank","lossf","A","F","0.0319858274189258","0.00141793475983798","1.87920818790783e-171","****","blank-lossf"
"6","blank","max","A","G","0.191633845191881","0.18944107525108","0","****","blank-max"
"7","blank","MBQN","A","H","0.0744400988797846","0.042512297432777","0","****","blank-MBQN"
"8","blank","quantiles","A","I","0.0145564421771519","0.00316687837239593","9.72605850218201e-96","****","blank-quantiles"
"9","blank","quantiles.robust","A","J","0.0720920834255814","0.031613741250996","0","****","blank-quantiles.robust"
"10","blank","Rlr","A","K","0.0316802922454133","0.00300706090338099","6.22846104920147e-180","****","blank-Rlr"
"11","blank","sum","A","L","0.196030933417563","0.196606320803647","0","****","blank-sum"
"12","blank","TIC","A","M","0.0720879952801658","0.0123552506903201","5.64663902350815e-252","****","blank-TIC"
"13","blank","vsn","A","N","0.190923256057779","0.18944107525108","0","****","blank-vsn"
"14","center.mean","center.median","B","C","0.00170067089939462","0","1.69656411311803e-10","****","center.mean-center.median"
"15","center.mean","div.mean","B","D","0.175560103483859","0.152342817713809","0","****","center.mean-div.mean"
"16","center.mean","div.median","B","E","0.175488805745562","0.152342817713809","0","****","center.mean-div.median"
"17","center.mean","lossf","B","F","0.0157191067375823","0","8.06567246215236e-63","****","center.mean-lossf"
"18","center.mean","max","B","G","0.175367124510538","0.150866875288654","0","****","center.mean-max"
"19","center.mean","MBQN","B","H","0.0581733781984412","0.023824302629093","2.50936336775286e-317","****","center.mean-MBQN"
"20","center.mean","quantiles","B","I","-0.00171027850419162","0","5.71636038845108e-05","****","center.mean-quantiles"
"21","center.mean","quantiles.robust","B","J","0.0558253627442379","0.0161513205899659","1.66386835701095e-290","****","center.mean-quantiles.robust"
"22","center.mean","Rlr","B","K","0.0154135715640698","0","1.64924063512498e-64","****","center.mean-Rlr"
"23","center.mean","sum","B","L","0.17976421273622","0.158510456115669","0","****","center.mean-sum"
"24","center.mean","TIC","B","M","0.0558212745988223","0.011115363142148","4.78372152706847e-198","****","center.mean-TIC"
"25","center.mean","vsn","B","N","0.174656535376435","0.150866875288654","0","****","center.mean-vsn"
"26","center.median","div.mean","C","D","0.173859432584464","0.155895778524817","0","****","center.median-div.mean"
"27","center.median","div.median","C","E","0.173788134846168","0.155889910561778","0","****","center.median-div.median"
"28","center.median","lossf","C","F","0.0140184358381877","0","1.17159871772717e-55","****","center.median-lossf"
"29","center.median","max","C","G","0.173666453611143","0.155425527644423","0","****","center.median-max"
"30","center.median","MBQN","C","H","0.0564727072990465","0.022803504259903","2.43120716382571e-311","****","center.median-MBQN"
"31","center.median","quantiles","C","I","-0.00341094940358624","0","1.63390228193296e-14","****","center.median-quantiles"
"32","center.median","quantiles.robust","C","J","0.0541246918448433","0.016279362364063","2.3677446609388e-285","****","center.median-quantiles.robust"
"33","center.median","Rlr","C","K","0.0137129006646752","0","3.9717035425768e-57","****","center.median-Rlr"
"34","center.median","sum","C","L","0.178063541836825","0.159432667569609","0","****","center.median-sum"
"35","center.median","TIC","C","M","0.0541206036994277","0.01049810037446","6.59801074795863e-196","****","center.median-TIC"
"36","center.median","vsn","C","N","0.172955864477041","0.155798622910407","0","****","center.median-vsn"
"37","div.mean","div.median","D","E","-7.12977382961258e-05","0","0.000113160245219667","***","div.mean-div.median"
"38","div.mean","lossf","D","F","-0.159840996746276","-0.102375837317861","0","****","div.mean-lossf"
"39","div.mean","max","D","G","-0.000192978973320933","0","0.00330354399090679","**","div.mean-max"
"40","div.mean","MBQN","D","H","-0.117386725285417","-0.078579136916574","0","****","div.mean-MBQN"
"41","div.mean","quantiles","D","I","-0.17727038198805","-0.154276527305926","0","****","div.mean-quantiles"
"42","div.mean","quantiles.robust","D","J","-0.119734740739621","-0.0408130939249119","0","****","div.mean-quantiles.robust"
"43","div.mean","Rlr","D","K","-0.160146531919789","-0.105885410315113","0","****","div.mean-Rlr"
"44","div.mean","sum","D","L","0.00420410925236127","0","9.5242228649075e-27","****","div.mean-sum"
"45","div.mean","TIC","D","M","-0.119738828885036","-0.069642044658524","0","****","div.mean-TIC"
"46","div.mean","vsn","D","N","-0.000903568107423357","0","0.00493734661457336","**","div.mean-vsn"
"47","div.median","lossf","E","F","-0.15976969900798","-0.102282849631568","0","****","div.median-lossf"
"48","div.median","max","E","G","-0.000121681235024807","0","0.0585372882651537","na","div.median-max"
"49","div.median","MBQN","E","H","-0.117315427547121","-0.078556141841282","0","****","div.median-MBQN"
"50","div.median","quantiles","E","I","-0.177199084249754","-0.154276527305926","0","****","div.median-quantiles"
"51","div.median","quantiles.robust","E","J","-0.119663443001325","-0.0408130939249119","0","****","div.median-quantiles.robust"
"52","div.median","Rlr","E","K","-0.160075234181493","-0.105885410315113","0","****","div.median-Rlr"
"53","div.median","sum","E","L","0.00427540699065739","0","2.92068694883686e-27","****","div.median-sum"
"54","div.median","TIC","E","M","-0.11966753114674","-0.069642044658524","0","****","div.median-TIC"
"55","div.median","vsn","E","N","-0.000832270369127231","0","0.00980427099574143","**","div.median-vsn"
"56","lossf","max","F","G","0.159648017772955","0.101954295144995","0","****","lossf-max"
"57","lossf","MBQN","F","H","0.0424542714608588","0.00537278392731799","8.71586700884658e-171","****","lossf-MBQN"
"58","lossf","quantiles","F","I","-0.017429385241774","0","9.66176190017776e-81","****","lossf-quantiles"
"59","lossf","quantiles.robust","F","J","0.0401062560066556","0.0171143296158141","1.5311682070219e-233","****","lossf-quantiles.robust"
"60","lossf","Rlr","F","K","-0.000305535173512534","0","0.092955867761342","na","lossf-Rlr"
"61","lossf","sum","F","L","0.164045105998638","0.112992864195011","0","****","lossf-sum"
"62","lossf","TIC","F","M","0.04010216786124","0.012824885210546","1.99836953454067e-205","****","lossf-TIC"
"63","lossf","vsn","F","N","0.158937428638853","0.101892468845241","0","****","lossf-vsn"
"64","max","MBQN","G","H","-0.117193746312097","-0.078114948859483","0","****","max-MBQN"
"65","max","quantiles","G","I","-0.177077403014729","-0.153525314011647","0","****","max-quantiles"
"66","max","quantiles.robust","G","J","-0.1195417617663","-0.040274800712682","0","****","max-quantiles.robust"
"67","max","Rlr","G","K","-0.159953552946468","-0.105226468272919","0","****","max-Rlr"
"68","max","sum","G","L","0.0043970882256822","0","1.20566493374331e-26","****","max-sum"
"69","max","TIC","G","M","-0.119545849911715","-0.069642044658524","0","****","max-TIC"
"70","max","vsn","G","N","-0.000710589134102424","0","0.0350857150637179","*","max-vsn"
"71","MBQN","quantiles","H","I","-0.0598836567026328","-0.025309602320234","0","****","MBQN-quantiles"
"72","MBQN","quantiles.robust","H","J","-0.00234801545420326","0","0.161698937891874","na","MBQN-quantiles.robust"
"73","MBQN","Rlr","H","K","-0.0427598066343714","-0.00722613752418599","6.4961732007517e-178","****","MBQN-Rlr"
"74","MBQN","sum","H","L","0.121590834537779","0.081557310036992","0","****","MBQN-sum"
"75","MBQN","TIC","H","M","-0.00235210359961882","0","0.248921882941144","na","MBQN-TIC"
"76","MBQN","vsn","H","N","0.116483157177994","0.077481588829849","0","****","MBQN-vsn"
"77","quantiles","quantiles.robust","I","J","0.0575356412484295","0.0156166058953511","1.67903480515017e-305","****","quantiles-quantiles.robust"
"78","quantiles","Rlr","I","K","0.0171238500682614","0","1.59576338528572e-83","****","quantiles-Rlr"
"79","quantiles","sum","I","L","0.181474491240411","0.161261150854818","0","****","quantiles-sum"
"80","quantiles","TIC","I","M","0.057531553103014","0.010653592660084","2.0203950535301e-209","****","quantiles-TIC"
"81","quantiles","vsn","I","N","0.176366813880627","0.152969127991277","0","****","quantiles-vsn"
"82","quantiles.robust","Rlr","J","K","-0.0404117911801681","-0.016109538752052","7.07304049161002e-237","****","quantiles.robust-Rlr"
"83","quantiles.robust","sum","J","L","0.123938849991982","0.044078501239986","0","****","quantiles.robust-sum"
"84","quantiles.robust","TIC","J","M","-4.08814541555802e-06","0","0.997843199054249","na","quantiles.robust-TIC"
"85","quantiles.robust","vsn","J","N","0.118831172632197","0.039828366275557","0","****","quantiles.robust-vsn"
"86","Rlr","sum","K","L","0.16435064117215","0.116627437005125","0","****","Rlr-sum"
"87","Rlr","TIC","K","M","0.0404077030347525","0.011742264995266","5.59131829937914e-206","****","Rlr-TIC"
"88","Rlr","vsn","K","N","0.159242963812365","0.10509332203349","0","****","Rlr-vsn"
"89","sum","TIC","L","M","-0.123942938137398","-0.071984663055918","0","****","sum-TIC"
"90","sum","vsn","L","N","-0.00510767735978463","0","6.26616655010911e-26","****","sum-vsn"
"91","TIC","vsn","M","N","0.118835260777613","0.068538801140274","0","****","TIC-vsn"
