"dlfq","LFQ","top1","top3"
"limma|DIANN||MLE|blank_pauc001_B.A_HYEtims735_DIA",0.81249848886943,0.736645016553943,0.595612079481799,0.621545717347695
"limma|DIANN||MLE|blank_pauc001_C.B_MYtims709_DIA",0.525316538456006,0.567835122674053,0.520218624555806,0.528135434091388
"limma|DIANN||MLE|blank_pauc001_C.A_MYtims709_DIA",0.650066003077827,0.745814780012118,0.539845765563735,0.597774826434905
"limma|DIANN||MLE|blank_pauc001_E.C_MYtims709_DIA",0.657429332729908,0.602716925564195,0.538266093896209,0.555488439252899
"limma|DIANN||MLE|blank_pauc001_E.C_HEof_n600_DIA",0.549871377935795,0.556432736259446,0.500928505106778,0.514051221754081
"limma|DIANN||MLE|blank_pauc001_G.F_HEof_n600_DIA",0.759795962169249,0.784155612478984,0.532973644530296,0.616369529479648
"limma|DIANN||MLE|blank_pauc001_E.B_HEof_n600_DIA",0.998541920372522,0.994410694761334,0.879027993573563,0.961565021019676
"limma|DIANN||MLE|blank_pauc001_E.A_HEof_w600_DIA",0.49748743718593,0.497859799090437,0.507426103839019,0.506895758766816
"limma|DIANN||MLE|blank_pauc001_A.B_HEof_w600_DIA",0.534522653371552,0.567579335733604,0.500531617900377,0.501664912285168
"limma|DIANN||MLE|blank_pauc001_F.C_HEof_w600_DIA",0.883769573975925,0.883631684257152,0.635695363002109,0.736985099286553
"limma|DIANN||MLE|blank_pauc001_C.B_HYtims134_DIA",0.613050567824437,0.605739390376863,0.522078560025437,0.539415146347769
"limma|DIANN||MLE|blank_pauc001_D.B_HYtims134_DIA",0.725803020459979,0.687139313844267,0.553449780729034,0.60109163472921
"limma|DIANN||MLE|blank_pauc001_D.C_HYtims134_DIA",0.616778343062827,0.583193684239731,0.52609889585328,0.548985883062388
"limma|DIANN||MLE|blank_pauc001_C.A_HEqe777_DIA",0.724326754885347,0.749608626149977,0.524392572187713,0.540083329254146
"limma|DIANN||MLE|blank_pauc001_B.A_HEqe777_DIA",0.842873612630757,0.801810222619936,0.536401189334945,0.604573315658323
"limma|DIANN||MLE|blank_pauc001_C.B_HEqe777_DIA",0.85256079535903,0.792495064638291,0.528653791251851,0.55466028748364
"limma|DIANN||MLE|blank_pauc001_B.A_HEqe408_DIA",0.83881914093197,0.780499000029206,0.652010906107818,0.749009211577346
"limma|DIANN||MLE|sum_pauc001_B.A_HYEtims735_DIA",0.813494979763235,0.737748542928019,0.595851852193299,0.622464557396542
"limma|DIANN||MLE|sum_pauc001_C.B_MYtims709_DIA",0.529518939727879,0.569723906423219,0.522643447131646,0.530882678415645
"limma|DIANN||MLE|sum_pauc001_C.A_MYtims709_DIA",0.655940418088085,0.748501274755007,0.540692222891349,0.599117704662206
"limma|DIANN||MLE|sum_pauc001_E.C_MYtims709_DIA",0.672230078174815,0.608612781016456,0.540889132954989,0.556202037566494
"limma|DIANN||MLE|sum_pauc001_E.C_HEof_n600_DIA",0.550600417749534,0.555217669903215,0.501171518378024,0.514051221754081
"limma|DIANN||MLE|sum_pauc001_G.F_HEof_n600_DIA",0.756879802914293,0.781725479766521,0.531307982966519,0.619285688734605
"limma|DIANN||MLE|sum_pauc001_E.B_HEof_n600_DIA",0.998541920372522,0.99465370803258,0.878784980302316,0.962051047562169
"limma|DIANN||MLE|sum_pauc001_E.A_HEof_w600_DIA",0.49748743718593,0.498323534566128,0.507426103839019,0.506100241158511
"limma|DIANN||MLE|sum_pauc001_A.B_HEof_w600_DIA",0.534982833790703,0.559366456140887,0.500531617900377,0.501592308044783
"limma|DIANN||MLE|sum_pauc001_F.C_HEof_w600_DIA",0.882708883831518,0.882305821576644,0.633899296380586,0.735924350010284
"limma|DIANN||MLE|sum_pauc001_C.B_HYtims134_DIA",0.609203395481726,0.602438642537094,0.520424829246489,0.535731995777119
"limma|DIANN||MLE|sum_pauc001_D.B_HYtims134_DIA",0.721593234689327,0.69087820996856,0.551685880513693,0.59680180912875
"limma|DIANN||MLE|sum_pauc001_D.C_HYtims134_DIA",0.614470269787673,0.577306419466198,0.523523078198496,0.545778232384734
"limma|DIANN||MLE|sum_pauc001_C.A_HEqe777_DIA",0.721416529058402,0.746414520179293,0.524053857013904,0.539750684244743
"limma|DIANN||MLE|sum_pauc001_B.A_HEqe777_DIA",0.840449908663472,0.799504468853218,0.536505872409717,0.604357406816606
"limma|DIANN||MLE|sum_pauc001_C.B_HEqe777_DIA",0.850330100810855,0.787797317152354,0.528446366100986,0.554246876574188
"limma|DIANN||MLE|sum_pauc001_B.A_HEqe408_DIA",0.839399266990387,0.781816227432434,0.652010906107818,0.748865886315855
"limma|DIANN||MLE|max_pauc001_B.A_HYEtims735_DIA",0.81379892908936,0.738019133467536,0.595858208418668,0.622565891519495
"limma|DIANN||MLE|max_pauc001_C.B_MYtims709_DIA",0.528339824215232,0.568906195539911,0.521099200079623,0.5297056489765
"limma|DIANN||MLE|max_pauc001_C.A_MYtims709_DIA",0.655048321850842,0.747813016648615,0.540272737522539,0.598461974435803
"limma|DIANN||MLE|max_pauc001_E.C_MYtims709_DIA",0.670708060482645,0.606939060823551,0.539618781840641,0.555648728863797
"limma|DIANN||MLE|max_pauc001_E.C_HEof_n600_DIA",0.551086444292027,0.557161776073186,0.501414531649271,0.514051221754081
"limma|DIANN||MLE|max_pauc001_G.F_HEof_n600_DIA",0.758337882541771,0.783426572665245,0.532523049322751,0.619528702005851
"limma|DIANN||MLE|max_pauc001_E.B_HEof_n600_DIA",0.998541920372522,0.99465370803258,0.878784980302316,0.961078994477183
"limma|DIANN||MLE|max_pauc001_E.A_HEof_w600_DIA",0.49748743718593,0.498323534566128,0.507426103839019,0.506895758766816
"limma|DIANN||MLE|max_pauc001_A.B_HEof_w600_DIA",0.535513178862906,0.559631628676988,0.500531617900377,0.501592308044783
"limma|DIANN||MLE|max_pauc001_F.C_HEof_w600_DIA",0.883239228903722,0.883101339184949,0.633899296380586,0.736454695082487
"limma|DIANN||MLE|max_pauc001_C.B_HYtims134_DIA",0.609588404440214,0.602888750668466,0.520296521799664,0.535584319529556
"limma|DIANN||MLE|max_pauc001_D.B_HYtims134_DIA",0.723461821708155,0.691851763398271,0.551869633653187,0.597126527625964
"limma|DIANN||MLE|max_pauc001_D.C_HYtims134_DIA",0.61455149230762,0.577326210348464,0.523564712704288,0.545167507284213
"limma|DIANN||MLE|max_pauc001_C.A_HEqe777_DIA",0.722252539724982,0.747214182556022,0.524099292376218,0.540336800418596
"limma|DIANN||MLE|max_pauc001_B.A_HEqe777_DIA",0.841285555847154,0.801738400822409,0.536619279074053,0.604759418902362
"limma|DIANN||MLE|max_pauc001_C.B_HEqe777_DIA",0.851047979535418,0.790077903363179,0.528405042941864,0.554564793256543
"limma|DIANN||MLE|max_pauc001_B.A_HEqe408_DIA",0.839788292700149,0.782259853241812,0.652004081095366,0.748906836390567
"limma|DIANN||MLE|center.mean_pauc001_B.A_HYEtims735_DIA",0.655575108353587,0.667613699552406,0.582124147716066,0.596185442791252
"limma|DIANN||MLE|center.mean_pauc001_C.B_MYtims709_DIA",0.598839720880035,0.515062669349628,0.517468315992903,0.523790181101486
"limma|DIANN||MLE|center.mean_pauc001_C.A_MYtims709_DIA",0.680185477561053,0.52586650872509,0.53683651370011,0.56697445964039
"limma|DIANN||MLE|center.mean_pauc001_E.C_MYtims709_DIA",0.548843963713826,0.513201653330631,0.533113728063032,0.529308591058195
"limma|DIANN||MLE|center.mean_pauc001_E.C_HEof_n600_DIA",0.55084343102078,0.565929694899754,0.498721944603861,0.512593142126603
"limma|DIANN||MLE|center.mean_pauc001_G.F_HEof_n600_DIA",0.755421723286815,0.762731562485905,0.538527518434015,0.640505607579837
"limma|DIANN||MLE|center.mean_pauc001_E.B_HEof_n600_DIA",0.999027946915015,0.992709601862609,0.86321268988085,0.948442304372373
"limma|DIANN||MLE|center.mean_pauc001_E.A_HEof_w600_DIA",0.49748743718593,0.49748743718593,0.507426103839019,0.50265299818919
"limma|DIANN||MLE|center.mean_pauc001_A.B_HEof_w600_DIA",0.535582197970603,0.53484494407193,0.501737516525552,0.502918170725291
"limma|DIANN||MLE|center.mean_pauc001_F.C_HEof_w600_DIA",0.885095436656433,0.870388145769374,0.632386009751561,0.728855778385341
"limma|DIANN||MLE|center.mean_pauc001_C.B_HYtims134_DIA",0.576943435009274,0.584391120607919,0.511470192241395,0.525641010581017
"limma|DIANN||MLE|center.mean_pauc001_D.B_HYtims134_DIA",0.656928191437472,0.649354482669015,0.53006450391334,0.569999451037293
"limma|DIANN||MLE|center.mean_pauc001_D.C_HYtims134_DIA",0.592262652389819,0.56356209253348,0.522047746927246,0.542992475989092
"limma|DIANN||MLE|center.mean_pauc001_C.A_HEqe777_DIA",0.72117008765321,0.710544539897356,0.529369249180311,0.545006363440582
"limma|DIANN||MLE|center.mean_pauc001_B.A_HEqe777_DIA",0.772427355552832,0.756366500199132,0.536888074677503,0.59662430815074
"limma|DIANN||MLE|center.mean_pauc001_C.B_HEqe777_DIA",0.790553055477773,0.778696163362038,0.536707060194044,0.575079171936669
"limma|DIANN||MLE|center.mean_pauc001_B.A_HEqe408_DIA",0.703552171642795,0.666563717041339,0.636799181854635,0.671236803067198
"limma|DIANN||MLE|center.median_pauc001_B.A_HYEtims735_DIA",0.65879710400851,0.711676230825137,0.582174335756508,0.597640716480156
"limma|DIANN||MLE|center.median_pauc001_C.B_MYtims709_DIA",0.573288260880666,0.516905825502106,0.517320069353577,0.521990269013978
"limma|DIANN||MLE|center.median_pauc001_C.A_MYtims709_DIA",0.6161506548038,0.531404620762803,0.537456357752842,0.560003501944752
"limma|DIANN||MLE|center.median_pauc001_E.C_MYtims709_DIA",0.518264556412587,0.518184565525325,0.52874796219848,0.526877634439352
"limma|DIANN||MLE|center.median_pauc001_E.C_HEof_n600_DIA",0.550600417749534,0.56228566741083,0.499693997688847,0.512593142126603
"limma|DIANN||MLE|center.median_pauc001_G.F_HEof_n600_DIA",0.756636789643047,0.768077854453325,0.540267493456139,0.645851899547257
"limma|DIANN||MLE|center.median_pauc001_E.B_HEof_n600_DIA",0.999027946915015,0.993924668218841,0.866614875678299,0.932121533075467
"limma|DIANN||MLE|center.median_pauc001_E.A_HEof_w600_DIA",0.49748743718593,0.49748743718593,0.507160931302918,0.504509205941901
