"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","bpca","A","B","-0.0479310675469679","-0.000620433924610503","3.49402740912671e-138","****","blank-bpca"
"2","blank","GMS","A","C","-0.0407740180057857","-0.0013379394291495","2.24585973370321e-141","****","blank-GMS"
"3","blank","Impseq","A","D","-0.0553607773163811","-0.000842871604436468","5.31439728355706e-158","****","blank-Impseq"
"4","blank","Impseqrob","A","E","-0.0234472374627522","-0.000151784369250563","4.13422530442597e-82","****","blank-Impseqrob"
"5","blank","knn","A","F","-0.0223167050055505","-0.000574299322229993","2.33948526007311e-94","****","blank-knn"
"6","blank","mice","A","G","-0.0163631129458094","0","6.94201835059014e-48","****","blank-mice"
"7","blank","min","A","H","-0.047355598002972","-0.000920800324059501","9.30737340028503e-125","****","blank-min"
"8","blank","MinDet","A","I","-0.0498529002433775","-0.000398826040306527","4.00250475283244e-145","****","blank-MinDet"
"9","blank","MinProb","A","J","-0.0441416525183948","-2.56589993284928e-05","1.03814866711862e-119","****","blank-MinProb"
"10","blank","missForest","A","K","-0.0314838034655361","-0.00142406649815152","1.06006975842016e-130","****","blank-missForest"
"11","blank","MLE","A","L","0.0168019232698655","0.00575955528083497","7.64735007910476e-122","****","blank-MLE"
"12","blank","nbavg","A","M","-0.0471993455238334","-0.000104480429280518","1.46449472473347e-137","****","blank-nbavg"
"13","blank","QRILC","A","N","-0.0337042289360713","0","1.92099413524069e-85","****","blank-QRILC"
"14","blank","SeqKNN","A","O","-0.0328476140772507","-0.00096139409618301","1.74221437096369e-126","****","blank-SeqKNN"
"15","blank","zero","A","P","-0.0179745495784118","0","9.92517049092175e-37","****","blank-zero"
"16","bpca","GMS","B","C","0.00715704954118221","0.000615590301777491","2.72250442649897e-17","****","bpca-GMS"
"17","bpca","Impseq","B","D","-0.00742970976941324","-1.79704404104641e-05","3.92002545484689e-43","****","bpca-Impseq"
"18","bpca","Impseqrob","B","E","0.0244838300842157","5.27544311030026e-05","5.09344548952055e-74","****","bpca-Impseqrob"
"19","bpca","knn","B","F","0.0256143625414174","0.00260347935963151","2.49744834175329e-106","****","bpca-knn"
"20","bpca","mice","B","G","0.0315679546011585","0.00146584891731955","1.0287361144866e-120","****","bpca-mice"
"21","bpca","min","B","H","0.000575469543995891","0.00168012377577703","0.749243581831904","na","bpca-min"
