"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","ANOVA","DEP","A","B","-0.226339460848541","-0.207765161054635","0","****","ANOVA-DEP"
"2","ANOVA","limma","A","C","-0.227983781096684","-0.210648776672846","0","****","ANOVA-limma"
"3","ANOVA","proDA","A","D","-0.219803252098183","-0.199337550436374","0","****","ANOVA-proDA"
"4","ANOVA","ROTS","A","E","-0.242515345519246","-0.226578012153716","0","****","ANOVA-ROTS"
"5","ANOVA","SAM","A","F","-0.220040684621027","-0.201976577916427","0","****","ANOVA-SAM"
"6","ANOVA","ttest","A","G","-0.175865826191729","-0.152576529133539","0","****","ANOVA-ttest"
"7","DEP","limma","B","C","-0.00164432024814287","0","1.97587917984855e-11","****","DEP-limma"
"8","DEP","proDA","B","D","0.00653620875035784","0.00136399930096653","1.77528960122494e-73","****","DEP-proDA"
"9","DEP","ROTS","B","E","-0.0161758846707054","-0.0048506855434885","1.18406626007732e-152","****","DEP-ROTS"
"10","DEP","SAM","B","F","0.006298776227514","0.00102757705127049","5.1614200917749e-26","****","DEP-SAM"
"11","DEP","ttest","B","G","0.0504736346568116","0.0394271908183295","0","****","DEP-ttest"
"12","limma","proDA","C","D","0.00818052899850071","0.00125677352542997","1.16449311083997e-127","****","limma-proDA"
"13","limma","ROTS","C","E","-0.0145315644225626","-0.0045872893635735","5.13147731649672e-149","****","limma-ROTS"
"14","limma","SAM","C","F","0.00794309647565688","0.00105309211472099","7.85416233709505e-45","****","limma-SAM"
"15","limma","ttest","C","G","0.0521179549049545","0.0385566172811865","0","****","limma-ttest"
"16","proDA","ROTS","D","E","-0.0227120934210633","-0.00725811966356149","2.00788180391364e-264","****","proDA-ROTS"
"17","proDA","SAM","D","F","-0.000237432522843836","0","0.71205138616145","na","proDA-SAM"
"18","proDA","ttest","D","G","0.0439374259064537","0.0362231118410265","0","****","proDA-ttest"
"19","ROTS","SAM","E","F","0.0224746608982194","0.00671811397529448","3.00471929643985e-151","****","ROTS-SAM"
"20","ROTS","ttest","E","G","0.066649519327517","0.0396967148369795","0","****","ROTS-ttest"
"21","SAM","ttest","F","G","0.0441748584292976","0.036620968474391","0","****","SAM-ttest"
