"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","center.mean","A","B","0.0275636533936874","0.0125813203220819","4.36044218856945e-213","****","blank-center.mean"
"2","blank","center.median","A","C","0.0278542322856955","0.013171392525936","3.23155598778217e-215","****","blank-center.median"
"3","blank","div.mean","A","D","0.0274931285020014","0.00913742690058506","6.0674732054726e-197","****","blank-div.mean"
"4","blank","div.median","A","E","0.0283456516247651","0.00978304634256599","2.42378960044532e-196","****","blank-div.median"
"5","blank","lossf","A","F","0.0313617638861638","0.00485840472705101","1.34785379582517e-169","****","blank-lossf"
"6","blank","max","A","G","0.00117022915268949","0","0.0380220469992882","*","blank-max"
"7","blank","MBQN","A","H","0.0599736587422966","0.036210872926999","0","****","blank-MBQN"
"8","blank","quantiles","A","I","0.026307352631464","0.0126868589914499","6.91302937865302e-199","****","blank-quantiles"
"9","blank","quantiles.robust","A","J","0.0740383495119972","0.047716741714793","0","****","blank-quantiles.robust"
"10","blank","Rlr","A","K","0.0313903750143558","0.00677941949796501","8.18823585600763e-180","****","blank-Rlr"
"11","blank","sum","A","L","0.00420100284078148","0.000469689253590033","2.75429463190335e-09","****","blank-sum"
"12","blank","TIC","A","M","0.0746903613465336","0.044298876760132","0","****","blank-TIC"
"13","blank","vsn","A","N","0.0323707109061133","0.011702998249722","2.64764649712868e-210","****","blank-vsn"
"14","center.mean","center.median","B","C","0.000290578892008081","0","0.33216525564031","na","center.mean-center.median"
"15","center.mean","div.mean","B","D","-7.05248916859812e-05","4.37805585919993e-05","0.845506182490263","na","center.mean-div.mean"
"16","center.mean","div.median","B","E","0.000781998231077722","0","0.0942018710588652","na","center.mean-div.median"
"17","center.mean","lossf","B","F","0.0037981104924764","-0.00295309385215503","1.21043754892251e-05","****","center.mean-lossf"
"18","center.mean","max","B","G","-0.0263934242409979","-0.013574412764669","7.91369510663457e-141","****","center.mean-max"
"19","center.mean","MBQN","B","H","0.0324100053486092","0.007752970204979","5.21927564246715e-117","****","center.mean-MBQN"
"20","center.mean","quantiles","B","I","-0.00125630076222344","-0.000432691524540063","0.00365324852107275","**","center.mean-quantiles"
"21","center.mean","quantiles.robust","B","J","0.0464746961183098","0.019309299253328","3.78733352888703e-267","****","center.mean-quantiles.robust"
"22","center.mean","Rlr","B","K","0.00382672162066845","-0.00297921466586298","6.07170291114124e-06","****","center.mean-Rlr"
"23","center.mean","sum","B","L","-0.0233626505529059","-0.0103015304297021","1.33937816274799e-98","****","center.mean-sum"
"24","center.mean","TIC","B","M","0.0471267079528462","0.024503116447262","7.86942591920461e-217","****","center.mean-TIC"
"25","center.mean","vsn","B","N","0.00480705751242585","-0.00197103715649405","1.9860262410028e-09","****","center.mean-vsn"
"26","center.median","div.mean","C","D","-0.000361103783694062","-2.54524426199776e-05","0.403766217420577","na","center.median-div.mean"
"27","center.median","div.median","C","E","0.000491419339069641","0.000166640004265972","0.167594838047005","na","center.median-div.median"
"28","center.median","lossf","C","F","0.00350753160046832","-0.00186081338096999","1.5620470489669e-05","****","center.median-lossf"
"29","center.median","max","C","G","-0.026684003133006","-0.014776378485179","6.2838936141033e-142","****","center.median-max"
"30","center.median","MBQN","C","H","0.0321194264566011","0.00901321898059904","2.68311371172497e-119","****","center.median-MBQN"
"31","center.median","quantiles","C","I","-0.00154687965423152","-0.00116648002986208","0.000507122668043349","***","center.median-quantiles"
"32","center.median","quantiles.robust","C","J","0.0461841172263017","0.021492558173547","1.07592757895138e-282","****","center.median-quantiles.robust"
"33","center.median","Rlr","C","K","0.00353614272866037","-0.00220098466285401","6.73145295534522e-06","****","center.median-Rlr"
"34","center.median","sum","C","L","-0.023653229444914","-0.010756282110771","6.90998534136344e-99","****","center.median-sum"
"35","center.median","TIC","C","M","0.0468361290608381","0.025798645901586","7.89192856005856e-235","****","center.median-TIC"
"36","center.median","vsn","C","N","0.00451647862041777","-0.0015016941145809","3.36336719867894e-09","****","center.median-vsn"
"37","div.mean","div.median","D","E","0.000852523122763703","0","0.0124240605443671","*","div.mean-div.median"
"38","div.mean","lossf","D","F","0.00386863538416238","-0.000355639137242014","9.91758033507202e-06","****","div.mean-lossf"
"39","div.mean","max","D","G","-0.0263228993493119","-0.012167017349617","3.51639636671824e-135","****","div.mean-max"
"40","div.mean","MBQN","D","H","0.0324805302402952","0.00736404540787605","1.78937554453234e-117","****","div.mean-MBQN"
