"pauc001_B.A_HYEtims735_DIA","pauc001_C.A_MYtims709_DIA","pauc001_C.B_MYtims709_DIA","pauc001_E.C_MYtims709_DIA","pauc001_E.B_HEof_n600_DIA","pauc001_E.C_HEof_n600_DIA","pauc001_G.F_HEof_n600_DIA","pauc001_A.B_HEof_w600_DIA","pauc001_E.A_HEof_w600_DIA","pauc001_F.C_HEof_w600_DIA","pauc001_C.B_HYtims134_DIA","pauc001_D.B_HYtims134_DIA","pauc001_D.C_HYtims134_DIA","pauc001_B.A_HEqe777_DIA","pauc001_C.A_HEqe777_DIA","pauc001_C.B_HEqe777_DIA","pauc001_B.A_HEqe408_DIA"
"limma|DIANN|top1|MLE|blank",3643,2898,1356,511,4487,4642,3348,2447,4619,4937,3605,1589,1627,3460,4106,3911,2863
"limma|DIANN|top1|MLE|sum",4380,3007,2665,2024,5468,5472,4078,3613,5391,5206,3749,4193,1727,4677,5063,4667,3805
"limma|DIANN|top1|MLE|max",4377,3047,2685,2058,5469,5469,4088,3600,5408,5559,3754,4181,1731,4715,5069,5143,3815
"limma|DIANN|top1|MLE|center.mean",4475,3012,1545,640,4349,4595,3593,2376,4548,5003,4857,3628,2119,4508,4081,3236,4399
"limma|DIANN|top1|MLE|center.median",4457,3647,1572,849,4375,4630,3559,2556,4478,4991,4648,3480,2336,4578,4057,3341,4190
"limma|DIANN|top1|MLE|div.mean",4850,3174,2840,2361,5428,5429,4218,3599,5381,5561,4984,5174,2335,4657,5083,4951,4891
"limma|DIANN|top1|MLE|div.median",4839,3189,2862,2737,5397,5424,4174,3685,5369,5574,4861,5147,2546,4613,5075,4986,4872
"limma|DIANN|top1|MLE|quantiles",4430,3106,1552,534,4298,4597,3556,2474,4523,4969,4515,3047,2166,4666,4097,3255,4447
"limma|DIANN|top1|MLE|quantiles.robust",4511,5380,5438,5073,5123,5679,5727,4449,5018,5282,4719,3966,2300,4948,4722,4132,5305
"limma|DIANN|top1|MLE|vsn",4983,4128,4543,2700,4861,4848,4203,2602,4784,5191,2764,4259,2237,3657,4604,4134,4531
"limma|DIANN|top1|MLE|lossf",4496,5284,4088,2931,4366,4571,3444,2542,4561,4959,4537,3033,1860,4611,4056,2849,4084
"limma|DIANN|top1|MLE|TIC",1766,5948,5715,5698,4407,4489,3626,1551,4459,5605,5285,5307,4111,5331,4809,4324,5330
"limma|DIANN|top1|MLE|Rlr",4358,5407,3846,2694,4355,4587,3459,2524,4573,4982,4498,2949,1876,4651,4125,3026,4051
"limma|DIANN|top1|MLE|MBQN",4651,4077,3388,2275,4574,4789,4404,2383,5118,5068,5049,3885,2662,4921,4401,4371,4321
"limma|DIANN|top1|missForest|blank",2329,928,525,138,1796,2396,2530,539,1422,3954,1824,1148,2256,2070,2744,3329,2534
"limma|DIANN|top1|missForest|sum",3601,2316,2030,1192,3464,4060,3615,1480,2783,4876,2681,3018,2675,2855,3754,3947,3599
"limma|DIANN|top1|missForest|max",3578,2143,1901,1112,1887,2518,3697,503,2486,3565,2541,2937,2551,2839,3405,4033,3861
"limma|DIANN|top1|missForest|center.mean",3046,992,652,158,2006,2389,2836,585,1323,3873,2999,2842,2766,2598,2903,2529,3816
"limma|DIANN|top1|missForest|center.median",2938,1034,656,255,1935,2360,2809,661,1287,4093,2746,2614,3187,2432,2850,2677,3503
"limma|DIANN|top1|missForest|div.mean",4317,2400,2104,1280,2792,3093,3636,820,1959,4546,3703,4180,3073,2878,3631,3624,4692
"limma|DIANN|top1|missForest|div.median",4267,2396,2115,1485,2674,3050,3705,833,2062,4555,3426,4047,3325,2603,3536,3660,4644
"limma|DIANN|top1|missForest|quantiles",2941,1148,707,172,1951,2440,2862,486,1315,4049,2698,2407,2934,4092,3020,2661,3824
"limma|DIANN|top1|missForest|quantiles.robust",2933,5142,5172,4626,5092,5167,4789,746,2833,4992,4951,2880,3466,4906,4268,3497,4886
"limma|DIANN|top1|missForest|vsn",4557,3622,3068,2219,2803,3189,3567,751,1965,4552,3054,3753,2873,3150,3852,3597,4211
"limma|DIANN|top1|missForest|lossf",3333,3296,2864,2079,2119,2312,2639,606,1349,3850,2544,2337,2377,3777,2899,2277,3272
"limma|DIANN|top1|missForest|TIC",1328,5105,5198,5576,1962,2088,2691,377,2193,4695,3961,5251,4036,4996,4581,4144,5088
"limma|DIANN|top1|missForest|Rlr",2925,3277,2410,1808,2081,2601,2663,835,1550,3942,2535,2275,2453,4197,2955,2364,3400
"limma|DIANN|top1|missForest|MBQN",3872,2960,2354,1586,2045,3079,4319,1012,1195,4428,5071,4846,3737,4988,3609,4201,4036
"limma|DIANN|top1|blank|blank",2583,317,311,72,4336,3671,3351,5012,5300,4690,1959,1094,2231,2068,3210,3372,2248
"limma|DIANN|top1|blank|sum",3798,1334,1482,897,4564,3986,3947,3655,4821,5158,2663,2864,2519,2958,3885,3972,3786
"limma|DIANN|top1|blank|max",3789,1338,1468,900,4556,3990,3973,3660,4781,5152,2677,2812,2634,3033,3858,4012,3566
"limma|DIANN|top1|blank|center.mean",3596,341,365,73,4466,3664,3461,4877,4524,4802,3160,2786,2946,2646,3277,2511,3445
"limma|DIANN|top1|blank|center.median",3509,363,369,113,4464,3658,3432,4879,4456,4807,2975,2596,3238,2397,3242,2606,3225
"limma|DIANN|top1|blank|div.mean",4593,1379,1619,966,4659,3975,4042,3668,4678,5182,3929,4155,3170,3021,3903,3526,4322
"limma|DIANN|top1|blank|div.median",4547,1398,1629,1129,4663,3995,3995,3670,4637,5183,3698,4020,3468,2747,3892,3561,4241
"limma|DIANN|top1|blank|quantiles",3500,380,368,74,4332,3665,3417,4883,4485,4799,2945,2431,3028,2775,3380,2559,3362
"limma|DIANN|top1|blank|quantiles.robust",2880,5122,5153,5107,5201,5658,4810,4884,5687,5273,4772,2718,3197,4796,4287,3477,4748
"limma|DIANN|top1|blank|vsn",4733,2264,2460,1816,4671,3979,3967,3680,4671,5175,3269,3713,2902,3296,4003,3434,3846
"limma|DIANN|top1|blank|lossf",3827,1566,2128,1492,4468,3650,3227,4989,4507,4752,2774,2351,2522,3993,3267,2253,3043
"limma|DIANN|top1|blank|TIC",1378,4606,4716,5491,4412,3440,3427,3634,5557,4923,4136,5263,4037,5130,4670,4193,5046
"limma|DIANN|top1|blank|Rlr",3421,1411,1837,1315,4473,3643,3341,4890,4535,4743,2782,2256,2534,4353,3356,2336,3114
"limma|DIANN|top1|blank|MBQN",4275,974,1499,983,4453,3868,4334,3690,5078,4886,5043,4857,3753,5019,3812,4156,3711
"limma|DIANN|top1|bpca|blank",2401,1220,626,143,411,1316,2563,163,908,1618,1902,1220,2287,1876,2710,3271,2696
"limma|DIANN|top1|bpca|sum",3397,1839,1880,1074,889,1034,3132,3249,1356,1934,2668,3167,2619,2703,3256,3997,4110
"limma|DIANN|top1|bpca|max",3639,2473,2022,1184,1391,2461,3372,488,2168,2963,2700,2969,2523,2820,3362,3976,3954
"limma|DIANN|top1|bpca|center.mean",3163,1303,799,161,513,1401,2802,158,1094,1471,3055,3055,2892,2592,2792,2374,4016
"limma|DIANN|top1|bpca|center.median",3063,1325,805,250,499,1420,2776,182,1120,1499,2913,2689,3252,2344,2732,2505,3763
"limma|DIANN|top1|bpca|div.mean",4401,3254,2294,1338,1173,2161,3573,504,1859,2369,3841,4339,3165,2835,3574,3527,4899
"limma|DIANN|top1|bpca|div.median",4338,3251,2299,1529,1166,2195,3513,538,1925,2437,3506,4192,3376,2613,3455,3544,4868
"limma|DIANN|top1|bpca|quantiles",3036,1457,830,168,545,1379,2780,149,1046,1550,2898,2516,2981,2762,2947,2467,4021
"limma|DIANN|top1|bpca|quantiles.robust",3603,5642,5657,4550,5950,5946,5934,867,3293,3755,4920,2851,3159,4837,4222,3520,5280
"limma|DIANN|top1|bpca|vsn",4597,3667,3204,2268,1214,2077,3442,461,1547,2419,3169,3902,2872,3205,3855,3443,4454
"limma|DIANN|top1|bpca|lossf",3477,3414,2829,1943,522,1350,2556,144,1188,1451,2678,2427,2458,3863,2821,2183,3482
"limma|DIANN|top1|bpca|TIC",1337,5051,5175,5544,622,1172,2505,66,2047,2750,3962,5266,4128,4928,4610,4131,5193
"limma|DIANN|top1|bpca|Rlr",3021,3350,2486,1662,505,1332,2645,176,1095,1419,2697,2363,2507,4266,2957,2285,3614
"limma|DIANN|top1|bpca|MBQN",4030,2762,2345,1496,1150,2290,4310,713,924,3379,5086,4904,3800,4989,3545,4069,4264
"limma|DIANN|top1|knn|blank",2556,1704,796,215,2189,2303,3028,521,2796,2556,2075,1136,2208,2612,2621,3178,2144
"limma|DIANN|top1|knn|sum",3646,2200,1974,1225,2769,3707,3959,2907,3734,4745,2577,2898,2394,3022,3303,4085,3440
"limma|DIANN|top1|knn|max",3951,2879,2157,1222,2708,2384,4134,727,1771,3268,2661,3016,2802,3118,3888,4078,3676
"limma|DIANN|top1|knn|center.mean",3431,1848,904,222,2966,2848,3386,389,1499,2708,3236,3034,2883,3938,2610,2390,3754
"limma|DIANN|top1|knn|center.median",3357,1449,933,399,2759,3071,3338,385,1493,2716,3036,2693,3289,3655,2602,2510,3508
"limma|DIANN|top1|knn|div.mean",4529,2789,2435,1372,2783,2942,4010,873,3047,3844,3852,4219,3057,3159,3537,3521,4336
"limma|DIANN|top1|knn|div.median",4490,2776,2415,1570,2754,2919,3968,859,3001,3837,3548,4043,3246,2926,3396,3584,4225
"limma|DIANN|top1|knn|quantiles",3095,1738,925,239,2230,2140,3414,602,2500,2793,3005,2493,3143,4285,2690,2365,3264
"limma|DIANN|top1|knn|quantiles.robust",2903,5104,5146,4408,5097,5222,5526,519,1657,4345,4774,3294,2362,4859,4332,3071,4894
"limma|DIANN|top1|knn|vsn",4767,3871,3425,2310,2907,2837,4058,1421,3536,3316,3088,3632,2967,3325,4071,3458,3986
"limma|DIANN|top1|knn|lossf",3660,3468,3238,2378,2265,2114,3115,595,2449,2713,2833,2442,2445,4369,2644,2177,3005
"limma|DIANN|top1|knn|TIC",1336,5168,5167,5635,2231,1870,3248,407,2832,3668,4144,5257,4136,5063,4507,3923,5064
"limma|DIANN|top1|knn|Rlr",3297,3354,2906,1972,2218,2163,3140,601,2474,2727,2807,2378,2572,4496,2743,2246,3118
"limma|DIANN|top1|knn|MBQN",3936,2553,2737,1706,2017,2763,4345,696,2726,3817,5028,4842,3714,4991,3115,3998,3669
"limma|DIANN|top1|QRILC|blank",1988,1056,633,196,1495,2374,2942,1777,881,2391,2133,1507,3994,2072,2989,3641,1866
"limma|DIANN|top1|QRILC|sum",3737,2550,2301,1294,1720,3092,4169,2493,1314,3569,2850,3212,2329,3281,3774,4727,3277
"limma|DIANN|top1|QRILC|max",3422,2715,1982,1203,2344,3154,3749,1801,1459,4537,2933,3177,2721,2917,3180,4094,3171
"limma|DIANN|top1|QRILC|center.mean",2852,1114,773,201,1532,2053,3286,3302,978,2588,3354,3690,4503,2160,3005,2718,3461
"limma|DIANN|top1|QRILC|center.median",2799,1130,791,328,1486,2085,3217,3702,956,2677,3108,3344,4829,1965,2948,2834,3258
"limma|DIANN|top1|QRILC|div.mean",4639,2703,2284,1386,2279,2922,3980,2362,1665,3516,5047,4510,3023,3067,3908,3831,4594
"limma|DIANN|top1|QRILC|div.median",4609,2685,2324,1551,2242,2899,3939,2511,1637,3611,4958,4324,3480,2884,3871,3887,4421
"limma|DIANN|top1|QRILC|quantiles",2741,1238,780,199,1487,2043,3359,3857,1002,2589,3052,2970,4543,2292,3050,2720,3460
"limma|DIANN|top1|QRILC|quantiles.robust",3303,5117,5289,4823,5051,5643,5677,2514,1451,4550,4803,3311,4807,2923,4086,3451,4895
"limma|DIANN|top1|QRILC|vsn",4764,3773,3261,2252,2295,2918,3941,2460,1704,3383,3351,4113,2603,3309,4014,3769,3810
"limma|DIANN|top1|QRILC|lossf",2976,3376,2752,2010,1462,2005,3107,3647,966,2533,3004,2774,4255,2242,2961,2359,3135
"limma|DIANN|top1|QRILC|TIC",1075,6008,5884,5750,1374,1800,2964,2611,939,1334,4296,5238,5110,3959,4579,4194,5107
"limma|DIANN|top1|QRILC|Rlr",2685,3191,2394,1635,1464,2015,3129,3721,972,2520,2967,2664,4262,2420,3037,2557,3147
