DEA,expression_type,MVI,Normalization,label
limma,dlfq,MinDet,No_norm,1.0
limma,dlfq,Impseqrob,No_norm,1.0
limma,LFQ,Impseq,No_norm,1.0
limma,dlfq,MinProb,No_norm,1.0
ROTS,dlfq,Impseq,No_norm,1.0
ROTS,dlfq,QRILC,No_norm,1.0
ROTS,LFQ,Impseq,No_norm,1.0
ROTS,dlfq,MinProb,No_norm,1.0
proDA,dlfq,MinDet,No_norm,1.0
ROTS,dlfq,Impseqrob,No_norm,1.0
ROTS,dlfq,MinDet,No_norm,1.0
ROTS,dlfq,bpca,No_norm,1.0
ROTS,dlfq,missForest,No_norm,1.0
limma,dlfq,missForest,No_norm,1.0
ROTS,LFQ,bpca,No_norm,1.0
ROTS,dlfq,nbavg,No_norm,1.0
proDA,dlfq,Impseqrob,No_norm,1.0
limma,dlfq,SeqKNN,No_norm,1.0
proDA,dlfq,MinProb,No_norm,1.0
limma,dlfq,Impseq,No_norm,1.0
limma,dlfq,bpca,No_norm,1.0
ROTS,LFQ,mice,No_norm,1.0
limma,LFQ,MinDet,No_norm,1.0
ROTS,LFQ,MinDet,No_norm,1.0
limma,dlfq,QRILC,No_norm,1.0
limma,dlfq,min,No_norm,1.0
limma,LFQ,MinProb,No_norm,1.0
ROTS,LFQ,MinProb,No_norm,1.0
proDA,dlfq,missForest,No_norm,1.0
ROTS,LFQ,missForest,No_norm,1.0
ROTS,dlfq,knn,No_norm,1.0
proDA,dlfq,Impseq,No_norm,1.0
ROTS,LFQ,Impseqrob,No_norm,1.0
ROTS,dlfq,mice,No_norm,1.0
proDA,dlfq,SeqKNN,No_norm,1.0
ROTS,dlfq,SeqKNN,No_norm,1.0
proDA,dlfq,bpca,No_norm,1.0
ROTS,LFQ,SeqKNN,No_norm,1.0
ROTS,dlfq,min,No_norm,1.0
DEP,LFQ,Impseq,No_norm,1.0
proDA,LFQ,MinDet,No_norm,1.0
limma,dlfq,zero,No_norm,1.0
limma,LFQ,nbavg,No_norm,1.0
proDA,dlfq,QRILC,No_norm,1.0
ROTS,LFQ,QRILC,No_norm,1.0
proDA,dlfq,min,No_norm,1.0
ROTS,LFQ,nbavg,No_norm,1.0
limma,dlfq,knn,No_norm,1.0
limma,LFQ,QRILC,No_norm,1.0
proDA,LFQ,MinProb,No_norm,1.0
limma,LFQ,Impseqrob,No_norm,1.0
limma,dlfq,nbavg,No_norm,1.0
limma,LFQ,missForest,No_norm,1.0
