"setting" "feature" "FeatureImportance" "l_y" "importance"
"MQ_TMT" "DEA" 40.9876783782618 79.51 40.99
"MQ_TMT" "Matrix" 0 59.01 0
"MQ_TMT" "MVI" 13.796315720731 52.11 13.8
"MQ_TMT" "norm" 45.2160059010072 22.61 45.22
"FG_TMT" "DEA" 28.4582012773222 85.77 28.46
"FG_TMT" "Matrix" 23.7359788278973 59.67 23.74
"FG_TMT" "MVI" 9.49139867936308 43.06 9.49
"FG_TMT" "norm" 38.3144212154174 19.16 38.31
"FG_DDA" "DEA" 29.01521565092 85.49 29.02
"FG_DDA" "Matrix" 15.6501505513552 63.16 15.65
"FG_DDA" "MVI" 21.6276018001769 44.52 21.63
"FG_DDA" "norm" 33.7070319975478 16.85 33.71
"MQ_DDA" "DEA" 29.4991841765082 85.25 29.5
"MQ_DDA" "Matrix" 13.946552605005 63.53 13.95
"MQ_DDA" "MVI" 23.3918104589854 44.86 23.39
"MQ_DDA" "norm" 33.1624527595015 16.58 33.16
"DIANN_DIA" "DEA" 25.6777678234483 87.16 25.68
"DIANN_DIA" "Matrix" 25.3560076005236 61.64 25.36
"DIANN_DIA" "MVI" 20.3497341191773 38.79 20.35
"DIANN_DIA" "norm" 28.6164904568508 14.31 28.62
"spt_DIA" "DEA" 30.8378624041749 84.58 30.84
"spt_DIA" "Matrix" 21.7269920752991 58.3 21.73
"spt_DIA" "MVI" 15.9680384916566 39.45 15.97
"spt_DIA" "norm" 31.4671070288693 15.73 31.47
