"support_ratio" "pattern" "setting" "idx"
0.84 "dlfq" "spt_DIA" 1
0.6 "dlfq" "DIANN_DIA" 2
0.56 "No_norm" "MQ_TMT" 3
0.54 "No_norm" "FG_TMT" 4
0.53 "dlfq" "MQ_DDA" 5
0.44 "dlfq" "FG_DDA" 6
0.43 "ROTS" "spt_DIA" 7
0.43 "limma" "FG_TMT" 8
0.42 "ROTS" "DIANN_DIA" 9
0.4 "LFQ" "DIANN_DIA" 10
0.38 "ROTS&dlfq" "spt_DIA" 11
0.38 "proDA" "MQ_TMT" 12
0.38 "limma" "MQ_TMT" 13
0.36 "abd" "FG_TMT" 14
0.36 "lossf" "MQ_TMT" 15
0.36 "No_norm" "spt_DIA" 16
0.35 "No_norm" "DIANN_DIA" 17
0.35 "limma" "FG_DDA" 18
0.34 "No_norm" "FG_DDA" 19
0.34 "LFQ" "FG_DDA" 20
0.33 "phi" "FG_TMT" 21
0.31 "limma" "MQ_DDA" 22
0.31 "ROTS" "MQ_DDA" 23
0.3 "limma" "spt_DIA" 24
