"FG_DDA" "MQ_DDA" "MQ_TMT" "FG_TMT" "DIANN_DIA" "spt_DIA" "average"
"SeqKNN" 5 2 7.4 7.6 9.6 9.8 6.9
"missForest" 3 4 8.6 9.6 9.8 8.4 7.23333333333333
"QRILC" 5 11 3 3.4 8 8.2 6.43333333333333
"none" 12.6 13.4 5 2 15.2 13.2 10.2333333333333
"nbavg" 6.6 7 11.4 10.2 3.6 2.6 6.9
"MinProb" 3.6 5.8 1.8 3.4 4.8 5.4 4.13333333333333
"GMS" 10.6 9.4 7.4 5.2 7.8 6.6 7.83333333333333
"MinDet" 4 7.8 8.6 8.4 2.6 3.8 5.86666666666667
"Impseq" 5.4 2 9.8 7.8 3.4 2.6 5.16666666666667
"knn" 10.2 9 15 10.6 12.2 13.6 11.7666666666667
"Impseqrob" 12.8 10.6 9.2 10 11.8 13 11.2333333333333
"mice" 11.2 7.2 7.8 7.2 13.8 10.6 9.63333333333333
"bpca" 8.8 4.6 9.8 9.4 5.4 5.2 7.2
"min" 11.4 13.6 8.4 11 2.6 6.4 8.9
"zero" 10 12.8 16 16 9.6 10.6 12.5
"MLE" 15.8 15.8 6.8 14.2 15.8 16 14.0666666666667
