"FG_DDA" "MQ_DDA" "MQ_TMT" "FG_TMT" "DIANN_DIA" "spt_DIA" "average"
"SeqKNN" 4.4 2.2 7.4 7.6 9.6 9.2 6.73333333333333
"missForest" 3 4 8.6 9.6 9.8 8.2 7.2
"none" 12.2 12.2 5 2 15.2 15 10.2666666666667
"nbavg" 6.2 7.6 11.4 10.2 3.6 5 7.33333333333333
"QRILC" 6.2 11.8 3 3.4 8 8 6.73333333333333
"GMS" 9.6 8.4 7.4 5.2 7.8 5.6 7.33333333333333
"MinProb" 4 6.4 1.8 3.4 4.8 5 4.23333333333333
"Impseq" 5.2 1.8 9.8 7.8 3.4 2 5
"Impseqrob" 12.4 9 9.2 10 11.8 12.6 10.8333333333333
"knn" 10.8 10.4 15 10.6 12.2 13.2 12.0333333333333
"MinDet" 5 8.4 8.6 8.4 2.6 3.6 6.1
"mice" 11.2 6.6 7.8 7.2 13.8 10.4 9.5
"bpca" 8.8 5 9.8 9.4 5.4 5 7.23333333333333
"min" 11.8 14 8.4 11 2.6 6.6 9.06666666666667
"zero" 9.4 12.4 16 16 9.6 10.8 12.3666666666667
"MLE" 15.8 15.8 6.8 14.2 15.8 15.8 14.0333333333333
