"value" "metric" "method"
"1" 0.835650057133175 "pAUC0.01" "TOP1"
"2" 0.905801101130658 "pAUC0.01" "TOP1"
"3" 0.66522005058959 "pAUC0.01" "TOP1"
"4" 0.957062682162896 "pAUC0.01" "TOP1"
"5" 0.954668431691924 "pAUC0.01" "TOP1"
"6" 0.939711483348148 "pAUC0.01" "TOP1"
"7" 0.796768275640015 "pAUC0.01" "TOP1"
"8" 0.788647470956454 "pAUC0.01" "TOP1"
"9" 0.791189415129072 "pAUC0.01" "TOP1"
"10" 0.817061191210224 "pAUC0.01" "TOP1"
"11" 0.839509432581828 "pAUC0.01" "TOP1"
"12" 0.845207513902672 "pAUC0.01" "TOP1"
"13" 0.721929263715041 "pAUC0.01" "TOP1"
"14" 0.720791313586245 "pAUC0.01" "TOP1"
"15" 0.694560203791411 "pAUC0.01" "TOP1"
"16" 0.834122465352307 "pAUC0.01" "ens_topk"
"17" 0.905330542144862 "pAUC0.01" "ens_topk"
"18" 0.683959613718929 "pAUC0.01" "ens_topk"
"19" 0.957048157469429 "pAUC0.01" "ens_topk"
"20" 0.954671336630617 "pAUC0.01" "ens_topk"
"21" 0.939694053715988 "pAUC0.01" "ens_topk"
"22" 0.803589643203597 "pAUC0.01" "ens_topk"
"23" 0.786397270666367 "pAUC0.01" "ens_topk"
"24" 0.788806850116038 "pAUC0.01" "ens_topk"
"25" 0.815282561967055 "pAUC0.01" "ens_topk"
"26" 0.85094440167973 "pAUC0.01" "ens_topk"
"27" 0.850556337117584 "pAUC0.01" "ens_topk"
"28" 0.714243245609625 "pAUC0.01" "ens_topk"
"29" 0.713944193869293 "pAUC0.01" "ens_topk"
"30" 0.693480510495147 "pAUC0.01" "ens_topk"
