"method" "variable" "value" "label" "l_y"
"FG_DDA" "TP" 2463 "2463" 11134.5
"FG_DDA" "TN" 7467 "" 6169.5
"FG_DDA" "FP" 144 "144" 2364
"FG_DDA" "FN" 2292 "" 1146
"MQ_DDA" "TP" 927 "927" 11902.5
"MQ_DDA" "TN" 7477 "" 7700.5
"MQ_DDA" "FP" 134 "134" 3895
"MQ_DDA" "FN" 3828 "" 1914
"DIANN_DIA" "TP" 3734 "3734" 10499
"DIANN_DIA" "TN" 7557 "" 4853.5
"DIANN_DIA" "FP" 54 "54" 1048
"DIANN_DIA" "FN" 1021 "" 510.5
"spt_DIA" "TP" 3054 "3054" 10839
"spt_DIA" "TN" 7569 "" 5527.5
"spt_DIA" "FP" 42 "42" 1722
"spt_DIA" "FN" 1701 "" 850.5
"FG_DDA_ens" "TP" 3282 "3282" 10725
"FG_DDA_ens" "TN" 6249 "" 5959.5
"FG_DDA_ens" "FP" 1362 "1362" 2154
"FG_DDA_ens" "FN" 1473 "" 736.5
"MQ_DDA_ens" "TP" 1606 "1606" 11563
"MQ_DDA_ens" "TN" 7000 "" 7260
"MQ_DDA_ens" "FP" 611 "611" 3454.5
"MQ_DDA_ens" "FN" 3149 "" 1574.5
"DIANN_DIA_ens" "TP" 3884 "3884" 10424
"DIANN_DIA_ens" "TN" 7328 "" 4818
"DIANN_DIA_ens" "FP" 283 "283" 1012.5
"DIANN_DIA_ens" "FN" 871 "" 435.5
"spt_DIA_ens" "TP" 3229 "3229" 10751.5
"spt_DIA_ens" "TN" 7456 "" 5409
"spt_DIA_ens" "FP" 155 "155" 1603.5
"spt_DIA_ens" "FN" 1526 "" 763
