"method" "variable" "value" "label" "l_y"
"FG_DDA" "TP" 685 "685" 10495.5
"FG_DDA" "TN" 8740 "" 5783
"FG_DDA" "FP" 199 "199" 1313.5
"FG_DDA" "FN" 1214 "" 607
"MQ_DDA" "TP" 519 "519" 10578.5
"MQ_DDA" "TN" 8891 "" 5873.5
"MQ_DDA" "FP" 48 "48" 1404
"MQ_DDA" "FN" 1380 "" 690
"FG_TMT" "TP" 1435 "1435" 10120.5
"FG_TMT" "TN" 8920 "" 4943
"FG_TMT" "FP" 19 "19" 473.5
"FG_TMT" "FN" 464 "" 232
"MQ_TMT" "TP" 1015 "1015" 10330.5
"MQ_TMT" "TN" 8926 "" 5360
"MQ_TMT" "FP" 13 "13" 890.5
"MQ_TMT" "FN" 884 "" 442
"FG_DDA_ens" "TP" 797 "797" 10439.5
"FG_DDA_ens" "TN" 8211 "" 5935.5
"FG_DDA_ens" "FP" 728 "728" 1466
"FG_DDA_ens" "FN" 1102 "" 551
"MQ_DDA_ens" "TP" 621 "621" 10527.5
"MQ_DDA_ens" "TN" 8756 "" 5839
"MQ_DDA_ens" "FP" 183 "183" 1369.5
"MQ_DDA_ens" "FN" 1278 "" 639
"FG_TMT_ens" "TP" 1450 "1450" 10113
"FG_TMT_ens" "TN" 8907 "" 4934.5
"FG_TMT_ens" "FP" 32 "32" 465
"FG_TMT_ens" "FN" 449 "" 224.5
"MQ_TMT_ens" "TP" 1016 "1016" 10330
"MQ_TMT_ens" "TN" 8922 "" 5361
"MQ_TMT_ens" "FP" 17 "17" 891.5
"MQ_TMT_ens" "FN" 883 "" 441.5
