"method" "variable" "value" "label" "l_y"
"FG_DDA_tims" "TP" 2463 "2463" 11520.5
"FG_DDA_tims" "TN" 7706 "" 6436
"FG_DDA_tims" "FP" 144 "144" 2511
"FG_DDA_tims" "FN" 2439 "" 1219.5
"MQ_DDA_tims" "TP" 927 "927" 12288.5
"MQ_DDA_tims" "TN" 7716 "" 7967
"MQ_DDA_tims" "FP" 134 "134" 4042
"MQ_DDA_tims" "FN" 3975 "" 1987.5
"DIANN_DIA_tims" "TP" 3734 "3734" 10885
"DIANN_DIA_tims" "TN" 7796 "" 5120
"DIANN_DIA_tims" "FP" 54 "54" 1195
"DIANN_DIA_tims" "FN" 1168 "" 584
"spt_DIA_tims" "TP" 3054 "3054" 11225
"spt_DIA_tims" "TN" 7808 "" 5794
"spt_DIA_tims" "FP" 42 "42" 1869
"spt_DIA_tims" "FN" 1848 "" 924
"FG_DDA_tims_ens" "TP" 3282 "3282" 11111
"FG_DDA_tims_ens" "TN" 6488 "" 6226
"FG_DDA_tims_ens" "FP" 1362 "1362" 2301
"FG_DDA_tims_ens" "FN" 1620 "" 810
"MQ_DDA_tims_ens" "TP" 1606 "1606" 11949
"MQ_DDA_tims_ens" "TN" 7239 "" 7526.5
"MQ_DDA_tims_ens" "FP" 611 "611" 3601.5
"MQ_DDA_tims_ens" "FN" 3296 "" 1648
"DIANN_DIA_tims_ens" "TP" 3884 "3884" 10810
"DIANN_DIA_tims_ens" "TN" 7567 "" 5084.5
"DIANN_DIA_tims_ens" "FP" 283 "283" 1159.5
"DIANN_DIA_tims_ens" "FN" 1018 "" 509
"spt_DIA_tims_ens" "TP" 3229 "3229" 11137.5
"spt_DIA_tims_ens" "TN" 7695 "" 5675.5
"spt_DIA_tims_ens" "FP" 155 "155" 1750.5
"spt_DIA_tims_ens" "FN" 1673 "" 836.5
"FG_DDA_st5600" "TP" 588 "588" 12458
"FG_DDA_st5600" "TN" 7826 "" 8251
"FG_DDA_st5600" "FP" 24 "24" 4326
"FG_DDA_st5600" "FN" 4314 "" 2157
"MQ_DDA_st5600" "TP" 600 "600" 12452
"MQ_DDA_st5600" "TN" 7834 "" 8235
"MQ_DDA_st5600" "FP" 16 "16" 4310
"MQ_DDA_st5600" "FN" 4302 "" 2151
"FG_DDA_st5600_ens" "TP" 756 "756" 12374
"FG_DDA_st5600_ens" "TN" 7650 "" 8171
"FG_DDA_st5600_ens" "FP" 200 "200" 4246
"FG_DDA_st5600_ens" "FN" 4146 "" 2073
"MQ_DDA_st5600_ens" "TP" 642 "642" 12431
"MQ_DDA_st5600_ens" "TN" 7778 "" 8221
"MQ_DDA_st5600_ens" "FP" 72 "72" 4296
"MQ_DDA_st5600_ens" "FN" 4260 "" 2130
"FG_DDA_st6600" "TP" 842 "842" 12331
"FG_DDA_st6600" "TN" 7773 "" 8023.5
"FG_DDA_st6600" "FP" 77 "77" 4098.5
"FG_DDA_st6600" "FN" 4060 "" 2030
"MQ_DDA_st6600" "TP" 801 "801" 12351.5
"MQ_DDA_st6600" "TN" 7813 "" 8044.5
"MQ_DDA_st6600" "FP" 37 "37" 4119.5
"MQ_DDA_st6600" "FN" 4101 "" 2050.5
"FG_DDA_st6600_ens" "TP" 1214 "1214" 12145
"FG_DDA_st6600_ens" "TN" 6850 "" 8113
"FG_DDA_st6600_ens" "FP" 1000 "1000" 4188
"FG_DDA_st6600_ens" "FN" 3688 "" 1844
"MQ_DDA_st6600_ens" "TP" 908 "908" 12298
"MQ_DDA_st6600_ens" "TN" 7636 "" 8026
"MQ_DDA_st6600_ens" "FP" 214 "214" 4101
"MQ_DDA_st6600_ens" "FN" 3994 "" 1997
"FG_DDA_qe" "TP" 1682 "1682" 11911
"FG_DDA_qe" "TN" 7691 "" 7224.5
"FG_DDA_qe" "FP" 159 "159" 3299.5
"FG_DDA_qe" "FN" 3220 "" 1610
"MQ_DDA_qe" "TP" 1625 "1625" 11939.5
"MQ_DDA_qe" "TN" 7813 "" 7220.5
"MQ_DDA_qe" "FP" 37 "37" 3295.5
"MQ_DDA_qe" "FN" 3277 "" 1638.5
"FG_DDA_qe_ens" "TP" 2376 "2376" 11564
"FG_DDA_qe_ens" "TN" 7359 "" 6696.5
"FG_DDA_qe_ens" "FP" 491 "491" 2771.5
"FG_DDA_qe_ens" "FN" 2526 "" 1263
"MQ_DDA_qe_ens" "TP" 1768 "1768" 11868
"MQ_DDA_qe_ens" "TN" 7611 "" 7178.5
"MQ_DDA_qe_ens" "FP" 239 "239" 3253.5
"MQ_DDA_qe_ens" "FN" 3134 "" 1567
