"ANOVA","DEP","DEqMS","limma","proDA","ROTS","SAM","ttest"
"|FragPipe|top0|MLE|blank_geomean_B.A_HYE5600735_LFQ",0.699453445295142,0.679912116861231,0.741316482564941,0.745905482089308,0.672988355335404,0.776279477641485,0.750290956284715,0.720770124771016
"|FragPipe|top0|MLE|blank_geomean_B.A_HYE6600735_LFQ",0.697847821445217,0.65493938435869,0.747171258881167,0.746855930207541,0.694478357641174,0.766443641373493,0.759600558878337,0.746497578458991
"|FragPipe|top0|MLE|blank_geomean_B.A_HYEqe735_LFQ",0.670657621614739,0.605385222049078,0.715095213232632,0.717984902995242,0.629551496963708,0.730908010841378,0.714818666916799,0.700256176540386
"|FragPipe|top0|MLE|blank_geomean_B.A_HYEtims735_LFQ",0.74061443350905,0.609475712606266,0.745937860760811,0.763795600544279,0.708698777390394,0.794501106460349,0.761101977281078,0.736335877356714
"|FragPipe|top0|MLE|blank_geomean_C.B_HYtims134_LFQ",0.399005184075247,0.222148230560582,0.0934358501752975,0.0934358501752975,0,0,0,0
"|FragPipe|top0|MLE|blank_geomean_D.B_HYtims134_LFQ",0.690783374303477,0.526763206361628,0.470811825534416,0.485879323702055,0.423981092844218,0.563080691498112,0,0.264195264690299
"|FragPipe|top0|MLE|blank_geomean_D.C_HYtims134_LFQ",0.335730335348088,0.151780880987129,0.136813437258548,0.142000058193143,0.107491815188435,0,0,0.0660081832458298
"|FragPipe|top0|MLE|blank_geomean_B.A_HEqe408_LFQ",0.722548817896433,0.595949228386997,0.611427413309395,0.648567701452162,0.638548229226443,0.652795682761991,0.647027124737818,0.633876088719344
"|FragPipe|top0|MLE|blank_geomean_B.A_HYEtims777_LFQ",0.818468448145499,0.699370166180882,0.769584279031949,0.779376613050602,0.773970619141052,0.806031402778986,0,0.694341832577011
"|FragPipe|top0|MLE|sum_geomean_B.A_HYE5600735_LFQ",0.340270792186851,0.289743566844829,0.411791218850386,0.411791218850386,0.241165706225194,0.425534598389022,0.425534598389022,0.365763436710729
"|FragPipe|top0|MLE|sum_geomean_B.A_HYE6600735_LFQ",0.278847877893147,0.202447911802492,0.372397650867858,0.372397650867858,0.224867451938218,0.400218569822042,0.400218569822042,0.372397650867858
"|FragPipe|top0|MLE|sum_geomean_B.A_HYEqe735_LFQ",0.339466930200361,0.227970100696564,0.414703884349148,0.414703884349148,0.209701992750815,0.432415001701828,0.432415001701828,0.385439232111543
"|FragPipe|top0|MLE|sum_geomean_B.A_HYEtims735_LFQ",0.244852757888603,0.0793594288570763,0.32112075013111,0.32112075013111,0.105931516995782,0.337691666446644,0.32112075013111,0.261416360134162
"|FragPipe|top0|MLE|sum_geomean_C.B_HYtims134_LFQ",0.0660894241174946,0,0,0,0,0,0,0
"|FragPipe|top0|MLE|sum_geomean_D.B_HYtims134_LFQ",0.0660183438220842,0,0,0,0,0,0,0
"|FragPipe|top0|MLE|sum_geomean_D.C_HYtims134_LFQ",0.0760669985619574,0,0,0,0,0,0,0
"|FragPipe|top0|MLE|sum_geomean_B.A_HEtims425_LFQ",0.0863996292752744,0.0353052723993431,0.0353052723993431,0.0353052723993431,0.0353052723993431,0.0353112275773224,0,0.0353052723993431
"|FragPipe|top0|MLE|sum_geomean_C.A_HEtims425_LFQ",0.105799617692724,0,0,0,0,0,0,0
"|FragPipe|top0|MLE|sum_geomean_C.B_HEtims425_LFQ",0.111352772075707,0.0611247312786172,0.0611247312786172,0.0611247312786172,0.0611247312786172,0.0611247312786172,0,0.0611247312786172
"|FragPipe|top0|MLE|sum_geomean_B.A_HEqe408_LFQ",0.262850687623413,0,0.0380800653396842,0.0380800653396842,0,0.0380800653396842,0.0380612650100566,0.038111378613078
"|FragPipe|top0|MLE|sum_geomean_B.A_HYEtims777_LFQ",0.213640047226376,0.200909656216895,0.200909656216895,0.200909656216895,0.200909656216895,0.200909656216895,0,0.200909656216895
"|FragPipe|top0|MLE|max_geomean_B.A_HYE5600735_LFQ",0.343035145988819,0.289743566844829,0.411718380569308,0.411718380569308,0.272085223346578,0.425155435346263,0.425155435346263,0.365698967963121
"|FragPipe|top0|MLE|max_geomean_B.A_HYE6600735_LFQ",0.291339901199711,0.202447911802492,0.376115575818015,0.376115575818015,0.189076569061455,0.408867924622418,0.408867924622418,0.376115575818015
"|FragPipe|top0|MLE|max_geomean_B.A_HYEqe735_LFQ",0.347057602983902,0.228845229061037,0.416109200144363,0.416109200144363,0.219026588083804,0.433758785310103,0.433758785310103,0.38699030168666
