"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","ANOVA","DEP","A","B","0.0781907052271728","0.021469962246206","0","****","ANOVA-DEP"
"2","ANOVA","DEqMS","A","C","0.0338556356698624","0","2.71287274845723e-210","****","ANOVA-DEqMS"
"3","ANOVA","limma","A","D","0.0367807401375637","0","1.07774801884691e-240","****","ANOVA-limma"
"4","ANOVA","proDA","A","E","0.0869426015254527","0.00106895654873096","0","****","ANOVA-proDA"
"5","ANOVA","ROTS","A","F","0.0352387977393675","0","3.35402621439506e-179","****","ANOVA-ROTS"
"6","ANOVA","SAM","A","G","0.281884818339705","0.0579041874702949","0","****","ANOVA-SAM"
"7","ANOVA","ttest","A","H","0.130448822646516","0.0313030965778071","0","****","ANOVA-ttest"
"8","DEP","DEqMS","B","C","-0.0443350695573105","0","0","****","DEP-DEqMS"
"9","DEP","limma","B","D","-0.0414099650896092","0","3.75706093965968e-317","****","DEP-limma"
"10","DEP","proDA","B","E","0.00875189629827988","0","7.41824013715879e-10","****","DEP-proDA"
"11","DEP","ROTS","B","F","-0.0429519074878054","-8.00957448749973e-05","1.46999723347267e-242","****","DEP-ROTS"
"12","DEP","SAM","B","G","0.203694113112532","0","0","****","DEP-SAM"
"13","DEP","ttest","B","H","0.0522581174193428","0","8.66211060549227e-250","****","DEP-ttest"
"14","DEqMS","limma","C","D","0.0029251044677013","0","1.82378689494145e-37","****","DEqMS-limma"
"15","DEqMS","proDA","C","E","0.0530869658555903","0.00323528685084695","0","****","DEqMS-proDA"
"16","DEqMS","ROTS","C","F","0.00138316206950508","0","0.0690588706999697","na","DEqMS-ROTS"
"17","DEqMS","SAM","C","G","0.248029182669843","0.00432954035922606","0","****","DEqMS-SAM"
"18","DEqMS","ttest","C","H","0.0965931869766533","0.0221813023628189","0","****","DEqMS-ttest"
"19","limma","proDA","D","E","0.0501618613878891","0.0024981509282801","0","****","limma-proDA"
"20","limma","ROTS","D","F","-0.00154194239819621","0","0.0387704016229384","*","limma-ROTS"
"21","limma","SAM","D","G","0.245104078202141","0.00139894422584197","0","****","limma-SAM"
"22","limma","ttest","D","H","0.093668082508952","0.01942574731367","0","****","limma-ttest"
"23","proDA","ROTS","E","F","-0.0517038037860853","-0.00256950610347095","0","****","proDA-ROTS"
"24","proDA","SAM","E","G","0.194942216814252","0","0","****","proDA-SAM"
"25","proDA","ttest","E","H","0.0435062211210629","0","0","****","proDA-ttest"
"26","ROTS","SAM","F","G","0.246646020600337","0.01137194737703","0","****","ROTS-SAM"
"27","ROTS","ttest","F","H","0.0952100249071482","0.018553342341099","0","****","ROTS-ttest"
"28","SAM","ttest","G","H","-0.151435995693189","0","0","****","SAM-ttest"
