"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","bpca","A","B","-0.0590666665621058","0","1.07491165307654e-93","****","blank-bpca"
"2","blank","GMS","A","C","-0.0399439184106055","0","7.20644767350005e-52","****","blank-GMS"
"3","blank","Impseq","A","D","-0.0629880082242809","0","3.98957466803671e-94","****","blank-Impseq"
"4","blank","Impseqrob","A","E","-0.0336360187246864","0","5.74441989238063e-53","****","blank-Impseqrob"
"5","blank","knn","A","F","-0.0462162415890523","0","7.19273583030264e-73","****","blank-knn"
"6","blank","mice","A","G","-0.0495485977692084","0","6.90758315063028e-91","****","blank-mice"
"7","blank","min","A","H","-0.0534717726029383","0","1.3500136917054e-64","****","blank-min"
"8","blank","MinDet","A","I","-0.0669537315265034","0","1.14281863955614e-114","****","blank-MinDet"
"9","blank","MinProb","A","J","-0.0635047676751572","0","1.37973011624503e-111","****","blank-MinProb"
"10","blank","missForest","A","K","-0.0603091975972133","0","7.32893349376392e-116","****","blank-missForest"
"11","blank","MLE","A","L","-0.0269652516275633","0","1.199659943778e-17","****","blank-MLE"
"12","blank","nbavg","A","M","-0.0545416206061501","0","4.35230923104299e-104","****","blank-nbavg"
"13","blank","QRILC","A","N","-0.054696223881291","0","1.2443760648829e-102","****","blank-QRILC"
"14","blank","SeqKNN","A","O","-0.0503864056154159","0","3.5733678720586e-74","****","blank-SeqKNN"
"15","blank","zero","A","P","-0.0753953900157326","0","2.94250110127962e-97","****","blank-zero"
"16","bpca","GMS","B","C","0.0191227481515003","0","7.41987972409169e-29","****","bpca-GMS"
"17","bpca","Impseq","B","D","-0.00392134166217508","0","8.43915729665588e-06","****","bpca-Impseq"
"18","bpca","Impseqrob","B","E","0.0254306478374194","0","1.35301229572084e-63","****","bpca-Impseqrob"
"19","bpca","knn","B","F","0.0128504249730535","0","1.31734977020298e-19","****","bpca-knn"
"20","bpca","mice","B","G","0.00951806879289742","0","2.56923034626142e-11","****","bpca-mice"
"21","bpca","min","B","H","0.00559489395916753","0","0.0112802435123264","*","bpca-min"
"22","bpca","MinDet","B","I","-0.00788706496439759","0","1.85855228134353e-07","****","bpca-MinDet"
"23","bpca","MinProb","B","J","-0.00443810111305141","0","0.00521495541960383","**","bpca-MinProb"
"24","bpca","missForest","B","K","-0.00124253103510753","0","0.451096306702671","na","bpca-missForest"
"25","bpca","MLE","B","L","0.0321014149345425","0","3.95908909242794e-21","****","bpca-MLE"
"26","bpca","nbavg","B","M","0.00452504595595573","0","0.0261961754023802","*","bpca-nbavg"
"27","bpca","QRILC","B","N","0.00437044268081481","0","0.0171398663990071","*","bpca-QRILC"
"28","bpca","SeqKNN","B","O","0.00868026094668985","0","1.20239484205943e-09","****","bpca-SeqKNN"
"29","bpca","zero","B","P","-0.0163287234536268","0","2.25393690448664e-05","****","bpca-zero"
"30","GMS","Impseq","C","D","-0.0230440898136754","0","4.89820183452505e-36","****","GMS-Impseq"
"31","GMS","Impseqrob","C","E","0.00630789968591903","0","0.000111620936548289","***","GMS-Impseqrob"
"32","GMS","knn","C","F","-0.00627232317844686","0","0.000219656668450314","***","GMS-knn"
"33","GMS","mice","C","G","-0.00960467935860292","0","1.9474882225093e-09","****","GMS-mice"
"34","GMS","min","C","H","-0.0135278541923328","0","1.92208231606309e-08","****","GMS-min"
"35","GMS","MinDet","C","I","-0.0270098131158979","0","3.87149683985555e-40","****","GMS-MinDet"
"36","GMS","MinProb","C","J","-0.0235608492645517","0","2.50679635651118e-33","****","GMS-MinProb"
"37","GMS","missForest","C","K","-0.0203652791866079","0","5.27376359280487e-29","****","GMS-missForest"
"38","GMS","MLE","C","L","0.0129786667830421","0","4.0781913007184e-05","****","GMS-MLE"
