"dlfq","LFQ","top0","top3"
"limma|FragPipe||MLE|blank_geomean_B.A_HYE5600735_LFQ",0.749173823885603,0.745136921392011,0.745905482089308,0.735847322284129
"limma|FragPipe||MLE|blank_geomean_B.A_HYE6600735_LFQ",0.753291571182109,0.758630338936539,0.746855930207541,0.741601436764523
"limma|FragPipe||MLE|blank_geomean_B.A_HYEqe735_LFQ",0.722476596729465,0.72643894106056,0.717984902995242,0.682135498887076
"limma|FragPipe||MLE|blank_geomean_B.A_HYEtims735_LFQ",0.752136677317394,0.742520394363509,0.763795600544279,0.754459637694051
"limma|FragPipe||MLE|blank_geomean_C.B_HYtims134_LFQ",0.0853472798958647,0.0381801774160606,0.0934358501752975,0.0853079765182815
"limma|FragPipe||MLE|blank_geomean_D.B_HYtims134_LFQ",0.502471133300601,0.497350291822693,0.485879323702055,0.486254201717627
"limma|FragPipe||MLE|blank_geomean_D.C_HYtims134_LFQ",0.0932346344514528,0.0539452132506696,0.142000058193143,0.131629668526413
"limma|FragPipe||MLE|blank_geomean_B.A_HEtims425_LFQ",0.086479902608357,0.03529633774846,0.145481396211459,0.127252015661942
"limma|FragPipe||MLE|blank_geomean_C.A_HEtims425_LFQ",0.884209845714731,0.791464093767773,0.83596233087015,0.836318165530997
"limma|FragPipe||MLE|blank_geomean_C.B_HEtims425_LFQ",0.830728780061498,0.758217732982681,0.787684171862386,0.751111173430848
"limma|FragPipe||MLE|blank_geomean_E.B_YUltq006_LFQ",0.307242183144895,0.370603865340081,0.268046151801883,0.309286700821943
"limma|FragPipe||MLE|blank_geomean_D.C_YUltq006_LFQ",0.430620684209976,0.466968064409535,0.411388133127867,0.435793490527973
"limma|FragPipe||MLE|blank_geomean_E.C_YUltq099_LFQ",0.927088161823436,0.971048040751272,0.962915495178187,0.962915495178187
"limma|FragPipe||MLE|blank_geomean_D.B_YUltq099_LFQ",0.95766699064382,0.955630566901435,0.936926051018069,0.925704974962182
"limma|FragPipe||MLE|blank_geomean_D.A_YUltq819_LFQ",0.203060859555676,0,0.304215018295083,0
"limma|FragPipe||MLE|blank_geomean_F.C_YUltq819_LFQ",0.881574169686487,0.396672252246279,0.334896548950706,0.338001291824538
"limma|FragPipe||MLE|blank_geomean_I.H_YUltq819_LFQ",0.970452470598593,0.88557550910193,0.935677569353026,0.926812118297157
"limma|FragPipe||MLE|blank_geomean_B.A_HEqe408_LFQ",0.622540443014257,0.531759173285755,0.648567701452162,0.639445430210759
"limma|FragPipe||MLE|blank_geomean_B.A_HYqfl683_LFQ",0.601840086030014,0.565654435066838,0.598924650601961,0.583514018479698
"limma|FragPipe||MLE|blank_geomean_C.A_HYqfl683_LFQ",0.580983534359195,0.555561632509087,0.63238156931646,0.625822935821686
"limma|FragPipe||MLE|blank_geomean_C.B_HYqfl683_LFQ",0.468446413687785,0.46945507146149,0.433813989007006,0.44028948308559
"limma|FragPipe||MLE|blank_geomean_B.A_HYEtims777_LFQ",0.784225135125743,0.793614502274414,0.779376613050602,0.761111811141261
"limma|FragPipe||MLE|sum_geomean_B.A_HYE5600735_LFQ",0.410936031187594,0.444648652613739,0.411791218850386,0.41422640439714
"limma|FragPipe||MLE|sum_geomean_B.A_HYE6600735_LFQ",0.35162906515246,0.370039716470851,0.372397650867858,0.375694150626014
"limma|FragPipe||MLE|sum_geomean_B.A_HYEqe735_LFQ",0.410334899133792,0.420412338899157,0.414703884349148,0.381118682304369
"limma|FragPipe||MLE|sum_geomean_B.A_HYEtims735_LFQ",0.32777877357898,0.350083520138848,0.32112075013111,0.326152617178967
"limma|FragPipe||MLE|sum_geomean_C.B_HYtims134_LFQ",0.0661097187361574,0,0,0
"limma|FragPipe||MLE|sum_geomean_D.B_HYtims134_LFQ",0.0762431477717336,0,0,0
"limma|FragPipe||MLE|sum_geomean_D.C_HYtims134_LFQ",0.0380804977533805,0,0,0
"limma|FragPipe||MLE|sum_geomean_B.A_HEtims425_LFQ",0.0499376169438922,0,0.0353052723993431,0.0353052723993431
"limma|FragPipe||MLE|sum_geomean_C.A_HEtims425_LFQ",0.127305706232518,0,0,0
"limma|FragPipe||MLE|sum_geomean_C.B_HEtims425_LFQ",0.0998331190919471,0.0352933590288675,0.0611247312786172,0.0611247312786172
"limma|FragPipe||MLE|sum_geomean_E.B_YUltq006_LFQ",0,0,0,0
"limma|FragPipe||MLE|sum_geomean_D.C_YUltq006_LFQ",0,0.153326393147987,0,0
"limma|FragPipe||MLE|sum_geomean_E.C_YUltq099_LFQ",0,0,0,0
"limma|FragPipe||MLE|sum_geomean_D.B_YUltq099_LFQ",0,0,0,0
"limma|FragPipe||MLE|sum_geomean_D.A_YUltq819_LFQ",0.205483142344801,0,0,0
"limma|FragPipe||MLE|sum_geomean_F.C_YUltq819_LFQ",0.867238674960278,0,0,0
"limma|FragPipe||MLE|sum_geomean_I.H_YUltq819_LFQ",0,0,0,0
"limma|FragPipe||MLE|sum_geomean_B.A_HEqe408_LFQ",0.241235402319324,0.0380988563920687,0.0380800653396842,0.0380800653396842
"limma|FragPipe||MLE|sum_geomean_B.A_HYqfl683_LFQ",0.0564397667750031,0.123173219878674,0.17186284580668,0.17186284580668
"limma|FragPipe||MLE|sum_geomean_C.A_HYqfl683_LFQ",0,0.222532619571071,0.286786105496749,0.286786105496749
"limma|FragPipe||MLE|sum_geomean_C.B_HYqfl683_LFQ",0,0.0893712506753953,0.084762233418105,0.084762233418105
"limma|FragPipe||MLE|sum_geomean_B.A_HYEtims777_LFQ",0.198259617015664,0.213557427351776,0.200909656216895,0.200939723144482
"limma|FragPipe||MLE|max_geomean_B.A_HYE5600735_LFQ",0.41323646677859,0.45032372790267,0.411718380569308,0.414153083500133
"limma|FragPipe||MLE|max_geomean_B.A_HYE6600735_LFQ",0.368261398865405,0.410416449408049,0.376115575818015,0.379231205272377
"limma|FragPipe||MLE|max_geomean_B.A_HYEqe735_LFQ",0.422592542488686,0.451151545502469,0.416109200144363,0.382694644984449
"limma|FragPipe||MLE|max_geomean_B.A_HYEtims735_LFQ",0.328928152709986,0.356138785371885,0.321545232471251,0.326570493861789
"limma|FragPipe||MLE|max_geomean_C.B_HYtims134_LFQ",0.0661097187361574,0,0,0
"limma|FragPipe||MLE|max_geomean_D.B_HYtims134_LFQ",0.0762431477717336,0,0,0
"limma|FragPipe||MLE|max_geomean_D.C_HYtims134_LFQ",0.0380804977533805,0,0,0
"limma|FragPipe||MLE|max_geomean_B.A_HEtims425_LFQ",0.0499376169438922,0,0.0353052723993431,0.0353052723993431
"limma|FragPipe||MLE|max_geomean_C.A_HEtims425_LFQ",0.127305706232518,0,0,0
"limma|FragPipe||MLE|max_geomean_C.B_HEtims425_LFQ",0.0998331190919471,0.0352933590288675,0.0611247312786172,0.0611247312786172
"limma|FragPipe||MLE|max_geomean_E.B_YUltq006_LFQ",0,0,0,0
"limma|FragPipe||MLE|max_geomean_D.C_YUltq006_LFQ",0,0.153326393147987,0,0
"limma|FragPipe||MLE|max_geomean_E.C_YUltq099_LFQ",0,0,0,0
"limma|FragPipe||MLE|max_geomean_D.B_YUltq099_LFQ",0,0,0,0
"limma|FragPipe||MLE|max_geomean_D.A_YUltq819_LFQ",0.204857893342019,0,0,0
"limma|FragPipe||MLE|max_geomean_F.C_YUltq819_LFQ",0.864190374930994,0,0,0
"limma|FragPipe||MLE|max_geomean_I.H_YUltq819_LFQ",0,0,0,0
"limma|FragPipe||MLE|max_geomean_B.A_HEqe408_LFQ",0.241195839317447,0.0380925937378977,0.0380612650100566,0.0380612650100566
"limma|FragPipe||MLE|max_geomean_B.A_HYqfl683_LFQ",0.0564397667750031,0.123173219878674,0.17186284580668,0.17186284580668
"limma|FragPipe||MLE|max_geomean_C.A_HYqfl683_LFQ",0,0.222532619571071,0.286786105496749,0.286786105496749
"limma|FragPipe||MLE|max_geomean_C.B_HYqfl683_LFQ",0,0.0893712506753953,0.084762233418105,0.084762233418105
"limma|FragPipe||MLE|max_geomean_B.A_HYEtims777_LFQ",0.19975593723972,0.221035213688535,0.200909656216895,0.202411828708616
"limma|FragPipe||MLE|center.mean_geomean_B.A_HYE5600735_LFQ",0.749173823885603,0.75106346841927,0.749021808571765,0.735264434438665
"limma|FragPipe||MLE|center.mean_geomean_B.A_HYE6600735_LFQ",0.756948139975612,0.769770536118246,0.749480009754964,0.737172478141733
"limma|FragPipe||MLE|center.mean_geomean_B.A_HYEqe735_LFQ",0.726003991964858,0.730042442103013,0.725199852060729,0.70871641963803
"limma|FragPipe||MLE|center.mean_geomean_B.A_HYEtims735_LFQ",0.748804155293319,0.735556317197549,0.754176273293563,0.740114226347809
"limma|FragPipe||MLE|center.mean_geomean_C.B_HYtims134_LFQ",0.0661097187361574,0,0.0539783593141661,0.0381743211114912
"limma|FragPipe||MLE|center.mean_geomean_D.B_HYtims134_LFQ",0.373456148794406,0.487003092045428,0.415281073311809,0.435784014354592
"limma|FragPipe||MLE|center.mean_geomean_D.C_HYtims134_LFQ",0.0850849144429283,0.0539452132506696,0.136813437258548,0.126006296639589
"limma|FragPipe||MLE|center.mean_geomean_B.A_HEtims425_LFQ",0.086479902608357,0,0.14546911048782,0.117054829490055
"limma|FragPipe||MLE|center.mean_geomean_C.A_HEtims425_LFQ",0.881934600913232,0.790009418570746,0.841013823915821,0.83798191511402
"limma|FragPipe||MLE|center.mean_geomean_C.B_HEtims425_LFQ",0.781255035350668,0.72856217382357,0.771176951037651,0.728825622840837
"limma|FragPipe||MLE|center.mean_geomean_E.B_YUltq006_LFQ",0.340178318702715,0.394267003835257,0.267457685336163,0.344905906057889
"limma|FragPipe||MLE|center.mean_geomean_D.C_YUltq006_LFQ",0.429480827875477,0.391888297334403,0.410493485893241,0.408248290463863
"limma|FragPipe||MLE|center.mean_geomean_E.C_YUltq099_LFQ",0.693985932533686,0.952905984924151,0.956726940439184,0.9515101382133
"limma|FragPipe||MLE|center.mean_geomean_D.B_YUltq099_LFQ",0.94681209401506,0.932905856399307,0.921406990643873,0.931292664853245
"limma|FragPipe||MLE|center.mean_geomean_D.A_YUltq819_LFQ",0.202880280720887,0,0.339137979655992,0.198312376953095
"limma|FragPipe||MLE|center.mean_geomean_F.C_YUltq819_LFQ",0.882363757099302,0.396494651049893,0.335388682278578,0.309144922250175
"limma|FragPipe||MLE|center.mean_geomean_I.H_YUltq819_LFQ",0.960029138048095,0.88557550910193,0.936940008743484,0.915301814297277
"limma|FragPipe||MLE|center.mean_geomean_B.A_HEqe408_LFQ",0.577132591954782,0.476041538996361,0.627107584355675,0.596718179450009
"limma|FragPipe||MLE|center.mean_geomean_B.A_HYqfl683_LFQ",0.590747885568195,0.563332191159535,0.595142463037421,0.573331716018814
"limma|FragPipe||MLE|center.mean_geomean_C.A_HYqfl683_LFQ",0.577048543144753,0.55273371665169,0.630685262332809,0.621078362556394
"limma|FragPipe||MLE|center.mean_geomean_C.B_HYqfl683_LFQ",0.465884244535133,0.466072113718602,0.427360623278146,0.427418106716872
"limma|FragPipe||MLE|center.mean_geomean_B.A_HYEtims777_LFQ",0.807424345220975,0.797930742934515,0.780690117363119,0.76385307922287
"limma|FragPipe||MLE|center.median_geomean_B.A_HYE5600735_LFQ",0.749751355267399,0.745136921392011,0.747920251392289,0.735264434438665
"limma|FragPipe||MLE|center.median_geomean_B.A_HYE6600735_LFQ",0.757533864719321,0.772164851499469,0.744303475781767,0.739159730367432
