"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","center.mean","A","B","0.0200445968639609","0.00727003144012994","1.70959064402644e-53","****","blank-center.mean"
"2","blank","center.median","A","C","0.01742800940737","0.00589635955669099","3.73513020512448e-45","****","blank-center.median"
"3","blank","div.mean","A","D","0.559538475382283","0.666368198284919","0","****","blank-div.mean"
"4","blank","div.median","A","E","0.559306472768858","0.665869621578561","0","****","blank-div.median"
"5","blank","lossf","A","F","0.00957486304893498","0","1.88680331974068e-47","****","blank-lossf"
"6","blank","max","A","G","0.55998521387503","0.666723340003634","0","****","blank-max"
"7","blank","MBQN","A","H","0.098061355965687","0.042858394083193","0","****","blank-MBQN"
"8","blank","quantiles","A","I","0.0192603020219472","0.00721301772759908","7.31522459759156e-64","****","blank-quantiles"
"9","blank","quantiles.robust","A","J","0.249576327488766","0.16331933416722","0","****","blank-quantiles.robust"
"10","blank","Rlr","A","K","0.0108865517281641","0.000449915255032018","4.93986012686752e-66","****","blank-Rlr"
"11","blank","sum","A","L","0.572378658593215","0.685780955323073","0","****","blank-sum"
"12","blank","TIC","A","M","0.188635016019312","0.0858895525811749","0","****","blank-TIC"
"13","blank","vsn","A","N","0.558306430937239","0.670939854621362","0","****","blank-vsn"
"14","center.mean","center.median","B","C","-0.00261658745659091","-1.68815556670088e-05","8.10972204392575e-05","****","center.mean-center.median"
"15","center.mean","div.mean","B","D","0.539493878518322","0.63660373891845","0","****","center.mean-div.mean"
"16","center.mean","div.median","B","E","0.539261875904897","0.63623966782145","0","****","center.mean-div.median"
"17","center.mean","lossf","B","F","-0.0104697338150259","-0.00341686089672399","2.0716795923827e-16","****","center.mean-lossf"
"18","center.mean","max","B","G","0.539940617011069","0.636960786037635","0","****","center.mean-max"
"19","center.mean","MBQN","B","H","0.0780167591017261","0.020994691787816","2.29895237119163e-208","****","center.mean-MBQN"
"20","center.mean","quantiles","B","I","-0.000784294842013716","0","0.407258727108731","na","center.mean-quantiles"
"21","center.mean","quantiles.robust","B","J","0.229531730624805","0.146904518484062","0","****","center.mean-quantiles.robust"
"22","center.mean","Rlr","B","K","-0.00915804513579681","-0.00150918015497303","3.36259768760675e-13","****","center.mean-Rlr"
"23","center.mean","sum","B","L","0.552334061729254","0.650922503338086","0","****","center.mean-sum"
"24","center.mean","TIC","B","M","0.168590419155351","0.0660894241174946","0","****","center.mean-TIC"
"25","center.mean","vsn","B","N","0.538261834073278","0.639217953358173","0","****","center.mean-vsn"
"26","center.median","div.mean","C","D","0.542110465974913","0.636152738044374","0","****","center.median-div.mean"
"27","center.median","div.median","C","E","0.541878463361488","0.635342818061933","0","****","center.median-div.median"
"28","center.median","lossf","C","F","-0.00785314635843499","-0.00111615853981101","6.26717287852655e-11","****","center.median-lossf"
"29","center.median","max","C","G","0.54255720446766","0.636996155259883","0","****","center.median-max"
"30","center.median","MBQN","C","H","0.080633346558317","0.023097555040326","8.83465923255593e-226","****","center.median-MBQN"
"31","center.median","quantiles","C","I","0.00183229261457719","0","0.0636595791959365","na","center.median-quantiles"
"32","center.median","quantiles.robust","C","J","0.232148318081396","0.147511487129414","0","****","center.median-quantiles.robust"
"33","center.median","Rlr","C","K","-0.0065414576792059","-0.000375607408675926","7.95271647801252e-08","****","center.median-Rlr"
"34","center.median","sum","C","L","0.554950649185845","0.652252946450309","0","****","center.median-sum"
"35","center.median","TIC","C","M","0.171207006611942","0.0670013849867209","0","****","center.median-TIC"
"36","center.median","vsn","C","N","0.540878421529869","0.64039007434233","0","****","center.median-vsn"
"37","div.mean","div.median","D","E","-0.000232002613424989","0","0.00740500158562476","**","div.mean-div.median"
"38","div.mean","lossf","D","F","-0.549963612333348","-0.645940139595185","0","****","div.mean-lossf"
"39","div.mean","max","D","G","0.000446738492747676","0","0.00887098528300673","**","div.mean-max"
"40","div.mean","MBQN","D","H","-0.461477119416596","-0.521103199463733","0","****","div.mean-MBQN"
"41","div.mean","quantiles","D","I","-0.540278173360335","-0.640744888057861","0","****","div.mean-quantiles"
"42","div.mean","quantiles.robust","D","J","-0.309962147893517","-0.251627915723828","0","****","div.mean-quantiles.robust"
"43","div.mean","Rlr","D","K","-0.548651923654118","-0.646168304441458","0","****","div.mean-Rlr"
"44","div.mean","sum","D","L","0.0128401832109326","0","3.94098092094161e-51","****","div.mean-sum"
"45","div.mean","TIC","D","M","-0.370903459362971","-0.353688288866248","0","****","div.mean-TIC"
"46","div.mean","vsn","D","N","-0.0012320444450439","0","0.22778429529092","na","div.mean-vsn"
"47","div.median","lossf","E","F","-0.549731609719923","-0.64587061014563","0","****","div.median-lossf"
"48","div.median","max","E","G","0.000678741106172664","0","0.000189643045724778","***","div.median-max"
"49","div.median","MBQN","E","H","-0.461245116803171","-0.520534227839958","0","****","div.median-MBQN"
"50","div.median","quantiles","E","I","-0.54004617074691","-0.640362584657078","0","****","div.median-quantiles"
"51","div.median","quantiles.robust","E","J","-0.309730145280092","-0.250267522815977","0","****","div.median-quantiles.robust"
"52","div.median","Rlr","E","K","-0.548419921040693","-0.645906339768584","0","****","div.median-Rlr"
"53","div.median","sum","E","L","0.0130721858243576","0","2.71319028327443e-52","****","div.median-sum"
"54","div.median","TIC","E","M","-0.370671456749546","-0.353688288866248","0","****","div.median-TIC"
"55","div.median","vsn","E","N","-0.00100004183161891","0","0.327898355302734","na","div.median-vsn"
"56","lossf","max","F","G","0.550410350826095","0.646104799968687","0","****","lossf-max"
"57","lossf","MBQN","F","H","0.088486492916752","0.025244261776777","5.91941826366359e-293","****","lossf-MBQN"
"58","lossf","quantiles","F","I","0.00968543897301219","0.002822692893239","4.26892240340846e-18","****","lossf-quantiles"
"59","lossf","quantiles.robust","F","J","0.240001464439831","0.155848794272038","0","****","lossf-quantiles.robust"
"60","lossf","Rlr","F","K","0.0013116886792291","0","0.0127917349685362","*","lossf-Rlr"
"61","lossf","sum","F","L","0.56280379554428","0.66392815030633","0","****","lossf-sum"
"62","lossf","TIC","F","M","0.179060152970377","0.087337768228299","0","****","lossf-TIC"
"63","lossf","vsn","F","N","0.548731567888304","0.650895143161345","0","****","lossf-vsn"
"64","max","MBQN","G","H","-0.461923857909343","-0.521326980274873","0","****","max-MBQN"
"65","max","quantiles","G","I","-0.540724911853083","-0.6413086092087","0","****","max-quantiles"
"66","max","quantiles.robust","G","J","-0.310408886386265","-0.252677681440097","0","****","max-quantiles.robust"
"67","max","Rlr","G","K","-0.549098662146866","-0.646735100225653","0","****","max-Rlr"
"68","max","sum","G","L","0.0123934447181849","0","3.9838420664734e-48","****","max-sum"
"69","max","TIC","G","M","-0.371350197855718","-0.354687183104595","0","****","max-TIC"
"70","max","vsn","G","N","-0.00167878293779157","0","0.0970171938611253","na","max-vsn"
"71","MBQN","quantiles","H","I","-0.0788010539437398","-0.023243928409192","1.28225053710878e-228","****","MBQN-quantiles"
"72","MBQN","quantiles.robust","H","J","0.151514971523079","0.09509034447613","0","****","MBQN-quantiles.robust"
"73","MBQN","Rlr","H","K","-0.0871748042375229","-0.028661447012034","5.47511630402387e-289","****","MBQN-Rlr"
