"pauc001feature","pauc001sr","pauc001rank","pauc005feature","pauc005sr","pauc005rank","pauc01feature","pauc01sr","pauc01rank","nMCCfeature","nMCCsr","nMCCrank","G-meanfeature","G-meansr","G-meanrank","avg_rank"
"1","SeqKNN",1,1,"SeqKNN",1,1,"SeqKNN",0.866666666666667,3,"SeqKNN",0.6,7,"SeqKNN",0.4,10,4.4
"2","missForest",0.933333333333333,2,"missForest",0.933333333333333,2,"missForest",1,1,"missForest",0.733333333333333,5,"missForest",0.733333333333333,5,3
"3","blank",0.866666666666667,3,"blank",0.2,13,"blank",0.133333333333333,14,"blank",0.0666666666666667,15,"blank",0,16,12.2
"4","nbavg",0.8,4,"nbavg",0.666666666666667,6,"nbavg",0.533333333333333,8,"nbavg",0.666666666666667,6,"nbavg",0.6,7,6.2
"5","QRILC",0.733333333333333,5,"QRILC",0.6,7,"QRILC",0.6,7,"QRILC",0.8,4,"QRILC",0.533333333333333,8,6.2
"6","GMS",0.666666666666667,6,"GMS",0.466666666666667,9,"GMS",0.333333333333333,11,"GMS",0.466666666666667,9,"GMS",0.2,13,9.6
"7","MinProb",0.6,7,"MinProb",0.866666666666667,3,"MinProb",0.8,4,"MinProb",0.866666666666667,3,"MinProb",0.866666666666667,3,4
"8","Impseq",0.533333333333333,8,"Impseq",0.8,4,"Impseq",0.933333333333333,2,"Impseq",0.533333333333333,8,"Impseq",0.8,4,5.2
"9","Impseqrob",0.466666666666667,9,"Impseqrob",0.266666666666667,12,"Impseqrob",0.2,13,"Impseqrob",0.133333333333333,14,"Impseqrob",0.133333333333333,14,12.4
"10","knn",0.4,10,"knn",0.4,10,"knn",0.4,10,"knn",0.266666666666667,12,"knn",0.266666666666667,12,10.8
"11","MinDet",0.333333333333333,11,"MinDet",0.733333333333333,5,"MinDet",0.733333333333333,5,"MinDet",0.933333333333333,2,"MinDet",0.933333333333333,2,5
"12","mice",0.266666666666667,12,"mice",0.333333333333333,11,"mice",0.466666666666667,9,"mice",0.2,13,"mice",0.333333333333333,11,11.2
"13","bpca",0.2,13,"bpca",0.533333333333333,8,"bpca",0.666666666666667,6,"bpca",0.333333333333333,11,"bpca",0.666666666666667,6,8.8
"14","min",0.133333333333333,14,"min",0.133333333333333,14,"min",0.266666666666667,12,"min",0.4,10,"min",0.466666666666667,9,11.8
"15","zero",0.0666666666666667,15,"zero",0.0666666666666667,15,"zero",0.0666666666666667,15,"zero",1,1,"zero",1,1,9.4
"16","MLE",0,16,"MLE",0,16,"MLE",0,16,"MLE",0,16,"MLE",0.0666666666666667,15,15.8
