"pauc001feature","pauc001sr","pauc001rank","pauc005feature","pauc005sr","pauc005rank","pauc01feature","pauc01sr","pauc01rank","nMCCfeature","nMCCsr","nMCCrank","G-meanfeature","G-meansr","G-meanrank","avg_rank"
"1","blank",1,1,"blank",1,1,"blank",1,1,"blank",1,1,"blank",1,1,1
"2","max",0.923076923076923,2,"max",0.923076923076923,2,"max",0.923076923076923,2,"max",0.0769230769230769,13,"max",0.0769230769230769,13,6.4
"3","center.median",0.846153846153846,3,"center.median",0.846153846153846,3,"center.median",0.846153846153846,3,"center.median",0.769230769230769,4,"center.median",0.769230769230769,4,3.4
"4","lossf",0.769230769230769,4,"lossf",0.692307692307692,5,"lossf",0.692307692307692,5,"lossf",0.846153846153846,3,"lossf",0.923076923076923,2,3.8
"5","div.median",0.692307692307692,5,"div.median",0.769230769230769,4,"div.median",0.769230769230769,4,"div.median",0.230769230769231,11,"div.median",0.230769230769231,11,7
"6","Rlr",0.615384615384615,6,"Rlr",0.538461538461538,7,"Rlr",0.615384615384615,6,"Rlr",0.923076923076923,2,"Rlr",0.846153846153846,3,4.8
"7","center.mean",0.538461538461538,7,"center.mean",0.615384615384615,6,"center.mean",0.538461538461538,7,"center.mean",0.692307692307692,5,"center.mean",0.615384615384615,6,6.2
"8","div.mean",0.461538461538462,8,"div.mean",0.461538461538462,8,"div.mean",0.384615384615385,9,"div.mean",0.153846153846154,12,"div.mean",0.153846153846154,12,9.8
"9","vsn",0.384615384615385,9,"vsn",0.307692307692308,10,"vsn",0.230769230769231,11,"vsn",0.307692307692308,10,"vsn",0.307692307692308,10,10
"10","sum",0.307692307692308,10,"sum",0.384615384615385,9,"sum",0.461538461538462,8,"sum",0,14,"sum",0,14,11
"11","quantiles",0.230769230769231,11,"quantiles",0.230769230769231,11,"quantiles",0.307692307692308,10,"quantiles",0.615384615384615,6,"quantiles",0.692307692307692,5,8.6
"12","MBQN",0.153846153846154,12,"MBQN",0.153846153846154,12,"MBQN",0.153846153846154,12,"MBQN",0.538461538461538,7,"MBQN",0.538461538461538,7,10
"13","TIC",0.0769230769230769,13,"TIC",0.0769230769230769,13,"TIC",0.0769230769230769,13,"TIC",0.384615384615385,9,"TIC",0.461538461538462,8,11.2
"14","quantiles.robust",0,14,"quantiles.robust",0,14,"quantiles.robust",0,14,"quantiles.robust",0.461538461538462,8,"quantiles.robust",0.384615384615385,9,11.8
