"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","ANOVA","DEP","A","B","-0.0135873425558941","0","2.45273399698986e-142","****","ANOVA-DEP"
"2","ANOVA","DEqMS","A","C","-0.0250734301358754","-0.00317000101527598","0","****","ANOVA-DEqMS"
"3","ANOVA","limma","A","D","-0.0243759333616315","-0.00246103149763999","0","****","ANOVA-limma"
"4","ANOVA","proDA","A","E","-0.0142637719912947","0","3.05920235880768e-144","****","ANOVA-proDA"
"5","ANOVA","ROTS","A","F","-0.0242211355061989","-0.00321179069889799","0","****","ANOVA-ROTS"
"6","ANOVA","SAM","A","G","0.055207026619","0","0","****","ANOVA-SAM"
"7","ANOVA","ttest","A","H","0.0006118201171453","0","0.225917246036806","na","ANOVA-ttest"
"8","DEP","DEqMS","B","C","-0.0114860875799813","0","2.13685121493838e-174","****","DEP-DEqMS"
"9","DEP","limma","B","D","-0.0107885908057374","0","1.055412950003e-157","****","DEP-limma"
"10","DEP","proDA","B","E","-0.000676429435400547","0","0.155792815213151","na","DEP-proDA"
"11","DEP","ROTS","B","F","-0.0106337929503048","0","9.11359602832888e-111","****","DEP-ROTS"
"12","DEP","SAM","B","G","0.0687943691748941","0","0","****","DEP-SAM"
"13","DEP","ttest","B","H","0.0141991626730394","0","1.71778371896478e-160","****","DEP-ttest"
"14","DEqMS","limma","C","D","0.000697496774243919","0","3.55967440903412e-14","****","DEqMS-limma"
"15","DEqMS","proDA","C","E","0.0108096581445808","0","4.27462078718354e-154","****","DEqMS-proDA"
"16","DEqMS","ROTS","C","F","0.00085229462967654","0","0.00451010846090285","**","DEqMS-ROTS"
"17","DEqMS","SAM","C","G","0.0802804567548754","0.00140911286788103","0","****","DEqMS-SAM"
"18","DEqMS","ttest","C","H","0.0256852502530207","0.000792263636018031","0","****","DEqMS-ttest"
"19","limma","proDA","D","E","0.0101121613703369","0","3.30275944600629e-143","****","limma-proDA"
"20","limma","ROTS","D","F","0.000154797855432621","0","0.59327084249013","na","limma-ROTS"
"21","limma","SAM","D","G","0.0795829599806315","0.000851482670421899","0","****","limma-SAM"
"22","limma","ttest","D","H","0.0249877534787768","0.000596808072661048","0","****","limma-ttest"
"23","proDA","ROTS","E","F","-0.00995736351490423","0","9.41377058770036e-94","****","proDA-ROTS"
"24","proDA","SAM","E","G","0.0694707986102946","0","0","****","proDA-SAM"
"25","proDA","ttest","E","H","0.01487559210844","0","0","****","proDA-ttest"
"26","ROTS","SAM","F","G","0.0794281621251988","0","0","****","ROTS-SAM"
"27","ROTS","ttest","F","H","0.0248329556233442","0","0","****","ROTS-ttest"
"28","SAM","ttest","G","H","-0.0545952065018546","0","0","****","SAM-ttest"
