"beta_binomial","edgeR","plgem"
"|FragPipe|count|MLE|blank_nMcc_B.A_HYE5600735_LFQ",0.750915050466983,0.71168806018941,0.520744674491075
"|FragPipe|count|MLE|blank_nMcc_B.A_HYE6600735_LFQ",0.739746325042692,0.726703513447114,0.5
"|FragPipe|count|MLE|blank_nMcc_B.A_HYEqe735_LFQ",0.729386403397748,0.714312957241984,0.5
"|FragPipe|count|MLE|blank_nMcc_B.A_HYEtims735_LFQ",0.731955015572072,0.739354895446068,0.509438072405053
"|FragPipe|count|MLE|blank_nMcc_C.B_HYtims134_LFQ",0.49483500617242,0.5,0.5
"|FragPipe|count|MLE|blank_nMcc_D.B_HYtims134_LFQ",0.49183031998116,0.4926937429453,0.496348260759077
"|FragPipe|count|MLE|blank_nMcc_D.C_HYtims134_LFQ",0.489033657402343,0.489033657402343,0.5
"|FragPipe|count|MLE|blank_nMcc_B.A_HEtims425_LFQ",0.491605905389269,0.495516503386462,0.496830160247593
"|FragPipe|count|MLE|blank_nMcc_C.A_HEtims425_LFQ",0.487820032775075,0.626169719316694,0.497758751321403
"|FragPipe|count|MLE|blank_nMcc_C.B_HEtims425_LFQ",0.500541703526706,0.506967268108952,0.496117466559655
"|FragPipe|count|MLE|blank_nMcc_D.C_YUltq006_LFQ",0.506052628259908,0.5,0.5
"|FragPipe|count|MLE|blank_nMcc_E.B_YUltq006_LFQ",0.52107063845045,0.532450155844509,0.5
"|FragPipe|count|MLE|blank_nMcc_D.B_YUltq099_LFQ",0.549406263658808,0.653063482347226,0.5
"|FragPipe|count|MLE|blank_nMcc_E.C_YUltq099_LFQ",0.480421102317229,0.568398355403494,0.494863111438622
"|FragPipe|count|MLE|blank_nMcc_D.A_YUltq819_LFQ",0.481472142843208,0.483041100963123,0.5
"|FragPipe|count|MLE|blank_nMcc_F.C_YUltq819_LFQ",0.523341610609252,0.556626224799997,0.5
"|FragPipe|count|MLE|blank_nMcc_I.H_YUltq819_LFQ",0.634652768545919,0.617695578585802,0.569993876558552
"|FragPipe|count|MLE|blank_nMcc_B.A_HEqe408_LFQ",0.506269677621784,0.580083273325882,0.5
"|FragPipe|count|MLE|blank_nMcc_B.A_HYqfl683_LFQ",0.598677532336615,0.609220451817861,0.5
"|FragPipe|count|MLE|blank_nMcc_C.A_HYqfl683_LFQ",0.677735692993636,0.717743542337075,0.501919011952537
"|FragPipe|count|MLE|blank_nMcc_C.B_HYqfl683_LFQ",0.548192315243364,0.534605037382256,0.5
"|FragPipe|count|MLE|blank_nMcc_B.A_HYEtims777_LFQ",0.626587267950047,0.687980313387416,0.539276821622076
"|FragPipe|count|MLE|sum_nMcc_C.B_HYtims134_LFQ",0.496348260759077,0.5,0.5
"|FragPipe|count|MLE|sum_nMcc_D.B_HYtims134_LFQ",0.49183031998116,0.5,0.5
"|FragPipe|count|MLE|sum_nMcc_D.C_HYtims134_LFQ",0.490331050504482,0.49483500617242,0.5
"|FragPipe|count|MLE|sum_nMcc_B.A_HEtims425_LFQ",0.519412427858521,0.49406756870196,0.5
"|FragPipe|count|MLE|sum_nMcc_C.A_HEtims425_LFQ",0.519801608420864,0.49406756870196,0.497758751321403
"|FragPipe|count|MLE|sum_nMcc_C.B_HEtims425_LFQ",0.501021411417716,0.5,0.5
"|FragPipe|count|MLE|sum_nMcc_D.C_YUltq006_LFQ",0.49079680879735,0.491607351859184,0.5
"|FragPipe|count|MLE|sum_nMcc_E.B_YUltq006_LFQ",0.48728105538119,0.48728105538119,0.5
"|FragPipe|count|MLE|sum_nMcc_D.B_YUltq099_LFQ",0.476052955111331,0.476463601285785,0.5
"|FragPipe|count|MLE|sum_nMcc_E.C_YUltq099_LFQ",0.485133754121888,0.485133754121888,0.497435586761734
"|FragPipe|count|MLE|sum_nMcc_D.A_YUltq819_LFQ",0.481725363765828,0.484163312814786,0.5
"|FragPipe|count|MLE|sum_nMcc_F.C_YUltq819_LFQ",0.489702036230129,0.489702036230129,0.5
"|FragPipe|count|MLE|sum_nMcc_I.H_YUltq819_LFQ",0.488472059292818,0.488472059292818,0.5
"|FragPipe|count|MLE|sum_nMcc_B.A_HYqfl683_LFQ",0.583230467622292,0.563262504635982,0.5
"|FragPipe|count|MLE|sum_nMcc_C.A_HYqfl683_LFQ",0.657570032687451,0.668482836176731,0.5
"|FragPipe|count|MLE|sum_nMcc_C.B_HYqfl683_LFQ",0.553959111394716,0.5,0.5
"|FragPipe|count|MLE|max_nMcc_B.A_HYE5600735_LFQ",0.655257398052224,0.63716576412951,0.592035002916343
"|FragPipe|count|MLE|max_nMcc_B.A_HYE6600735_LFQ",0.609469931005492,0.608676795068032,0.5
"|FragPipe|count|MLE|max_nMcc_B.A_HYEqe735_LFQ",0.602371282701847,0.609198221986472,0.564344675801974
"|FragPipe|count|MLE|max_nMcc_B.A_HYEtims735_LFQ",0.568915919942703,0.626306041960204,0.559522416870081
"|FragPipe|count|MLE|max_nMcc_C.B_HYtims134_LFQ",0.49483500617242,0.5,0.5
"|FragPipe|count|MLE|max_nMcc_D.B_HYtims134_LFQ",0.49183031998116,0.5,0.5
"|FragPipe|count|MLE|max_nMcc_D.C_HYtims134_LFQ",0.489033657402343,0.4926937429453,0.5
"|FragPipe|count|MLE|max_nMcc_B.A_HEtims425_LFQ",0.491605905389269,0.5,0.5
"|FragPipe|count|MLE|max_nMcc_C.A_HEtims425_LFQ",0.487820032775075,0.5,0.5
"|FragPipe|count|MLE|max_nMcc_C.B_HEtims425_LFQ",0.500541703526706,0.5,0.5
"|FragPipe|count|MLE|max_nMcc_D.C_YUltq006_LFQ",0.48957883702259,0.494282448232036,0.5
"|FragPipe|count|MLE|max_nMcc_E.B_YUltq006_LFQ",0.485998771760838,0.485998771760838,0.5
"|FragPipe|count|MLE|max_nMcc_D.B_YUltq099_LFQ",0.471353607957384,0.472991628804694,0.5
