"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","bpca","A","B","-0.00971554899113307","0","5.75929520497107e-22","****","blank-bpca"
"2","blank","GMS","A","C","-0.00944560144694784","0","1.68162613634906e-23","****","blank-GMS"
"3","blank","Impseq","A","D","-0.0117032743543122","0","1.64730174608271e-27","****","blank-Impseq"
"4","blank","Impseqrob","A","E","-0.00180773254437278","0","0.0143649567729543","*","blank-Impseqrob"
"5","blank","knn","A","F","-0.010440871661977","0","2.09928486954191e-33","****","blank-knn"
"6","blank","mice","A","G","-0.00709184987246852","0","1.7224350532279e-20","****","blank-mice"
"7","blank","min","A","H","-0.0108573780565195","0","9.14737291553913e-21","****","blank-min"
"8","blank","MinDet","A","I","-0.0177212873940019","0","3.24934915159514e-66","****","blank-MinDet"
"9","blank","MinProb","A","J","-0.0175466345164893","0","3.10907661181913e-64","****","blank-MinProb"
"10","blank","missForest","A","K","-0.0151380010461494","0","5.29697318453547e-67","****","blank-missForest"
"11","blank","MLE","A","L","0.00419572191427802","0.00956379814832803","0.000446172734666421","***","blank-MLE"
"12","blank","nbavg","A","M","-0.0152758077457875","0","6.28625547464568e-58","****","blank-nbavg"
"13","blank","QRILC","A","N","-0.0175878949141392","0","7.14323231370396e-73","****","blank-QRILC"
"14","blank","SeqKNN","A","O","-0.014729774246869","0","2.32947080316541e-48","****","blank-SeqKNN"
"15","blank","zero","A","P","-0.0172350749077496","0","1.11979506909694e-40","****","blank-zero"
"16","bpca","GMS","B","C","0.000269947544185221","0","0.699915955104233","na","bpca-GMS"
"17","bpca","Impseq","B","D","-0.00198772536317913","0","3.25713667903416e-10","****","bpca-Impseq"
"18","bpca","Impseqrob","B","E","0.00790781644676028","0","3.63192127920403e-38","****","bpca-Impseqrob"
"19","bpca","knn","B","F","-0.000725322670843915","0","0.250776143856347","na","bpca-knn"
"20","bpca","mice","B","G","0.00262369911866454","0","5.19526046450144e-05","****","bpca-mice"
"21","bpca","min","B","H","-0.00114182906538643","0","0.211511591795004","na","bpca-min"
"22","bpca","MinDet","B","I","-0.00800573840286887","0","5.21253930892492e-31","****","bpca-MinDet"
"23","bpca","MinProb","B","J","-0.00783108552535623","0","3.97196803340757e-24","****","bpca-MinProb"
"24","bpca","missForest","B","K","-0.00542245205501634","0","2.15235967923751e-14","****","bpca-missForest"
"25","bpca","MLE","B","L","0.0139112709054111","0.011020379557977","2.11531445736933e-28","****","bpca-MLE"
"26","bpca","nbavg","B","M","-0.00556025875465445","0","1.64744375009642e-10","****","bpca-nbavg"
"27","bpca","QRILC","B","N","-0.00787234592300615","0","3.02707867467853e-21","****","bpca-QRILC"
"28","bpca","SeqKNN","B","O","-0.00501422525573596","0","2.29713245801596e-15","****","bpca-SeqKNN"
