"dlfq","LFQ","top0","top3"
"limma|FragPipe||MLE|blank_nMcc_B.A_HYE5600735_LFQ",0.82902621594761,0.841549282114581,0.809366566260492,0.809691293914857
"limma|FragPipe||MLE|blank_nMcc_B.A_HYE6600735_LFQ",0.828617594855332,0.843762396866553,0.790255536472596,0.801079074870859
"limma|FragPipe||MLE|blank_nMcc_B.A_HYEqe735_LFQ",0.825955230919479,0.837569456989693,0.817750539972118,0.800168155566137
"limma|FragPipe||MLE|blank_nMcc_B.A_HYEtims735_LFQ",0.829922526777607,0.836532751168134,0.817766360557948,0.818037198089671
"limma|FragPipe||MLE|blank_nMcc_C.B_HYtims134_LFQ",0.530057908802392,0.517353746246953,0.523765728891535,0.521689530363383
"limma|FragPipe||MLE|blank_nMcc_D.B_HYtims134_LFQ",0.72098553907684,0.725788152752572,0.707754070277646,0.711892432619135
"limma|FragPipe||MLE|blank_nMcc_D.C_HYtims134_LFQ",0.506116208557513,0.504528462340071,0.513901414570501,0.514571396418909
"limma|FragPipe||MLE|blank_nMcc_B.A_HEtims425_LFQ",0.533586819135892,0.502191304070851,0.551389661016877,0.546400907679183
"limma|FragPipe||MLE|blank_nMcc_C.A_HEtims425_LFQ",0.925874867940908,0.878319836217985,0.888708299679703,0.89058804173776
"limma|FragPipe||MLE|blank_nMcc_C.B_HEtims425_LFQ",0.896631079263082,0.863426755748973,0.863754041774081,0.845790629422652
"limma|FragPipe||MLE|blank_nMcc_E.B_YUltq006_LFQ",0.515413023902938,0.543558770228295,0.513247940428239,0.522228045774796
"limma|FragPipe||MLE|blank_nMcc_D.C_YUltq006_LFQ",0.538995355539173,0.545166536050298,0.561446387973076,0.553641068242206
"limma|FragPipe||MLE|blank_nMcc_E.C_YUltq099_LFQ",0.717547952674403,0.877257668907616,0.816066043703588,0.816066043703588
"limma|FragPipe||MLE|blank_nMcc_D.B_YUltq099_LFQ",0.849971709028425,0.943186164787229,0.849339482623917,0.843056259354314
"limma|FragPipe||MLE|blank_nMcc_D.A_YUltq819_LFQ",0.506395297996765,0.482504283353347,0.493173512331075,0.471456766101023
"limma|FragPipe||MLE|blank_nMcc_F.C_YUltq819_LFQ",0.794218494175486,0.562902383557227,0.501837334814884,0.507092491283974
"limma|FragPipe||MLE|blank_nMcc_I.H_YUltq819_LFQ",0.906218154667291,0.866504950799866,0.816218006779033,0.819717384260831
"limma|FragPipe||MLE|blank_nMcc_B.A_HEqe408_LFQ",0.783054881739472,0.734014757911561,0.783138329853638,0.783337181731972
"limma|FragPipe||MLE|blank_nMcc_B.A_HYqfl683_LFQ",0.771245864922542,0.75770830134473,0.762200597601777,0.759546803054924
"limma|FragPipe||MLE|blank_nMcc_C.A_HYqfl683_LFQ",0.759927756864421,0.758390096500444,0.784832856135399,0.784227140894953
"limma|FragPipe||MLE|blank_nMcc_C.B_HYqfl683_LFQ",0.716729604167527,0.719698487512716,0.697085260998459,0.701833361091503
"limma|FragPipe||MLE|blank_nMcc_B.A_HYEtims777_LFQ",0.847140133387553,0.865180370127816,0.838671532744019,0.82732973941988
"limma|FragPipe||MLE|sum_nMcc_B.A_HYE5600735_LFQ",0.648531933753198,0.687782490415141,0.647084022187825,0.647143441427035
"limma|FragPipe||MLE|sum_nMcc_B.A_HYE6600735_LFQ",0.623832582051634,0.651113614029393,0.622260106493119,0.627270699642785
"limma|FragPipe||MLE|sum_nMcc_B.A_HYEqe735_LFQ",0.673722418353095,0.686594375107902,0.674115497448533,0.659498093447319
"limma|FragPipe||MLE|sum_nMcc_B.A_HYEtims735_LFQ",0.625673078053495,0.642691783605354,0.622542526667282,0.624475589234793
"limma|FragPipe||MLE|sum_nMcc_C.B_HYtims134_LFQ",0.520026434285251,0.5,0.5,0.5
"limma|FragPipe||MLE|sum_nMcc_D.B_HYtims134_LFQ",0.508806773949811,0.49183031998116,0.49183031998116,0.49183031998116
"limma|FragPipe||MLE|sum_nMcc_D.C_HYtims134_LFQ",0.489435235233921,0.4926937429453,0.49183031998116,0.491049428288981
