"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","center.mean","A","B","0.0147222552171268","0.00638661284465292","3.65551677309425e-179","****","blank-center.mean"
"2","blank","center.median","A","C","0.011293168845901","0.00502807635866998","6.52335676152411e-118","****","blank-center.median"
"3","blank","div.mean","A","D","0.214058159121887","0.237305937245068","0","****","blank-div.mean"
"4","blank","div.median","A","E","0.213860465546633","0.236859984865794","0","****","blank-div.median"
"5","blank","lossf","A","F","0.00597577795609145","0","1.67177769902672e-85","****","blank-lossf"
"6","blank","max","A","G","0.214417168460261","0.237481983330426","0","****","blank-max"
"7","blank","MBQN","A","H","0.0520327462542303","0.0278848070396821","0","****","blank-MBQN"
"8","blank","quantiles","A","I","0.0165166794914167","0.00731099735825802","2.21964055717385e-247","****","blank-quantiles"
"9","blank","quantiles.robust","A","J","0.112597280138281","0.0801166204423079","0","****","blank-quantiles.robust"
"10","blank","Rlr","A","K","0.00570474495641115","0.00108574638010195","1.76922229180245e-95","****","blank-Rlr"
"11","blank","sum","A","L","0.218061536466898","0.245059039819338","0","****","blank-sum"
"12","blank","TIC","A","M","0.125738015336196","0.060667571797961","0","****","blank-TIC"
"13","blank","vsn","A","N","0.213008609067559","0.242166159186415","0","****","blank-vsn"
"14","center.mean","center.median","B","C","-0.00342908637122579","-0.000722723310039974","2.32200365242553e-42","****","center.mean-center.median"
"15","center.mean","div.mean","B","D","0.19933590390476","0.221181434516206","0","****","center.mean-div.mean"
"16","center.mean","div.median","B","E","0.199138210329506","0.220935339560528","0","****","center.mean-div.median"
"17","center.mean","lossf","B","F","-0.00874647726103531","-0.00325413937643992","7.38944167523828e-63","****","center.mean-lossf"
"18","center.mean","max","B","G","0.199694913243134","0.221822152955701","0","****","center.mean-max"
"19","center.mean","MBQN","B","H","0.0373104910371035","0.012115971446744","2.63812175384469e-239","****","center.mean-MBQN"
"20","center.mean","quantiles","B","I","0.00179442427428995","0","3.24025976410885e-06","****","center.mean-quantiles"
"21","center.mean","quantiles.robust","B","J","0.0978750249211539","0.0685158795712331","0","****","center.mean-quantiles.robust"
"22","center.mean","Rlr","B","K","-0.00901751026071562","-0.00201179872090707","8.40249564706352e-68","****","center.mean-Rlr"
"23","center.mean","sum","B","L","0.203339281249772","0.229206414470659","0","****","center.mean-sum"
"24","center.mean","TIC","B","M","0.111015760119069","0.036801689510533","0","****","center.mean-TIC"
"25","center.mean","vsn","B","N","0.198286353850432","0.226079964340577","0","****","center.mean-vsn"
"26","center.median","div.mean","C","D","0.202764990275986","0.226517363343719","0","****","center.median-div.mean"
"27","center.median","div.median","C","E","0.202567296700732","0.22641444620973","0","****","center.median-div.median"
"28","center.median","lossf","C","F","-0.00531739088980952","-0.00102135757907496","1.52489904342064e-27","****","center.median-lossf"
"29","center.median","max","C","G","0.20312399961436","0.22699634823533","0","****","center.median-max"
"30","center.median","MBQN","C","H","0.0407395774083293","0.015212224144259","2.75032751866308e-283","****","center.median-MBQN"
"31","center.median","quantiles","C","I","0.00522351064551574","0.00094699305338708","5.37664718152738e-34","****","center.median-quantiles"
"32","center.median","quantiles.robust","C","J","0.10130411129238","0.070043681900143","0","****","center.median-quantiles.robust"
"33","center.median","Rlr","C","K","-0.00558842388948983","-0.000431102475893064","2.75784817954857e-29","****","center.median-Rlr"
"34","center.median","sum","C","L","0.206768367620997","0.233662928862767","0","****","center.median-sum"
"35","center.median","TIC","C","M","0.114444846490295","0.041492501601218","0","****","center.median-TIC"
"36","center.median","vsn","C","N","0.201715440221658","0.230629400354104","0","****","center.median-vsn"
"37","div.mean","div.median","D","E","-0.000197693575253994","0","2.30033595350885e-05","****","div.mean-div.median"
"38","div.mean","lossf","D","F","-0.208082381165795","-0.229829378423198","0","****","div.mean-lossf"
"39","div.mean","max","D","G","0.000359009338374395","0","1.64673381149498e-06","****","div.mean-max"
"40","div.mean","MBQN","D","H","-0.162025412867657","-0.166682223548439","0","****","div.mean-MBQN"
"41","div.mean","quantiles","D","I","-0.19754147963047","-0.214985804168182","0","****","div.mean-quantiles"
"42","div.mean","quantiles.robust","D","J","-0.101460878983606","-0.044956910621738","0","****","div.mean-quantiles.robust"
"43","div.mean","Rlr","D","K","-0.208353414165476","-0.227678072289041","0","****","div.mean-Rlr"
"44","div.mean","sum","D","L","0.00400337734501159","0","8.0583692692948e-40","****","div.mean-sum"
"45","div.mean","TIC","D","M","-0.0883201437856907","-0.032958084216964","0","****","div.mean-TIC"
"46","div.mean","vsn","D","N","-0.00104955005432831","0","0.0169440619289735","*","div.mean-vsn"
"47","div.median","lossf","E","F","-0.207884687590541","-0.229637344721163","0","****","div.median-lossf"
"48","div.median","max","E","G","0.000556702913628388","0","9.6010890722774e-10","****","div.median-max"
"49","div.median","MBQN","E","H","-0.161827719292403","-0.166323069442414","0","****","div.median-MBQN"
"50","div.median","quantiles","E","I","-0.197343786055216","-0.214678329350451","0","****","div.median-quantiles"
"51","div.median","quantiles.robust","E","J","-0.101263185408352","-0.044798960458709","0","****","div.median-quantiles.robust"
"52","div.median","Rlr","E","K","-0.208155720590222","-0.22722067225027","0","****","div.median-Rlr"
"53","div.median","sum","E","L","0.00420107092026558","0","2.42287330565583e-42","****","div.median-sum"
"54","div.median","TIC","E","M","-0.0881224502104367","-0.032958016975018","0","****","div.median-TIC"
"55","div.median","vsn","E","N","-0.000851856479074319","0","0.0541448727549506","na","div.median-vsn"
"56","lossf","max","F","G","0.20844139050417","0.230321435452881","0","****","lossf-max"
"57","lossf","MBQN","F","H","0.0460569682981388","0.015190728505406","0","****","lossf-MBQN"
"58","lossf","quantiles","F","I","0.0105409015353253","0.00394756886509806","4.9628321837669e-94","****","lossf-quantiles"
"59","lossf","quantiles.robust","F","J","0.106621502182189","0.073289222494491","0","****","lossf-quantiles.robust"
"60","lossf","Rlr","F","K","-0.000271032999680305","0","0.222084137991082","na","lossf-Rlr"
"61","lossf","sum","F","L","0.212085758510807","0.238768506129667","0","****","lossf-sum"
"62","lossf","TIC","F","M","0.119762237380105","0.062365911324166","0","****","lossf-TIC"
"63","lossf","vsn","F","N","0.207032831111467","0.234682695546819","0","****","lossf-vsn"
"64","max","MBQN","G","H","-0.162384422206031","-0.166929589924353","0","****","max-MBQN"
"65","max","quantiles","G","I","-0.197900488968844","-0.215155891998813","0","****","max-quantiles"
"66","max","quantiles.robust","G","J","-0.10181988832198","-0.045864911777768","0","****","max-quantiles.robust"
"67","max","Rlr","G","K","-0.20871242350385","-0.228160220300224","0","****","max-Rlr"
"68","max","sum","G","L","0.0036443680066372","0","9.71416887762709e-35","****","max-sum"
"69","max","TIC","G","M","-0.0886791531240651","-0.032958016975018","0","****","max-TIC"
"70","max","vsn","G","N","-0.00140855939270271","0","0.00130699133640097","**","max-vsn"
