"beta_binomial","edgeR","plgem"
"|FragPipe|count|MLE|blank_pauc005_B.A_HYE5600735_LFQ",0.635792091076121,0.657520937703467,0.554006167262333
"|FragPipe|count|MLE|blank_pauc005_B.A_HYE6600735_LFQ",0.68829763951549,0.671455378966876,0.559592571171519
"|FragPipe|count|MLE|blank_pauc005_B.A_HYEqe735_LFQ",0.64438383705087,0.647942706512922,0.555016727030701
"|FragPipe|count|MLE|blank_pauc005_B.A_HYEtims735_LFQ",0.639990944483457,0.678764308548002,0.565660813973151
"|FragPipe|count|MLE|blank_pauc005_C.B_HYtims134_LFQ",0.499164903242582,0.499251579262407,0.503648810056759
"|FragPipe|count|MLE|blank_pauc005_D.B_HYtims134_LFQ",0.500105631461357,0.54014061875674,0.522327306992597
"|FragPipe|count|MLE|blank_pauc005_D.C_HYtims134_LFQ",0.499618887497548,0.503975270443173,0.499939366199882
"|FragPipe|count|MLE|blank_pauc005_B.A_HEtims425_LFQ",0.491062756316213,0.510956671206984,0.496589526447791
"|FragPipe|count|MLE|blank_pauc005_C.A_HEtims425_LFQ",0.489255059036428,0.608320301358392,0.519051193992894
"|FragPipe|count|MLE|blank_pauc005_C.B_HEtims425_LFQ",0.490486608315981,0.569078861667374,0.499439800421116
"|FragPipe|count|MLE|blank_pauc005_D.C_YUltq006_LFQ",0.521612286859636,0.514811129998694,0.510964638520627
"|FragPipe|count|MLE|blank_pauc005_E.B_YUltq006_LFQ",0.504993998184503,0.535406927628121,0.537963999502461
"|FragPipe|count|MLE|blank_pauc005_D.B_YUltq099_LFQ",0.487179487179487,0.487179487179487,0.529418978713773
"|FragPipe|count|MLE|blank_pauc005_E.C_YUltq099_LFQ",0.487179487179487,0.541219210270192,0.487179487179487
"|FragPipe|count|MLE|blank_pauc005_D.A_YUltq819_LFQ",0.49185700695623,0.487179487179487,0.491774098916956
"|FragPipe|count|MLE|blank_pauc005_F.C_YUltq819_LFQ",0.552882670753077,0.580256727810037,0.679033423948991
"|FragPipe|count|MLE|blank_pauc005_I.H_YUltq819_LFQ",0.64758771365452,0.650003341085555,0.513368994321375
"|FragPipe|count|MLE|blank_pauc005_B.A_HEqe408_LFQ",0.501694232434617,0.541535444924419,0.518375277195059
"|FragPipe|count|MLE|blank_pauc005_B.A_HYqfl683_LFQ",0.550074340407996,0.584388282978262,0.532799084932039
"|FragPipe|count|MLE|blank_pauc005_C.A_HYqfl683_LFQ",0.60210852494443,0.668486406664355,0.57547990255239
"|FragPipe|count|MLE|blank_pauc005_C.B_HYqfl683_LFQ",0.561161854143185,0.519956156161682,0.493326618055997
"|FragPipe|count|MLE|blank_pauc005_B.A_HYEtims777_LFQ",0.560828957028087,0.648401949155031,0.553246431558531
"|FragPipe|count|MLE|sum_pauc005_C.B_HYtims134_LFQ",0.498861852263362,0.499397893538372,0.504766220524689
"|FragPipe|count|MLE|sum_pauc005_D.B_HYtims134_LFQ",0.497819377604594,0.499548893340696,0.515692606713015
"|FragPipe|count|MLE|sum_pauc005_D.C_HYtims134_LFQ",0.498947765257863,0.499219906754196,0.505815513018394
"|FragPipe|count|MLE|sum_pauc005_B.A_HEtims425_LFQ",0.502493761134277,0.499060415160492,0.512518536288365
"|FragPipe|count|MLE|sum_pauc005_C.A_HEtims425_LFQ",0.502320210026877,0.49673612928665,0.562133187809901
"|FragPipe|count|MLE|sum_pauc005_C.B_HEtims425_LFQ",0.499737266866427,0.499723416557663,0.532927104908938
"|FragPipe|count|MLE|sum_pauc005_D.C_YUltq006_LFQ",0.491529629292406,0.487179487179487,0.487179487179487
