"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","center.mean","A","B","0.0191472320632774","0.008243711632689","9.72135148820757e-262","****","blank-center.mean"
"2","blank","center.median","A","C","0.0148587838941694","0.00555151283093291","2.17891571439672e-181","****","blank-center.median"
"3","blank","div.mean","A","D","0.0209104784937906","0.00751723831733297","1.28257824792802e-308","****","blank-div.mean"
"4","blank","div.median","A","E","0.0163888188634091","0.00490647900552699","1.96431752866834e-220","****","blank-div.median"
"5","blank","lossf","A","F","0.0178232661469378","0.000354805663432045","1.18735875450673e-219","****","blank-lossf"
"6","blank","max","A","G","0.00489156692798632","0","5.15368031934018e-24","****","blank-max"
"7","blank","MBQN","A","H","0.0456061642382226","0.0335096913968149","0","****","blank-MBQN"
"8","blank","quantiles","A","I","0.0326121314224726","0.017237380809012","0","****","blank-quantiles"
"9","blank","quantiles.robust","A","J","0.113227707453","0.0998983044974731","0","****","blank-quantiles.robust"
"10","blank","Rlr","A","K","0.0200734518331221","0.00220942002239199","2.26000598632354e-299","****","blank-Rlr"
"11","blank","sum","A","L","0.0226290640318553","0.00651018487285604","8.42044753654191e-243","****","blank-sum"
"12","blank","TIC","A","M","0.0864804837697925","0.057086796511575","0","****","blank-TIC"
"13","blank","vsn","A","N","0.0323871076741629","0.00612141666403898","0","****","blank-vsn"
"14","center.mean","center.median","B","C","-0.00428844816910799","-0.00125691302161901","1.68267885520057e-83","****","center.mean-center.median"
"15","center.mean","div.mean","B","D","0.00176324643051316","0","7.21785052242267e-09","****","center.mean-div.mean"
"16","center.mean","div.median","B","E","-0.00275841319986829","-0.00165738503538393","3.16610953260002e-16","****","center.mean-div.median"
"17","center.mean","lossf","B","F","-0.00132396591633963","-0.002745331077116","0.0421842192472643","*","center.mean-lossf"
"18","center.mean","max","B","G","-0.0142556651352911","-0.006279281977291","2.6474473809989e-96","****","center.mean-max"
"19","center.mean","MBQN","B","H","0.0264589321749452","0.0104798609937929","9.19578132060971e-120","****","center.mean-MBQN"
"20","center.mean","quantiles","B","I","0.0134648993591952","0.00287294404941496","1.79234003980936e-182","****","center.mean-quantiles"
"21","center.mean","quantiles.robust","B","J","0.0940804753897228","0.082701750833277","0","****","center.mean-quantiles.robust"
"22","center.mean","Rlr","B","K","0.000926219769844698","-0.00144861095460702","0.120957167685999","na","center.mean-Rlr"
"23","center.mean","sum","B","L","0.00348183196857793","0","3.59567826645502e-06","****","center.mean-sum"
"24","center.mean","TIC","B","M","0.0673332517065151","0.02827066474613","0","****","center.mean-TIC"
"25","center.mean","vsn","B","N","0.0132398756108855","0","1.35157161262989e-64","****","center.mean-vsn"
"26","center.median","div.mean","C","D","0.00605169459962115","0.00221522997908907","7.95011668188828e-68","****","center.median-div.mean"
"27","center.median","div.median","C","E","0.0015300349692397","0","5.04630474607478e-07","****","center.median-div.median"
"28","center.median","lossf","C","F","0.00296448225276837","-0.00119344641878105","3.26133799059877e-06","****","center.median-lossf"
"29","center.median","max","C","G","-0.00996721696618311","-0.00350073875817503","3.51706963439799e-52","****","center.median-max"
"30","center.median","MBQN","C","H","0.0307473803440532","0.016091327090358","1.26077829368323e-156","****","center.median-MBQN"
"31","center.median","quantiles","C","I","0.0177533475283032","0.00656146373745303","1.15704237559611e-256","****","center.median-quantiles"
"32","center.median","quantiles.robust","C","J","0.0983689235588308","0.08630966503602","0","****","center.median-quantiles.robust"
"33","center.median","Rlr","C","K","0.00521466793895269","-7.44919960369295e-05","2.48180932285028e-19","****","center.median-Rlr"
