"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","ANOVA","DEP","A","B","-0.239007975408638","-0.251106076257773","0","****","ANOVA-DEP"
"2","ANOVA","DEqMS","A","C","-0.231445781301765","-0.239695671087113","0","****","ANOVA-DEqMS"
"3","ANOVA","limma","A","D","-0.238021112368471","-0.249937285944776","0","****","ANOVA-limma"
"4","ANOVA","proDA","A","E","-0.228904513161681","-0.236287565583185","0","****","ANOVA-proDA"
"5","ANOVA","ROTS","A","F","-0.245856103677746","-0.257698694110423","0","****","ANOVA-ROTS"
"6","ANOVA","SAM","A","G","-0.229642384348494","-0.242350918675748","0","****","ANOVA-SAM"
"7","ANOVA","ttest","A","H","-0.193537122136593","-0.199315343823315","0","****","ANOVA-ttest"
"8","DEP","DEqMS","B","C","0.00756219410687237","0.00500277759211698","8.31779438634394e-163","****","DEP-DEqMS"
"9","DEP","limma","B","D","0.000986863040166712","0","3.82939402470475e-05","****","DEP-limma"
"10","DEP","proDA","B","E","0.0101034622469565","0.00269976411617201","1.87375339328007e-229","****","DEP-proDA"
"11","DEP","ROTS","B","F","-0.00684812826910837","-0.002975484269228","2.1634767631357e-31","****","DEP-ROTS"
"12","DEP","SAM","B","G","0.00936559106014348","0.00216131299117994","9.82112358415114e-104","****","DEP-SAM"
"13","DEP","ttest","B","H","0.0454708532720446","0.0370915237260551","0","****","DEP-ttest"
"14","DEqMS","limma","C","D","-0.00657533106670566","-0.00425362976406596","0","****","DEqMS-limma"
"15","DEqMS","proDA","C","E","0.00254126814008409","-0.000594578466024953","1.74785474679063e-14","****","DEqMS-proDA"
"16","DEqMS","ROTS","C","F","-0.0144103223759807","-0.00812781766133697","8.06982632417478e-148","****","DEqMS-ROTS"
"17","DEqMS","SAM","C","G","0.00180339695327111","-0.00203059808141803","1.23827602079446e-05","****","DEqMS-SAM"
"18","DEqMS","ttest","C","H","0.0379086591651722","0.026068391924819","0","****","DEqMS-ttest"
"19","limma","proDA","D","E","0.00911659920678975","0.00217517469647599","5.51401590065632e-199","****","limma-proDA"
"20","limma","ROTS","D","F","-0.00783499130927509","-0.00405303936733292","1.25615715078112e-48","****","limma-ROTS"
"21","limma","SAM","D","G","0.00837872801997676","0.00098232936792908","3.86568980617607e-104","****","limma-SAM"
"22","limma","ttest","D","H","0.0444839902318779","0.0350992936737361","0","****","limma-ttest"
"23","proDA","ROTS","E","F","-0.0169515905160648","-0.00930171970155502","1.95511562268951e-169","****","proDA-ROTS"
"24","proDA","SAM","E","G","-0.000737871186812987","-0.00107063844847899","0.113628911538847","na","proDA-SAM"
"25","proDA","ttest","E","H","0.0353673910250882","0.030559019439467","0","****","proDA-ttest"
"26","ROTS","SAM","F","G","0.0162137193292518","0.00594517295885399","1.32939388684826e-186","****","ROTS-SAM"
"27","ROTS","ttest","F","H","0.052318981541153","0.040173169993951","0","****","ROTS-ttest"
"28","SAM","ttest","G","H","0.0361052622119011","0.030015096587092","0","****","SAM-ttest"
