"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","bpca","A","B","-0.039621391024475","-0.00476583275583797","2.40245274733079e-136","****","blank-bpca"
"2","blank","GMS","A","C","-0.0256023478441571","-0.00337907859460801","1.50576467217338e-90","****","blank-GMS"
"3","blank","Impseq","A","D","-0.0465201284296511","-0.00490649470655297","1.25946172310034e-157","****","blank-Impseq"
"4","blank","Impseqrob","A","E","-0.0195504849638852","-0.00359965922961891","3.00299004287884e-87","****","blank-Impseqrob"
"5","blank","knn","A","F","-0.0290345911086425","-0.00640926611799497","1.9696375009486e-102","****","blank-knn"
"6","blank","mice","A","G","-0.0294389670699722","-0.00733697506818803","8.74165169349265e-128","****","blank-mice"
"7","blank","min","A","H","-0.0243248104132568","-0.00197344282374295","9.19135023955582e-37","****","blank-min"
"8","blank","MinDet","A","I","-0.0442568393495394","-0.0118004786014321","3.51709950761682e-142","****","blank-MinDet"
"9","blank","MinProb","A","J","-0.0450257836151074","-0.00975035779009392","1.14539532986725e-152","****","blank-MinProb"
"10","blank","missForest","A","K","-0.0479014122142978","-0.017591188181059","4.95156167056225e-235","****","blank-missForest"
"11","blank","MLE","A","L","0.0363568284375069","0.017567455370136","2.32980968144573e-157","****","blank-MLE"
"12","blank","nbavg","A","M","-0.0320905226587369","-0.00117989768703408","3.16166379263898e-101","****","blank-nbavg"
"13","blank","QRILC","A","N","-0.0372170512042613","-0.00424071261361703","7.50877203804307e-127","****","blank-QRILC"
"14","blank","SeqKNN","A","O","-0.0428750320631117","-0.00928621378425898","1.23451690538708e-178","****","blank-SeqKNN"
"15","blank","zero","A","P","0.00239356852028181","0.000386030020385952","0.133225085991313","na","blank-zero"
"16","bpca","GMS","B","C","0.0140190431803179","0.00611581956849794","1.53158980385212e-53","****","bpca-GMS"
"17","bpca","Impseq","B","D","-0.00689873740517612","0","1.67070055073059e-45","****","bpca-Impseq"
"18","bpca","Impseqrob","B","E","0.0200709060605899","0.00239950864231597","1.53516424518071e-94","****","bpca-Impseqrob"
"19","bpca","knn","B","F","0.0105867999158326","0.00310518944419902","1.71956001018975e-31","****","bpca-knn"
"20","bpca","mice","B","G","0.0101824239545028","0","1.85972153077892e-25","****","bpca-mice"
"21","bpca","min","B","H","0.0152965806112182","0.0106308821441869","1.31788010223592e-35","****","bpca-min"
