"ANOVA","DEP","limma","proDA","ROTS","SAM","ttest"
"|FragPipe|abd|MLE|blank_geomean_B.A_HEqe277_TMT10",0.269746365490642,0.244531009217641,0.264191568008967,0.259611001551382,0.269866282942183,0,0.22125678930494
"|FragPipe|abd|MLE|blank_geomean_C.A_HEqe277_TMT10",0.952821198779019,0.844948430046101,0.95614526705391,0.954961469762209,0.953413967164076,0,0.941151907846029
"|FragPipe|abd|MLE|blank_geomean_C.B_HEqe277_TMT10",0.916767964996168,0.831540573697554,0.918345434411533,0.917576381355794,0.917951788479823,0.91685735707191,0.911690634995027
"|FragPipe|abd|MLE|blank_geomean_B.A_HYqfl683_TMT11",0.9334656964919,0.919602067378644,0.93142977602539,0.930510094102615,0.934380759322428,0,0.921520925287725
"|FragPipe|abd|MLE|blank_geomean_C.A_HYqfl683_TMT11",0.950427461062158,0.93526545781829,0.949636391711964,0.948099690839137,0.951868926164733,0.947199031727521,0.942093499907316
"|FragPipe|abd|MLE|blank_geomean_C.B_HYqfl683_TMT11",0.232278161167367,0.2075384573514,0.22167255109904,0.213304511748303,0.231024876696052,0.2075384573514,0.200097368709136
"|FragPipe|abd|MLE|blank_geomean_A.B_HYms2faims815_TMT16",0.903887437736919,0.744356053360419,0.903887437736919,0.903887437736919,0.903887437736919,0,0.900183471447863
"|FragPipe|abd|MLE|blank_geomean_B.D_HYms2faims815_TMT16",0.944230885939268,0.648005410653196,0.944230885939268,0.944230885939268,0.944230885939268,0,0.941675779972429
"|FragPipe|abd|MLE|blank_geomean_C.E_HYms2faims815_TMT16",0.900920831031362,0.725108400848025,0.9005099077277,0.898530762680738,0.901167760138652,0,0.872809543747563
"|FragPipe|abd|MLE|blank_geomean_A.C_HYsps2815_TMT16",0.956913572398174,0.707420064798105,0.956257027845823,0.956257027845823,0.956423726667382,0,0.955332935595963
"|FragPipe|abd|MLE|blank_geomean_B.C_HYsps2815_TMT16",0.886373460896676,0.614862205798337,0.886225410673599,0.884387910436961,0.88593531284178,0,0.863319517508211
"|FragPipe|abd|MLE|blank_geomean_B.E_HYsps2815_TMT16",0.951146176515389,0.756355548704299,0.949163551091054,0.948277287645076,0.952148262317301,0,0.942611605671013
"|FragPipe|abd|MLE|blank_geomean_A.D_HYms2815_TMT16",0.929618200009812,0.632083537253535,0.929363055720662,0.929363055720662,0.929618200009812,0,0.929387763393146
"|FragPipe|abd|MLE|blank_geomean_A.E_HYms2815_TMT16",0.929606310550109,0.612668613336187,0.929446608067557,0.929380638218895,0.929606310550109,0,0.928458671931266
"|FragPipe|abd|MLE|blank_geomean_D.E_HYms2815_TMT16",0.197136750428612,0.192081120050762,0.193357420603282,0.171802576651121,0.197136750428612,0,0.0221839127354028
"|FragPipe|abd|MLE|sum_geomean_A.C_HYsps2815_TMT16",0,0,0,0,0,0,0
"|FragPipe|abd|MLE|sum_geomean_B.C_HYsps2815_TMT16",0,0,0,0,0,0,0
"|FragPipe|abd|MLE|sum_geomean_B.E_HYsps2815_TMT16",0,0,0,0,0.0443242207177936,0,0
"|FragPipe|abd|MLE|max_geomean_A.D_HYms2815_TMT16",0,0,0,0,0,0,0
"|FragPipe|abd|MLE|max_geomean_A.E_HYms2815_TMT16",0,0,0,0,0,0,0
"|FragPipe|abd|MLE|max_geomean_D.E_HYms2815_TMT16",0,0,0,0,0,0,0
"|FragPipe|abd|MLE|center.mean_geomean_B.A_HEqe277_TMT10",0.13687938614985,0.135853705439128,0.134368920907536,0.123483374433935,0.137185091469,0,0.105997520492917
"|FragPipe|abd|MLE|center.mean_geomean_C.A_HEqe277_TMT10",0.904351254472021,0.92321417176155,0.923052929148913,0.923355935786859,0.920452163377843,0,0.920670158709874
"|FragPipe|abd|MLE|center.mean_geomean_C.B_HEqe277_TMT10",0.807576095763012,0.821373090326586,0.821175706023635,0.819943552510304,0.819588041836352,0.821192475358897,0.81965255568216
"|FragPipe|abd|MLE|center.mean_geomean_B.A_HYqfl683_TMT11",0.890775560748277,0.900212109539655,0.899876146807469,0.900092255395313,0.901175687865885,0,0.898787511602002
"|FragPipe|abd|MLE|center.mean_geomean_C.A_HYqfl683_TMT11",0.923734689923029,0.935603461571494,0.935280561316296,0.93474678226181,0.936330607745584,0.93474678226181,0.932817681352021
"|FragPipe|abd|MLE|center.mean_geomean_C.B_HYqfl683_TMT11",0.101541101848824,0.0953983875492903,0.0953983875492903,0.0816942983800177,0.0985211338217954,0.0853269118016331,0.0778971191062195
"|FragPipe|abd|MLE|center.mean_geomean_A.B_HYms2faims815_TMT16",0.636061189639968,0.64546934332096,0.644084214378439,0.644143475933919,0.644084214378439,0,0.643043409689202
"|FragPipe|abd|MLE|center.mean_geomean_B.D_HYms2faims815_TMT16",0.853745241537678,0.872630730401371,0.87271336197491,0.872464690261078,0.872630730401371,0,0.871799270852923
"|FragPipe|abd|MLE|center.mean_geomean_C.E_HYms2faims815_TMT16",0.759971462094698,0.781865038017674,0.781865038017674,0.781652121402291,0.782362545940749,0,0.777220952958119
