"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","ANOVA","DEP","A","B","0.0508937037079662","0","1.51179785919239e-165","****","ANOVA-DEP"
"2","ANOVA","limma","A","C","0.00284632011517536","0","0.052694313786316","na","ANOVA-limma"
"3","ANOVA","proDA","A","D","0.0262342068996625","0","4.56970285087422e-48","****","ANOVA-proDA"
"4","ANOVA","ROTS","A","E","0.00428855952623928","0","0.00310165700623984","**","ANOVA-ROTS"
"5","ANOVA","SAM","A","F","0.380516650949967","0.240125593451382","0","****","ANOVA-SAM"
"6","ANOVA","ttest","A","G","0.0123371449368064","0","2.43728033992889e-14","****","ANOVA-ttest"
"7","DEP","limma","B","C","-0.0480473835927909","0","5.93380868345275e-239","****","DEP-limma"
"8","DEP","proDA","B","D","-0.0246594968083038","0","4.85959427189886e-43","****","DEP-proDA"
"9","DEP","ROTS","B","E","-0.0466051441817269","-0.000248088322951479","5.27184062476278e-184","****","DEP-ROTS"
"10","DEP","SAM","B","F","0.329622947242001","0.153170208452285","0","****","DEP-SAM"
"11","DEP","ttest","B","G","-0.0385565587711598","0","9.99688892752824e-121","****","DEP-ttest"
"12","limma","proDA","C","D","0.0233878867844871","0","5.75502421335682e-106","****","limma-proDA"
"13","limma","ROTS","C","E","0.00144223941106392","0","0.0795255983406962","na","limma-ROTS"
"14","limma","SAM","C","F","0.377670330834792","0.181565572515334","0","****","limma-SAM"
"15","limma","ttest","C","G","0.00949082482163102","0.000984954364181001","2.12392367047767e-46","****","limma-ttest"
"16","proDA","ROTS","D","E","-0.0219456473734232","0","1.31251918054658e-62","****","proDA-ROTS"
"17","proDA","SAM","D","F","0.354282444050305","0.0664376855213716","0","****","proDA-SAM"
"18","proDA","ttest","D","G","-0.0138970619628561","0","9.02623378130092e-50","****","proDA-ttest"
"19","ROTS","SAM","E","F","0.376228091423728","0.19481430954924","0","****","ROTS-SAM"
"20","ROTS","ttest","E","G","0.0080485854105671","0.000831459548447988","2.19875615587739e-18","****","ROTS-ttest"
"21","SAM","ttest","F","G","-0.368179506013161","-0.108331668308839","0","****","SAM-ttest"
