"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","bpca","A","B","0.00573706673836402","0","5.46127825616834e-07","****","blank-bpca"
"2","blank","GMS","A","C","0.00537887046717373","0","1.3808441261704e-06","****","blank-GMS"
"3","blank","Impseq","A","D","0.00557583549563178","0","9.05466580270294e-07","****","blank-Impseq"
"4","blank","Impseqrob","A","E","0.00574166108280606","0","5.77761748790476e-07","****","blank-Impseqrob"
"5","blank","knn","A","F","0.00625693420150439","0","2.89120626419929e-07","****","blank-knn"
"6","blank","mice","A","G","0.000950450567699425","0","0.0746900703846164","na","blank-mice"
"7","blank","min","A","H","0.0052020089126702","0","8.27594490903677e-06","****","blank-min"
"8","blank","MinDet","A","I","0.00554447721208289","0","7.23235053845877e-07","****","blank-MinDet"
"9","blank","MinProb","A","J","0.00038899960353941","0","0.318898172247923","na","blank-MinProb"
"10","blank","missForest","A","K","0.00568427792688907","0","7.55451660656169e-07","****","blank-missForest"
"11","blank","MLE","A","L","0.00666501828171153","0","7.65865376268918e-08","****","blank-MLE"
"12","blank","nbavg","A","M","0.000363970034822083","0","0.42265832569174","na","blank-nbavg"
"13","blank","QRILC","A","N","0.000147096513534669","0","0.651748095349253","na","blank-QRILC"
"14","blank","SeqKNN","A","O","0.00530816181913659","0","1.54956755014437e-06","****","blank-SeqKNN"
"15","blank","zero","A","P","0.0139695193214804","0","3.81010136066443e-14","****","blank-zero"
"16","bpca","GMS","B","C","-0.000358196271190287","0","0.427090345682658","na","bpca-GMS"
"17","bpca","Impseq","B","D","-0.000161231242732241","0","0.297413072532663","na","bpca-Impseq"
"18","bpca","Impseqrob","B","E","4.59434444204348e-06","0","0.985610347281131","na","bpca-Impseqrob"
"19","bpca","knn","B","F","0.000519867463140372","0","0.272228805162555","na","bpca-knn"
"20","bpca","mice","B","G","-0.00478661617066459","0","5.23868215861962e-05","****","bpca-mice"
"21","bpca","min","B","H","-0.000535057825693819","0","0.162793508213738","na","bpca-min"
"22","bpca","MinDet","B","I","-0.000192589526281124","0","0.361658507242823","na","bpca-MinDet"
"23","bpca","MinProb","B","J","-0.00534806713482461","0","3.64177665569052e-06","****","bpca-MinProb"
"24","bpca","missForest","B","K","-5.27888114749418e-05","0","0.723808208314656","na","bpca-missForest"
"25","bpca","MLE","B","L","0.000927951543347518","0","0.104968002260129","na","bpca-MLE"
"26","bpca","nbavg","B","M","-0.00537309670354193","0","1.09863618202811e-06","****","bpca-nbavg"
"27","bpca","QRILC","B","N","-0.00558997022482935","0","8.09088512536769e-07","****","bpca-QRILC"
"28","bpca","SeqKNN","B","O","-0.000428904919227422","0","0.172196456618528","na","bpca-SeqKNN"
"29","bpca","zero","B","P","0.00823245258311642","0","2.68020361206502e-08","****","bpca-zero"
"30","GMS","Impseq","C","D","0.000196965028458047","0","0.656570687832415","na","GMS-Impseq"
"31","GMS","Impseqrob","C","E","0.000362790615632331","0","0.449537860492183","na","GMS-Impseqrob"
"32","GMS","knn","C","F","0.000878063734330659","0","0.156165151421298","na","GMS-knn"
"33","GMS","mice","C","G","-0.0044284198994743","0","0.000147288396524292","***","GMS-mice"
"34","GMS","min","C","H","-0.000176861554503531","0","0.729195195811516","na","GMS-min"
"35","GMS","MinDet","C","I","0.000165606744909164","0","0.718698571807346","na","GMS-MinDet"
"36","GMS","MinProb","C","J","-0.00498987086363432","0","9.92199651144692e-06","****","GMS-MinProb"
"37","GMS","missForest","C","K","0.000305407459715346","0","0.499203196300718","na","GMS-missForest"
"38","GMS","MLE","C","L","0.00128614781453781","0","0.0749095157465629","na","GMS-MLE"
"39","GMS","nbavg","C","M","-0.00501490043235165","0","1.55955332476289e-06","****","GMS-nbavg"
"40","GMS","QRILC","C","N","-0.00523177395363906","0","2.25982127927328e-06","****","GMS-QRILC"
"41","GMS","SeqKNN","C","O","-7.07086480371348e-05","0","0.888108036253808","na","GMS-SeqKNN"
"42","GMS","zero","C","P","0.00859064885430671","0","1.38229045953439e-08","****","GMS-zero"
"43","Impseq","Impseqrob","D","E","0.000165825587174284","0","0.319065004799898","na","Impseq-Impseqrob"
"44","Impseq","knn","D","F","0.000681098705872612","0","0.144093510562419","na","Impseq-knn"
"45","Impseq","mice","D","G","-0.00462538492793235","0","0.000107336112198316","***","Impseq-mice"
"46","Impseq","min","D","H","-0.000373826582961578","0","0.317265287720407","na","Impseq-min"
"47","Impseq","MinDet","D","I","-3.13582835488831e-05","0","0.871175330512207","na","Impseq-MinDet"
"48","Impseq","MinProb","D","J","-0.00518683589209237","0","6.72432927951626e-06","****","Impseq-MinProb"
"49","Impseq","missForest","D","K","0.000108442431257299","0","0.615678350487561","na","Impseq-missForest"
"50","Impseq","MLE","D","L","0.00108918278607976","0","0.0655336670924276","na","Impseq-MLE"
"51","Impseq","nbavg","D","M","-0.00521186546080969","0","2.11911048365453e-06","****","Impseq-nbavg"
