"abd","phi","ratio"
"limma|FragPipe||MLE|blank_geomean_B.A_HEqe277_TMT10",0.264191568008967,0.680044979847531,0.264191568008967
"limma|FragPipe||MLE|blank_geomean_C.A_HEqe277_TMT10",0.95614526705391,0.934244756217335,0.95614526705391
"limma|FragPipe||MLE|blank_geomean_C.B_HEqe277_TMT10",0.918345434411533,0.712364725904354,0.918345434411533
"limma|FragPipe||MLE|blank_geomean_B.A_HYqfl683_TMT11",0.93142977602539,0.862667092072713,0.93142977602539
"limma|FragPipe||MLE|blank_geomean_C.A_HYqfl683_TMT11",0.949636391711964,0.919103829322834,0.949636391711964
"limma|FragPipe||MLE|blank_geomean_C.B_HYqfl683_TMT11",0.22167255109904,0.531662917795009,0.22167255109904
"limma|FragPipe||MLE|blank_geomean_A.B_HYms2faims815_TMT16",0.903887437736919,0.906390362927916,0.903887437736919
"limma|FragPipe||MLE|blank_geomean_B.D_HYms2faims815_TMT16",0.944230885939268,0.939970091034739,0.944230885939268
"limma|FragPipe||MLE|blank_geomean_C.E_HYms2faims815_TMT16",0.9005099077277,0.0211666878333651,0.9005099077277
"limma|FragPipe||MLE|blank_geomean_A.C_HYsps2815_TMT16",0.956257027845823,0.945858208991,0.956257027845823
"limma|FragPipe||MLE|blank_geomean_B.C_HYsps2815_TMT16",0.886225410673599,0.921613322073526,0.886225410673599
"limma|FragPipe||MLE|blank_geomean_B.E_HYsps2815_TMT16",0.949163551091054,0.93605775103996,0.949163551091054
"limma|FragPipe||MLE|blank_geomean_A.D_HYms2815_TMT16",0.929363055720662,0.905129135817585,0.929363055720662
"limma|FragPipe||MLE|blank_geomean_A.E_HYms2815_TMT16",0.929446608067557,0.876327929869263,0.929446608067557
"limma|FragPipe||MLE|blank_geomean_D.E_HYms2815_TMT16",0.193357420603282,0.290008041598683,0.193357420603282
"limma|FragPipe||MLE|sum_geomean_B.A_HEqe277_TMT10",0,0,0.815350106364681
"limma|FragPipe||MLE|sum_geomean_C.A_HEqe277_TMT10",0,0,0.875828568868841
"limma|FragPipe||MLE|sum_geomean_C.B_HEqe277_TMT10",0,0,0.888263588337077
"limma|FragPipe||MLE|sum_geomean_B.A_HYqfl683_TMT11",0,0,0.933941692379176
"limma|FragPipe||MLE|sum_geomean_C.A_HYqfl683_TMT11",0,0,0.940585863013282
"limma|FragPipe||MLE|sum_geomean_C.B_HYqfl683_TMT11",0,0,0
"limma|FragPipe||MLE|sum_geomean_A.B_HYms2faims815_TMT16",0,0,0.0797006602349658
"limma|FragPipe||MLE|sum_geomean_B.D_HYms2faims815_TMT16",0,0,0.068817563310643
"limma|FragPipe||MLE|sum_geomean_C.E_HYms2faims815_TMT16",0,0,0.0208793837010871
"limma|FragPipe||MLE|sum_geomean_A.C_HYsps2815_TMT16",0,0,0.154484278372896
"limma|FragPipe||MLE|sum_geomean_B.C_HYsps2815_TMT16",0,0,0.0477907971207046
"limma|FragPipe||MLE|sum_geomean_B.E_HYsps2815_TMT16",0,0,0.105112175848342
"limma|FragPipe||MLE|sum_geomean_A.D_HYms2815_TMT16",0,0,0.227269673065423
"limma|FragPipe||MLE|sum_geomean_A.E_HYms2815_TMT16",0,0,0.273221931256652
"limma|FragPipe||MLE|sum_geomean_D.E_HYms2815_TMT16",0,0,0
"limma|FragPipe||MLE|max_geomean_B.A_HEqe277_TMT10",0,0,0.705304363793436
"limma|FragPipe||MLE|max_geomean_C.A_HEqe277_TMT10",0,0,0.845672286150971
"limma|FragPipe||MLE|max_geomean_C.B_HEqe277_TMT10",0,0,0.867726457508392
"limma|FragPipe||MLE|max_geomean_B.A_HYqfl683_TMT11",0,0,0.935461628997224
"limma|FragPipe||MLE|max_geomean_C.A_HYqfl683_TMT11",0,0,0.934621876532795
"limma|FragPipe||MLE|max_geomean_C.B_HYqfl683_TMT11",0,0,0
"limma|FragPipe||MLE|max_geomean_A.B_HYms2faims815_TMT16",0,0,0.828039377668658
"limma|FragPipe||MLE|max_geomean_B.D_HYms2faims815_TMT16",0,0,0.73506011783251
"limma|FragPipe||MLE|max_geomean_C.E_HYms2faims815_TMT16",0,0,0.903671988933263
"limma|FragPipe||MLE|max_geomean_A.C_HYsps2815_TMT16",0,0,0.688041124489806
"limma|FragPipe||MLE|max_geomean_B.C_HYsps2815_TMT16",0,0,0.684179989128647
"limma|FragPipe||MLE|max_geomean_B.E_HYsps2815_TMT16",0,0,0.758356220966131
"limma|FragPipe||MLE|max_geomean_A.D_HYms2815_TMT16",0,0,0.548851080595241
"limma|FragPipe||MLE|max_geomean_A.E_HYms2815_TMT16",0,0,0.543428699105856
"limma|FragPipe||MLE|max_geomean_D.E_HYms2815_TMT16",0,0,0
"limma|FragPipe||MLE|center.mean_geomean_B.A_HEqe277_TMT10",0.134368920907536,0.235253241718262,0.134368920907536
"limma|FragPipe||MLE|center.mean_geomean_C.A_HEqe277_TMT10",0.923052929148913,0.903847138952674,0.923052929148913
"limma|FragPipe||MLE|center.mean_geomean_C.B_HEqe277_TMT10",0.821175706023635,0.817033120324364,0.821221508835174
"limma|FragPipe||MLE|center.mean_geomean_B.A_HYqfl683_TMT11",0.899876146807469,0.864974645184055,0.899486043523519
