"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","center.mean","A","B","0.107046888734585","0.095664881713013","4.20947348783175e-289","****","blank-center.mean"
"2","blank","center.median","A","C","0.0798691682685225","0.028421069804857","1.24085093511964e-189","****","blank-center.median"
"3","blank","div.mean","A","D","0.640639771009072","0.863319517508211","0","****","blank-div.mean"
"4","blank","div.median","A","E","0.671650570249897","0.878776585287151","0","****","blank-div.median"
"5","blank","lossf","A","F","0.166901694742631","0.0289233912711581","6.47244478208805e-174","****","blank-lossf"
"6","blank","max","A","G","0.547621943915441","0.725724204271835","0","****","blank-max"
"7","blank","MBQN","A","H","0.328832622426479","0.255918579348314","0","****","blank-MBQN"
"8","blank","quantiles","A","I","0.152901039918439","0.129881664169831","1.26132829065971e-283","****","blank-quantiles"
"9","blank","quantiles.robust","A","J","0.165761835380603","0.133159276330083","1.71747338300285e-300","****","blank-quantiles.robust"
"10","blank","Rlr","A","K","0.177102364567224","0.0491276719634061","6.1358694221913e-173","****","blank-Rlr"
"11","blank","sum","A","L","0.611857573272597","0.844711051637133","0","****","blank-sum"
"12","blank","TIC","A","M","0.255301351893964","0.125583526694277","0","****","blank-TIC"
"13","blank","vsn","A","N","0.582403767632484","0.744356053360419","0","****","blank-vsn"
"14","center.mean","center.median","B","C","-0.0271777204660627","-0.00710792473435906","5.46583374580448e-100","****","center.mean-center.median"
"15","center.mean","div.mean","B","D","0.533592882274487","0.645702859563057","0","****","center.mean-div.mean"
"16","center.mean","div.median","B","E","0.564603681515312","0.713438340728807","0","****","center.mean-div.median"
"17","center.mean","lossf","B","F","0.0598548060080455","-0.029615924177613","1.46057195847189e-25","****","center.mean-lossf"
"18","center.mean","max","B","G","0.440575055180856","0.627822877857346","0","****","center.mean-max"
"19","center.mean","MBQN","B","H","0.221785733691894","0.17633325993321","0","****","center.mean-MBQN"
"20","center.mean","quantiles","B","I","0.0458541511838535","0.00489720924191894","1.08854065157966e-50","****","center.mean-quantiles"
"21","center.mean","quantiles.robust","B","J","0.0587149466460181","0.00817556522470597","3.38586073872622e-69","****","center.mean-quantiles.robust"
"22","center.mean","Rlr","B","K","0.0700554758326389","-0.024828552700362","2.05426606167632e-31","****","center.mean-Rlr"
"23","center.mean","sum","B","L","0.504810684538011","0.644084214378439","0","****","center.mean-sum"
"24","center.mean","TIC","B","M","0.148254463159379","0.00487530107769707","2.29790092331706e-152","****","center.mean-TIC"
"25","center.mean","vsn","B","N","0.475356878897899","0.628031973862729","0","****","center.mean-vsn"
"26","center.median","div.mean","C","D","0.56077060274055","0.705766245399793","0","****","center.median-div.mean"
"27","center.median","div.median","C","E","0.591781401981375","0.766253356745009","0","****","center.median-div.median"
"28","center.median","lossf","C","F","0.0870325264741082","-0.0266153964624415","1.20291983473046e-43","****","center.median-lossf"
"29","center.median","max","C","G","0.467752775646919","0.632775834960891","0","****","center.median-max"
"30","center.median","MBQN","C","H","0.248963454157957","0.197228291795459","0","****","center.median-MBQN"
"31","center.median","quantiles","C","I","0.0730318716499163","0.017568807865215","2.49791008187184e-90","****","center.median-quantiles"
"32","center.median","quantiles.robust","C","J","0.0858926671120808","0.0215044012592001","1.48404796691789e-108","****","center.median-quantiles.robust"
"33","center.median","Rlr","C","K","0.0972331962987016","-0.023081256898794","8.89177062021099e-50","****","center.median-Rlr"
"34","center.median","sum","C","L","0.531988405004074","0.705806548492814","0","****","center.median-sum"
"35","center.median","TIC","C","M","0.175432183625442","0.025347441527939","5.46292456833169e-174","****","center.median-TIC"
"36","center.median","vsn","C","N","0.502534599363961","0.632952292262666","0","****","center.median-vsn"
"37","div.mean","div.median","D","E","0.0310107992408253","0","8.80704885030262e-35","****","div.mean-div.median"
"38","div.mean","lossf","D","F","-0.473738076266441","-0.63200407409484","0","****","div.mean-lossf"
"39","div.mean","max","D","G","-0.0930178270936309","0","1.96475465284607e-80","****","div.mean-max"
"40","div.mean","MBQN","D","H","-0.311807148582593","-0.312986170465179","0","****","div.mean-MBQN"
"41","div.mean","quantiles","D","I","-0.487738731090633","-0.660072996614174","0","****","div.mean-quantiles"
"42","div.mean","quantiles.robust","D","J","-0.474877935628469","-0.651811875462317","0","****","div.mean-quantiles.robust"
"43","div.mean","Rlr","D","K","-0.463537406441848","-0.757719229138866","0","****","div.mean-Rlr"
"44","div.mean","sum","D","L","-0.0287821977364754","0","1.40518741992715e-11","****","div.mean-sum"
"45","div.mean","TIC","D","M","-0.385338419115108","-0.424593371746188","0","****","div.mean-TIC"
"46","div.mean","vsn","D","N","-0.0582360033765882","0","5.55753148603828e-43","****","div.mean-vsn"
"47","div.median","lossf","E","F","-0.504748875507267","-0.63200407409484","0","****","div.median-lossf"
"48","div.median","max","E","G","-0.124028626334456","0","5.10885249214282e-105","****","div.median-max"
"49","div.median","MBQN","E","H","-0.342817947823418","-0.349514493662633","0","****","div.median-MBQN"
"50","div.median","quantiles","E","I","-0.518749530331459","-0.689173420393894","0","****","div.median-quantiles"
"51","div.median","quantiles.robust","E","J","-0.505888734869294","-0.677354066255615","0","****","div.median-quantiles.robust"
"52","div.median","Rlr","E","K","-0.494548205682673","-0.757719229138866","0","****","div.median-Rlr"
"53","div.median","sum","E","L","-0.0597929969773007","0","9.5748723085212e-49","****","div.median-sum"
"54","div.median","TIC","E","M","-0.416349218355933","-0.424593371746188","0","****","div.median-TIC"
"55","div.median","vsn","E","N","-0.0892468026174135","0","4.84649203582531e-83","****","div.median-vsn"
"56","lossf","max","F","G","0.38072024917281","0.63200407409484","2.26110004075834e-220","****","lossf-max"
"57","lossf","MBQN","F","H","0.161930927683848","0.183490067860384","2.00473634090712e-145","****","lossf-MBQN"
"58","lossf","quantiles","F","I","-0.014000654824192","0.037668261570262","0.00180694549838949","**","lossf-quantiles"
"59","lossf","quantiles.robust","F","J","-0.00113985936202741","0.041729838785967","0.807328240917883","na","lossf-quantiles.robust"
"60","lossf","Rlr","F","K","0.0102006698245934","0.0108336229826781","2.88622401918881e-12","****","lossf-Rlr"
"61","lossf","sum","F","L","0.444955878529966","0.63200407409484","0","****","lossf-sum"
"62","lossf","TIC","F","M","0.0883996571513335","0.045194392233478","1.50165940554216e-213","****","lossf-TIC"
