"pauc001feature","pauc001sr","pauc001rank","pauc005feature","pauc005sr","pauc005rank","pauc01feature","pauc01sr","pauc01rank","nMCCfeature","nMCCsr","nMCCrank","G-meanfeature","G-meansr","G-meanrank","avg_rank"
"1","blank",1,1,"blank",0.866666666666667,3,"blank",0.8,4,"blank",1,1,"blank",1,1,2
"2","GMS",0.933333333333333,2,"GMS",0.8,4,"GMS",0.666666666666667,6,"GMS",0.666666666666667,6,"GMS",0.533333333333333,8,5.2
"3","SeqKNN",0.866666666666667,3,"SeqKNN",0.4,10,"SeqKNN",0.333333333333333,11,"SeqKNN",0.6,7,"SeqKNN",0.6,7,7.6
"4","missForest",0.8,4,"missForest",0.333333333333333,11,"missForest",0.2,13,"missForest",0.466666666666667,9,"missForest",0.333333333333333,11,9.6
"5","Impseqrob",0.733333333333333,5,"Impseqrob",0.466666666666667,9,"Impseqrob",0.266666666666667,12,"Impseqrob",0.333333333333333,11,"Impseqrob",0.2,13,10
"6","Impseq",0.666666666666667,6,"Impseq",0.6,7,"Impseq",0.533333333333333,8,"Impseq",0.533333333333333,8,"Impseq",0.4,10,7.8
"7","bpca",0.6,7,"bpca",0.533333333333333,8,"bpca",0.4,10,"bpca",0.4,10,"bpca",0.266666666666667,12,9.4
"8","MinProb",0.533333333333333,8,"MinProb",1,1,"MinProb",1,1,"MinProb",0.866666666666667,3,"MinProb",0.8,4,3.4
"9","QRILC",0.466666666666667,9,"QRILC",0.933333333333333,2,"QRILC",0.933333333333333,2,"QRILC",0.933333333333333,2,"QRILC",0.933333333333333,2,3.4
"10","mice",0.4,10,"mice",0.266666666666667,12,"mice",0.733333333333333,5,"mice",0.8,4,"mice",0.733333333333333,5,7.2
"11","MLE",0.333333333333333,11,"MLE",0.0666666666666667,15,"MLE",0.0666666666666667,15,"MLE",0.0666666666666667,15,"MLE",0.0666666666666667,15,14.2
"12","knn",0.266666666666667,12,"knn",0.666666666666667,6,"knn",0.6,7,"knn",0.133333333333333,14,"knn",0.133333333333333,14,10.6
"13","MinDet",0.2,13,"MinDet",0.733333333333333,5,"MinDet",0.866666666666667,3,"MinDet",0.266666666666667,12,"MinDet",0.466666666666667,9,8.4
"14","min",0.133333333333333,14,"min",0.2,13,"min",0.466666666666667,9,"min",0.2,13,"min",0.666666666666667,6,11
"15","nbavg",0.0666666666666667,15,"nbavg",0.133333333333333,14,"nbavg",0.133333333333333,14,"nbavg",0.733333333333333,5,"nbavg",0.866666666666667,3,10.2
"16","zero",0,16,"zero",0,16,"zero",0,16,"zero",0,16,"zero",0,16,16
