"pauc001feature","pauc001sr","pauc001rank","pauc005feature","pauc005sr","pauc005rank","pauc01feature","pauc01sr","pauc01rank","nMCCfeature","nMCCsr","nMCCrank","G-meanfeature","G-meansr","G-meanrank","avg_rank"
"1","blank",1,1,"blank",1,1,"blank",1,1,"blank",1,1,"blank",1,1,1
"2","max",0.923076923076923,2,"max",0.923076923076923,2,"max",0.923076923076923,2,"max",0.307692307692308,10,"max",0.307692307692308,10,5.2
"3","sum",0.846153846153846,3,"sum",0.846153846153846,3,"sum",0.846153846153846,3,"sum",0.153846153846154,12,"sum",0.153846153846154,12,6.6
"4","lossf",0.769230769230769,4,"lossf",0.769230769230769,4,"lossf",0.769230769230769,4,"lossf",0.769230769230769,4,"lossf",0.615384615384615,6,4.4
"5","center.median",0.692307692307692,5,"center.median",0.615384615384615,6,"center.median",0.615384615384615,6,"center.median",0.923076923076923,2,"center.median",0.923076923076923,2,4.2
"6","vsn",0.615384615384615,6,"vsn",0.692307692307692,5,"vsn",0.692307692307692,5,"vsn",0.230769230769231,11,"vsn",0.230769230769231,11,7.6
"7","Rlr",0.538461538461538,7,"Rlr",0.538461538461538,7,"Rlr",0.538461538461538,7,"Rlr",0.692307692307692,5,"Rlr",0.538461538461538,7,6.6
"8","center.mean",0.461538461538462,8,"center.mean",0.461538461538462,8,"center.mean",0.384615384615385,9,"center.mean",0.846153846153846,3,"center.mean",0.846153846153846,3,6.2
"9","quantiles",0.384615384615385,9,"quantiles",0.384615384615385,9,"quantiles",0.461538461538462,8,"quantiles",0.615384615384615,6,"quantiles",0.769230769230769,4,7.2
"10","quantiles.robust",0.307692307692308,10,"quantiles.robust",0.307692307692308,10,"quantiles.robust",0.307692307692308,10,"quantiles.robust",0.538461538461538,7,"quantiles.robust",0.692307692307692,5,8.4
"11","div.mean",0.230769230769231,11,"div.mean",0.153846153846154,12,"div.mean",0.153846153846154,12,"div.mean",0.0769230769230769,13,"div.mean",0.0769230769230769,13,12.2
"12","div.median",0.153846153846154,12,"div.median",0,14,"div.median",0,14,"div.median",0,14,"div.median",0,14,13.6
"13","TIC",0.0769230769230769,13,"TIC",0.0769230769230769,13,"TIC",0.0769230769230769,13,"TIC",0.461538461538462,8,"TIC",0.461538461538462,8,11
"14","MBQN",0,14,"MBQN",0.230769230769231,11,"MBQN",0.230769230769231,11,"MBQN",0.384615384615385,9,"MBQN",0.384615384615385,9,10.8
