"ANOVA","DEP","limma","proDA","ROTS","SAM","ttest"
"|FragPipe|abd|MLE|blank_nMcc_B.A_HEqe277_TMT10",0.58710120405805,0.607274493628306,0.61430465285135,0.612668472655434,0.607188540545017,0.5,0.596023785957797
"|FragPipe|abd|MLE|blank_nMcc_C.A_HEqe277_TMT10",0.954288888922374,0.905659361688067,0.964132212720488,0.964235088436819,0.95563753738952,0.5,0.957629864334997
"|FragPipe|abd|MLE|blank_nMcc_C.B_HEqe277_TMT10",0.937136348500867,0.898693454504286,0.94569932037856,0.945448620781236,0.940203428791392,0.945338227589956,0.942877468150611
"|FragPipe|abd|MLE|blank_nMcc_B.A_HYqfl683_TMT11",0.956238226171343,0.95061759458772,0.956648218145111,0.956275087018634,0.956615506562191,0.5,0.951559302397309
"|FragPipe|abd|MLE|blank_nMcc_C.A_HYqfl683_TMT11",0.964372038305034,0.958720674247559,0.966043480770021,0.965293203038039,0.965681150759264,0.964918599968727,0.962865591508997
"|FragPipe|abd|MLE|blank_nMcc_C.B_HYqfl683_TMT11",0.600403869287727,0.593361353944415,0.600007933275231,0.596073366305412,0.602821349364404,0.593361353944415,0.589860022513151
"|FragPipe|abd|MLE|blank_nMcc_A.B_HYms2faims815_TMT16",0.93203689934965,0.838730190510575,0.93203689934965,0.93203689934965,0.93203689934965,0.5,0.929658860731793
"|FragPipe|abd|MLE|blank_nMcc_B.D_HYms2faims815_TMT16",0.954955362643511,0.787620499268132,0.954955362643511,0.954955362643511,0.954955362643511,0.5,0.95352425711841
"|FragPipe|abd|MLE|blank_nMcc_C.E_HYms2faims815_TMT16",0.929395425172685,0.828683253386295,0.929253491364056,0.92798263204229,0.929554312437144,0.5,0.91195421433357
"|FragPipe|abd|MLE|blank_nMcc_A.C_HYsps2815_TMT16",0.948347859962016,0.820323182988106,0.947868426333347,0.947868426333347,0.947541182650491,0.5,0.948804884186947
"|FragPipe|abd|MLE|blank_nMcc_B.C_HYsps2815_TMT16",0.921057605933111,0.775099105845946,0.921336594926441,0.920189954358808,0.920044213946708,0.5,0.908164235459731
"|FragPipe|abd|MLE|blank_nMcc_B.E_HYsps2815_TMT16",0.949973385418054,0.846932172075375,0.948962627984832,0.948469701972404,0.950681226014984,0.5,0.94570770786899
"|FragPipe|abd|MLE|blank_nMcc_A.D_HYms2815_TMT16",0.93171968931761,0.779156423651251,0.931538607965165,0.931538607965165,0.93171968931761,0.5,0.931847214051553
"|FragPipe|abd|MLE|blank_nMcc_A.E_HYms2815_TMT16",0.928882582735147,0.768644980726481,0.928859699651722,0.928996828446955,0.928882582735147,0.5,0.928427573221565
"|FragPipe|abd|MLE|blank_nMcc_D.E_HYms2815_TMT16",0.58212260173461,0.579898552744344,0.580460066113816,0.570969012305461,0.58212260173461,0.5,0.5093971841634
"|FragPipe|abd|MLE|sum_nMcc_A.C_HYsps2815_TMT16",0.5,0.5,0.5,0.5,0.494215754722799,0.5,0.5
"|FragPipe|abd|MLE|sum_nMcc_B.C_HYsps2815_TMT16",0.5,0.5,0.5,0.5,0.494215754722799,0.5,0.5
"|FragPipe|abd|MLE|sum_nMcc_B.E_HYsps2815_TMT16",0.5,0.5,0.5,0.5,0.518906872084069,0.5,0.5
"|FragPipe|abd|MLE|max_nMcc_A.D_HYms2815_TMT16",0.5,0.5,0.5,0.5,0.5,0.5,0.5
"|FragPipe|abd|MLE|max_nMcc_A.E_HYms2815_TMT16",0.5,0.5,0.5,0.5,0.5,0.5,0.5
"|FragPipe|abd|MLE|max_nMcc_D.E_HYms2815_TMT16",0.5,0.5,0.5,0.5,0.5,0.5,0.5
"|FragPipe|abd|MLE|center.mean_nMcc_B.A_HEqe277_TMT10",0.525126623233539,0.555520210903752,0.554813524435631,0.550569826731101,0.543201156911829,0.5,0.542213442406332
"|FragPipe|abd|MLE|center.mean_nMcc_C.A_HEqe277_TMT10",0.920200657113085,0.935580476630938,0.935571211440963,0.937081858501585,0.927910192509789,0.5,0.938775738467069
"|FragPipe|abd|MLE|center.mean_nMcc_C.B_HEqe277_TMT10",0.872307577284594,0.88739564933025,0.887412317222706,0.887359550800634,0.878824620388626,0.888857526966083,0.889172228783673
"|FragPipe|abd|MLE|center.mean_nMcc_B.A_HYqfl683_TMT11",0.930688230626439,0.937120854919461,0.936927730435062,0.93772592608331,0.936506609270982,0.5,0.938168841388152
"|FragPipe|abd|MLE|center.mean_nMcc_C.A_HYqfl683_TMT11",0.947854189727434,0.956233694925157,0.956043949840842,0.956043431752635,0.955112437531398,0.956043431752635,0.955859308360145
"|FragPipe|abd|MLE|center.mean_nMcc_C.B_HYqfl683_TMT11",0.53986174513303,0.541689779623938,0.541689779623938,0.535123999734065,0.541441187041288,0.536871730457146,0.53561366621965
"|FragPipe|abd|MLE|center.mean_nMcc_A.B_HYms2faims815_TMT16",0.780978362227134,0.785853911862077,0.785134406354564,0.785390616211318,0.785134406354564,0.5,0.784594148228125
