"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","ANOVA","DEP","A","B","0.0106185314733126","0","4.93110976976611e-36","****","ANOVA-DEP"
"2","ANOVA","limma","A","C","-0.00311952384497572","-5.41626328850464e-05","9.68288067768349e-07","****","ANOVA-limma"
"3","ANOVA","proDA","A","D","0.000904582776161745","0","0.263169868312085","na","ANOVA-proDA"
"4","ANOVA","ROTS","A","E","-0.00271485368138806","0","7.44038952293484e-05","****","ANOVA-ROTS"
"5","ANOVA","SAM","A","F","0.146430638779647","0.071121282273796","0","****","ANOVA-SAM"
"6","ANOVA","ttest","A","G","-0.00458481324870143","0","1.57259320846029e-10","****","ANOVA-ttest"
"7","DEP","limma","B","C","-0.0137380553182883","0","2.72982801462844e-101","****","DEP-limma"
"8","DEP","proDA","B","D","-0.00971394869715082","0","2.69016787392761e-37","****","DEP-proDA"
"9","DEP","ROTS","B","E","-0.0133333851547006","0","8.59990493124487e-80","****","DEP-ROTS"
"10","DEP","SAM","B","F","0.135812107306334","0.0547995080702059","0","****","DEP-SAM"
"11","DEP","ttest","B","G","-0.015203344722014","0","6.10075680559485e-108","****","DEP-ttest"
"12","limma","proDA","C","D","0.00402410662113746","0","9.18531661558527e-17","****","limma-proDA"
"13","limma","ROTS","C","E","0.000404670163587659","0","0.285878740590758","na","limma-ROTS"
"14","limma","SAM","C","F","0.149550162624622","0.060540996900159","0","****","limma-SAM"
"15","limma","ttest","C","G","-0.00146528940372571","0","1.57641429607578e-06","****","limma-ttest"
"16","proDA","ROTS","D","E","-0.0036194364575498","0","1.67368653630495e-09","****","proDA-ROTS"
"17","proDA","SAM","D","F","0.145526056003485","0.0183504742700515","0","****","proDA-SAM"
"18","proDA","ttest","D","G","-0.00548939602486317","0","3.54408569608069e-34","****","proDA-ttest"
"19","ROTS","SAM","E","F","0.149145492461035","0.064123912404233","0","****","ROTS-SAM"
"20","ROTS","ttest","E","G","-0.00186995956731337","0","3.87074964070272e-05","****","ROTS-ttest"
"21","SAM","ttest","F","G","-0.151015452028348","-0.030487217189946","0","****","SAM-ttest"
