"abd","phi","ratio"
"limma|FragPipe||MLE|blank_nMcc_B.A_HEqe277_TMT10",0.61430465285135,0.810467448872018,0.61430465285135
"limma|FragPipe||MLE|blank_nMcc_C.A_HEqe277_TMT10",0.964132212720488,0.944850540971787,0.964132212720488
"limma|FragPipe||MLE|blank_nMcc_C.B_HEqe277_TMT10",0.94569932037856,0.81764636917029,0.94569932037856
"limma|FragPipe||MLE|blank_nMcc_B.A_HYqfl683_TMT11",0.956648218145111,0.915192812150413,0.956648218145111
"limma|FragPipe||MLE|blank_nMcc_C.A_HYqfl683_TMT11",0.966043480770021,0.947869666895422,0.966043480770021
"limma|FragPipe||MLE|blank_nMcc_C.B_HYqfl683_TMT11",0.600007933275231,0.747784832161057,0.600007933275231
"limma|FragPipe||MLE|blank_nMcc_A.B_HYms2faims815_TMT16",0.93203689934965,0.931257191856693,0.93203689934965
"limma|FragPipe||MLE|blank_nMcc_B.D_HYms2faims815_TMT16",0.954955362643511,0.942316722294358,0.954955362643511
"limma|FragPipe||MLE|blank_nMcc_C.E_HYms2faims815_TMT16",0.929253491364056,0.508915288800137,0.929253491364056
"limma|FragPipe||MLE|blank_nMcc_B.C_HYsps2815_TMT16",0.947868426333347,0.932346268824525,0.947868426333347
"limma|FragPipe||MLE|blank_nMcc_B.E_HYsps2815_TMT16",0.921336594926441,0.936968376783078,0.921336594926441
"limma|FragPipe||MLE|blank_nMcc_A.C_HYsps2815_TMT16",0.948962627984832,0.919911414722244,0.948962627984832
"limma|FragPipe||MLE|blank_nMcc_A.D_HYms2815_TMT16",0.931538607965165,0.880646408598051,0.931538607965165
"limma|FragPipe||MLE|blank_nMcc_A.E_HYms2815_TMT16",0.928859699651722,0.84744169105707,0.928859699651722
"limma|FragPipe||MLE|blank_nMcc_D.E_HYms2815_TMT16",0.580460066113816,0.622460365122456,0.580460066113816
"limma|FragPipe||MLE|sum_nMcc_B.A_HEqe277_TMT10",0.5,0.5,0.870366643169671
"limma|FragPipe||MLE|sum_nMcc_C.A_HEqe277_TMT10",0.5,0.5,0.827177859367728
"limma|FragPipe||MLE|sum_nMcc_C.B_HEqe277_TMT10",0.5,0.5,0.843249885082365
"limma|FragPipe||MLE|sum_nMcc_B.A_HYqfl683_TMT11",0.5,0.5,0.920322428029779
"limma|FragPipe||MLE|sum_nMcc_C.A_HYqfl683_TMT11",0.5,0.5,0.91276758197198
"limma|FragPipe||MLE|sum_nMcc_C.B_HYqfl683_TMT11",0.5,0.5,0.5
"limma|FragPipe||MLE|sum_nMcc_A.B_HYms2faims815_TMT16",0.5,0.5,0.389366702982165
"limma|FragPipe||MLE|sum_nMcc_B.D_HYms2faims815_TMT16",0.5,0.5,0.339586770932454
"limma|FragPipe||MLE|sum_nMcc_C.E_HYms2faims815_TMT16",0.5,0.5,0.456209687493653
"limma|FragPipe||MLE|sum_nMcc_B.C_HYsps2815_TMT16",0.5,0.5,0.331128875664506
"limma|FragPipe||MLE|sum_nMcc_B.E_HYsps2815_TMT16",0.5,0.5,0.404221183172591
"limma|FragPipe||MLE|sum_nMcc_A.C_HYsps2815_TMT16",0.5,0.5,0.371405860549741
"limma|FragPipe||MLE|sum_nMcc_A.D_HYms2815_TMT16",0.5,0.5,0.288184129181569
"limma|FragPipe||MLE|sum_nMcc_A.E_HYms2815_TMT16",0.5,0.5,0.31245204752395
"limma|FragPipe||MLE|sum_nMcc_D.E_HYms2815_TMT16",0.5,0.5,0.5
"limma|FragPipe||MLE|max_nMcc_B.A_HEqe277_TMT10",0.5,0.5,0.807345976587706
"limma|FragPipe||MLE|max_nMcc_C.A_HEqe277_TMT10",0.5,0.5,0.795670425454741
"limma|FragPipe||MLE|max_nMcc_C.B_HEqe277_TMT10",0.5,0.5,0.818006797760582
"limma|FragPipe||MLE|max_nMcc_B.A_HYqfl683_TMT11",0.5,0.5,0.912147715432101
"limma|FragPipe||MLE|max_nMcc_C.A_HYqfl683_TMT11",0.5,0.5,0.896500159475949
"limma|FragPipe||MLE|max_nMcc_C.B_HYqfl683_TMT11",0.5,0.5,0.5
"limma|FragPipe||MLE|max_nMcc_A.B_HYms2faims815_TMT16",0.5,0.5,0.803585656520621
"limma|FragPipe||MLE|max_nMcc_B.D_HYms2faims815_TMT16",0.5,0.5,0.736981350782794
"limma|FragPipe||MLE|max_nMcc_C.E_HYms2faims815_TMT16",0.5,0.5,0.902586913469787
"limma|FragPipe||MLE|max_nMcc_B.C_HYsps2815_TMT16",0.5,0.5,0.713240169340326
"limma|FragPipe||MLE|max_nMcc_B.E_HYsps2815_TMT16",0.5,0.5,0.676630936839029
"limma|FragPipe||MLE|max_nMcc_A.C_HYsps2815_TMT16",0.5,0.5,0.748270801103031
"limma|FragPipe||MLE|max_nMcc_A.D_HYms2815_TMT16",0.5,0.5,0.64577092515669
"limma|FragPipe||MLE|max_nMcc_A.E_HYms2815_TMT16",0.5,0.5,0.643212791684479
"limma|FragPipe||MLE|max_nMcc_D.E_HYms2815_TMT16",0.5,0.5,0.5
"limma|FragPipe||MLE|center.mean_nMcc_B.A_HEqe277_TMT10",0.554813524435631,0.599741914749602,0.554813524435631
"limma|FragPipe||MLE|center.mean_nMcc_C.A_HEqe277_TMT10",0.935571211440963,0.914769858244983,0.935571211440963
"limma|FragPipe||MLE|center.mean_nMcc_C.B_HEqe277_TMT10",0.887412317222706,0.882971196040772,0.88756831108753
"limma|FragPipe||MLE|center.mean_nMcc_B.A_HYqfl683_TMT11",0.936927730435062,0.917211345652304,0.936535439865352
"limma|FragPipe||MLE|center.mean_nMcc_C.A_HYqfl683_TMT11",0.956043949840842,0.93920557029266,0.956043949840842
"limma|FragPipe||MLE|center.mean_nMcc_C.B_HYqfl683_TMT11",0.541689779623938,0.54014629234586,0.54014629234586
"limma|FragPipe||MLE|center.mean_nMcc_A.B_HYms2faims815_TMT16",0.785134406354564,0.779240006394643,0.785134406354564
"limma|FragPipe||MLE|center.mean_nMcc_B.D_HYms2faims815_TMT16",0.895398714964641,0.880558171492952,0.895398714964641
"limma|FragPipe||MLE|center.mean_nMcc_C.E_HYms2faims815_TMT16",0.858036079127162,0.850552933323122,0.858036079127162
"limma|FragPipe||MLE|center.mean_nMcc_B.C_HYsps2815_TMT16",0.814033569755833,0.771572093818648,0.803072414395393
"limma|FragPipe||MLE|center.mean_nMcc_B.E_HYsps2815_TMT16",0.850667921680949,0.854547079608552,0.845861088005529
"limma|FragPipe||MLE|center.mean_nMcc_A.C_HYsps2815_TMT16",0.632761465674623,0.624459025635352,0.593806029232285
"limma|FragPipe||MLE|center.mean_nMcc_A.D_HYms2815_TMT16",0.717957142904561,0.689579088497831,0.717957142904561
"limma|FragPipe||MLE|center.mean_nMcc_A.E_HYms2815_TMT16",0.649905868160919,0.636038896741484,0.649905868160919
