"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","center.mean","A","B","0.0785409506292874","0.057811107801102","0","****","blank-center.mean"
"2","blank","center.median","A","C","0.0590591820249246","0.0213160998141441","5.64519544743831e-237","****","blank-center.median"
"3","blank","div.mean","A","D","0.303930765494306","0.400558494568324","0","****","blank-div.mean"
"4","blank","div.median","A","E","0.316172302404059","0.41479628111602","0","****","blank-div.median"
"5","blank","lossf","A","F","0.0841341316745105","0.0160283423525065","6.24091066377538e-177","****","blank-lossf"
"6","blank","max","A","G","0.264518267674718","0.32901994764174","0","****","blank-max"
"7","blank","MBQN","A","H","0.189615843387691","0.18140601535021","0","****","blank-MBQN"
"8","blank","quantiles","A","I","0.103959104473822","0.0793755142936841","0","****","blank-quantiles"
"9","blank","quantiles.robust","A","J","0.111236638982543","0.090088740753334","0","****","blank-quantiles.robust"
"10","blank","Rlr","A","K","0.0900935753477783","0.0360983092149361","1.20971816384891e-194","****","blank-Rlr"
"11","blank","sum","A","L","0.297642259060013","0.405659361688067","0","****","blank-sum"
"12","blank","TIC","A","M","0.14828069804599","0.0835762492768259","0","****","blank-TIC"
"13","blank","vsn","A","N","0.28242497964828","0.34744169105707","0","****","blank-vsn"
"14","center.mean","center.median","B","C","-0.0194817686043628","-0.00456919368597553","9.48543091883954e-100","****","center.mean-center.median"
"15","center.mean","div.mean","B","D","0.225389814865018","0.27116132064316","0","****","center.mean-div.mean"
"16","center.mean","div.median","B","E","0.237631351774771","0.280978362227134","0","****","center.mean-div.median"
"17","center.mean","lossf","B","F","0.00559318104522312","-0.021072240501337","0.0674573914824675","na","center.mean-lossf"
"18","center.mean","max","B","G","0.18597731704543","0.140944631478482","0","****","center.mean-max"
"19","center.mean","MBQN","B","H","0.111074892758403","0.108957364730347","0","****","center.mean-MBQN"
"20","center.mean","quantiles","B","I","0.0254181538445347","0.00406651516655698","8.40159902325602e-62","****","center.mean-quantiles"
"21","center.mean","quantiles.robust","B","J","0.0326956883532558","0.00778509379228098","3.85082678000107e-89","****","center.mean-quantiles.robust"
"22","center.mean","Rlr","B","K","0.0115526247184909","-0.020269552762897","0.000135252550682361","***","center.mean-Rlr"
"23","center.mean","sum","B","L","0.219101308430725","0.270140373221191","0","****","center.mean-sum"
"24","center.mean","TIC","B","M","0.0697397474167024","0.00315721842122407","1.96839188650704e-162","****","center.mean-TIC"
"25","center.mean","vsn","B","N","0.203884029018993","0.189315008423621","0","****","center.mean-vsn"
"26","center.median","div.mean","C","D","0.244871583469381","0.279432180430945","0","****","center.median-div.mean"
"27","center.median","div.median","C","E","0.257113120379134","0.283753901661827","0","****","center.median-div.median"
"28","center.median","lossf","C","F","0.025074949649586","-0.0177981480297681","1.0104867204908e-13","****","center.median-lossf"
"29","center.median","max","C","G","0.205459085649793","0.196592354271221","0","****","center.median-max"
"30","center.median","MBQN","C","H","0.130556661362766","0.110758622585519","0","****","center.median-MBQN"
"31","center.median","quantiles","C","I","0.0448999224488975","0.013031215754755","4.64999004092489e-126","****","center.median-quantiles"
"32","center.median","quantiles.robust","C","J","0.0521774569576187","0.015357608749764","5.2471568054036e-153","****","center.median-quantiles.robust"
"33","center.median","Rlr","C","K","0.0310343933228538","-0.015533300578888","2.24029598417815e-20","****","center.median-Rlr"
"34","center.median","sum","C","L","0.238583077035088","0.278875936367421","0","****","center.median-sum"
"35","center.median","TIC","C","M","0.0892215160210652","0.01444077327561","2.67600228020218e-194","****","center.median-TIC"
"36","center.median","vsn","C","N","0.223365797623356","0.268136526285808","0","****","center.median-vsn"
"37","div.mean","div.median","D","E","0.0122415369097532","0","8.57553312535759e-36","****","div.mean-div.median"
"38","div.mean","lossf","D","F","-0.219796633819795","-0.280979427675952","0","****","div.mean-lossf"
"39","div.mean","max","D","G","-0.0394124978195879","0","1.10881241021312e-80","****","div.mean-max"
"40","div.mean","MBQN","D","H","-0.114314922106615","-0.080956530025928","0","****","div.mean-MBQN"
"41","div.mean","quantiles","D","I","-0.199971661020483","-0.225591665653813","0","****","div.mean-quantiles"
"42","div.mean","quantiles.robust","D","J","-0.192694126511762","-0.197505027287867","0","****","div.mean-quantiles.robust"
"43","div.mean","Rlr","D","K","-0.213837190146527","-0.32255527578779","0","****","div.mean-Rlr"
"44","div.mean","sum","D","L","-0.0062885064342927","0","0.00201480642303146","**","div.mean-sum"
"45","div.mean","TIC","D","M","-0.155650067448316","-0.085323713981269","0","****","div.mean-TIC"
"46","div.mean","vsn","D","N","-0.0215057858460254","0","9.45968657010013e-30","****","div.mean-vsn"
"47","div.median","lossf","E","F","-0.232038170729548","-0.283041321112186","0","****","div.median-lossf"
"48","div.median","max","E","G","-0.0516540347293411","0","1.76469557617143e-103","****","div.median-max"
"49","div.median","MBQN","E","H","-0.126556459016368","-0.112235597065693","0","****","div.median-MBQN"
"50","div.median","quantiles","E","I","-0.212213197930237","-0.2292405634422","0","****","div.median-quantiles"
"51","div.median","quantiles.robust","E","J","-0.204935663421516","-0.22561662698153","0","****","div.median-quantiles.robust"
"52","div.median","Rlr","E","K","-0.22607872705628","-0.32255527578779","0","****","div.median-Rlr"
"53","div.median","sum","E","L","-0.0185300433440459","0","5.57276750658479e-21","****","div.median-sum"
