"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","bpca","A","B","0.000241137881660549","0","0.0616147892995749","na","blank-bpca"
"2","blank","GMS","A","C","5.49717127727028e-05","0","0.711378876032174","na","blank-GMS"
"3","blank","Impseq","A","D","0.000162271796712193","0","0.243053940144997","na","blank-Impseq"
"4","blank","Impseqrob","A","E","0.000256633468061482","0","0.0620145349130249","na","blank-Impseqrob"
"5","blank","knn","A","F","0.000160877394452936","0","0.664378495676419","na","blank-knn"
"6","blank","mice","A","G","0.000327877589396581","0","0.120649520328863","na","blank-mice"
"7","blank","min","A","H","0.000477936990629812","0","0.255617254387394","na","blank-min"
"8","blank","MinDet","A","I","8.86475710066256e-05","0","0.802976575103332","na","blank-MinDet"
"9","blank","MinProb","A","J","-0.00045174366824572","0","0.222071420162355","na","blank-MinProb"
"10","blank","missForest","A","K","0.000273328478797235","0","0.0679472881952244","na","blank-missForest"
"11","blank","MLE","A","L","0.00152211209712431","0","0.000129048527084947","***","blank-MLE"
"12","blank","nbavg","A","M","0.0012744768506138","0","4.73134754035127e-06","****","blank-nbavg"
"13","blank","QRILC","A","N","-0.000119612375860531","0","0.749549015807219","na","blank-QRILC"
"14","blank","SeqKNN","A","O","0.000257043525450714","0","0.0815281529380919","na","blank-SeqKNN"
"15","blank","zero","A","P","0.00594532786664416","0","1.25540359397213e-14","****","blank-zero"
"16","bpca","GMS","B","C","-0.000186166168887846","0","0.124322150382145","na","bpca-GMS"
"17","bpca","Impseq","B","D","-7.88660849483554e-05","0","0.175228693783422","na","bpca-Impseq"
"18","bpca","Impseqrob","B","E","1.54955864009336e-05","0","0.816051825635808","na","bpca-Impseqrob"
"19","bpca","knn","B","F","-8.02604872076131e-05","0","0.819414380978741","na","bpca-knn"
"20","bpca","mice","B","G","8.67397077360327e-05","0","0.68355203237639","na","bpca-mice"
"21","bpca","min","B","H","0.000236799108969263","0","0.572412055735555","na","bpca-min"
"22","bpca","MinDet","B","I","-0.000152490310653923","0","0.658695479815035","na","bpca-MinDet"
"23","bpca","MinProb","B","J","-0.000692881549906269","0","0.0646919055033511","na","bpca-MinProb"
"24","bpca","missForest","B","K","3.21905971366861e-05","0","0.720641151112327","na","bpca-missForest"
"25","bpca","MLE","B","L","0.00128097421546376","0","0.00114703587262002","**","bpca-MLE"
"26","bpca","nbavg","B","M","0.00103333896895325","0","0.000194514186900725","***","bpca-nbavg"
"27","bpca","QRILC","B","N","-0.00036075025752108","0","0.34448055941955","na","bpca-QRILC"
"28","bpca","SeqKNN","B","O","1.59056437901648e-05","0","0.852024792725363","na","bpca-SeqKNN"
"29","bpca","zero","B","P","0.00570418998498361","0","1.58253362240955e-13","****","bpca-zero"
"30","GMS","Impseq","C","D","0.000107300083939491","0","0.341381145324672","na","GMS-Impseq"
"31","GMS","Impseqrob","C","E","0.00020166175528878","0","0.129574678733872","na","GMS-Impseqrob"
"32","GMS","knn","C","F","0.000105905681680233","0","0.77191266516794","na","GMS-knn"
"33","GMS","mice","C","G","0.000272905876623879","0","0.239240890061169","na","GMS-mice"
"34","GMS","min","C","H","0.000422965277857109","0","0.330498219344235","na","GMS-min"
"35","GMS","MinDet","C","I","3.36758582339228e-05","0","0.926409808863523","na","GMS-MinDet"
"36","GMS","MinProb","C","J","-0.000506715381018423","0","0.180632184835123","na","GMS-MinProb"
"37","GMS","missForest","C","K","0.000218356766024532","0","0.0693106240733405","na","GMS-missForest"
"38","GMS","MLE","C","L","0.00146714038435161","0","0.000283866901690885","***","GMS-MLE"
"39","GMS","nbavg","C","M","0.00121950513784109","0","2.73069967712714e-05","****","GMS-nbavg"
"40","GMS","QRILC","C","N","-0.000174584088633234","0","0.651749352060032","na","GMS-QRILC"
