"abd","phi","ratio"
"limma|FragPipe||MLE|blank_pauc005_B.A_HEqe277_TMT10",0.909594931606678,0.898599342567432,0.9094809355763
"limma|FragPipe||MLE|blank_pauc005_C.A_HEqe277_TMT10",0.94939165885835,0.921094498284639,0.949355549450171
"limma|FragPipe||MLE|blank_pauc005_C.B_HEqe277_TMT10",0.94703919947764,0.784044759064956,0.946981378716442
"limma|FragPipe||MLE|blank_pauc005_B.A_HYqfl683_TMT11",0.954010163567257,0.918775410966588,0.953943123532289
"limma|FragPipe||MLE|blank_pauc005_C.A_HYqfl683_TMT11",0.957822506889108,0.936438039290526,0.957769247305773
"limma|FragPipe||MLE|blank_pauc005_C.B_HYqfl683_TMT11",0.912329884049045,0.913059503096281,0.912025224334579
"limma|FragPipe||MLE|blank_pauc005_A.B_HYms2faims815_TMT16",0.922277387812379,0.907795451129652,0.922277387812379
"limma|FragPipe||MLE|blank_pauc005_B.D_HYms2faims815_TMT16",0.920116766435371,0.908323827779251,0.920116766435371
"limma|FragPipe||MLE|blank_pauc005_C.E_HYms2faims815_TMT16",0.915414559818507,0.500144640402643,0.915250627359827
"limma|FragPipe||MLE|blank_pauc005_A.C_HYsps2815_TMT16",0.909177410563504,0.915663719248277,0.908124113603401
"limma|FragPipe||MLE|blank_pauc005_B.C_HYsps2815_TMT16",0.90634233217429,0.907909426248043,0.905598137618097
"limma|FragPipe||MLE|blank_pauc005_B.E_HYsps2815_TMT16",0.90785668156189,0.905169999110964,0.907331707107522
"limma|FragPipe||MLE|blank_pauc005_A.D_HYms2815_TMT16",0.862831135422243,0.586717811692732,0.862831135422243
"limma|FragPipe||MLE|blank_pauc005_A.E_HYms2815_TMT16",0.865251759569967,0.640736082050058,0.865251759569967
"limma|FragPipe||MLE|blank_pauc005_D.E_HYms2815_TMT16",0.749286703165613,0.799945724075428,0.749286703165613
"limma|FragPipe||MLE|sum_pauc005_B.A_HEqe277_TMT10",0.906012375526071,0.884958716525002,0.856201046726726
"limma|FragPipe||MLE|sum_pauc005_C.A_HEqe277_TMT10",0.947131758403669,0.918309960124792,0.90824654231391
"limma|FragPipe||MLE|sum_pauc005_C.B_HEqe277_TMT10",0.945254252010796,0.75236186153927,0.888049544740809
"limma|FragPipe||MLE|sum_pauc005_B.A_HYqfl683_TMT11",0.952654651304666,0.915055433915137,0.930182831583365
"limma|FragPipe||MLE|sum_pauc005_C.A_HYqfl683_TMT11",0.956691206299022,0.933212296274645,0.944652492019629
"limma|FragPipe||MLE|sum_pauc005_C.B_HYqfl683_TMT11",0.908995208735605,0.903267770600025,0.828422390060674
"limma|FragPipe||MLE|sum_pauc005_A.B_HYms2faims815_TMT16",0.913344880921148,0.908965650747299,0.644465390714178
"limma|FragPipe||MLE|sum_pauc005_B.D_HYms2faims815_TMT16",0.913511409328274,0.899770683354097,0.691086770554501
"limma|FragPipe||MLE|sum_pauc005_C.E_HYms2faims815_TMT16",0.910114779354833,0.912202326468769,0.831277072455214
"limma|FragPipe||MLE|sum_pauc005_A.C_HYsps2815_TMT16",0.900164610808602,0.908122877399819,0.627633469896056
"limma|FragPipe||MLE|sum_pauc005_B.C_HYsps2815_TMT16",0.896332379705287,0.896271805729783,0.520815824720383
