"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","ANOVA","DEP","A","B","-0.190851643795527","-0.268544044009357","0","****","ANOVA-DEP"
"2","ANOVA","limma","A","C","-0.190881664742927","-0.26847372631972","0","****","ANOVA-limma"
"3","ANOVA","proDA","A","D","-0.182686229491384","-0.275106141698183","0","****","ANOVA-proDA"
"4","ANOVA","ROTS","A","E","-0.15568027936001","-0.178917226495314","0","****","ANOVA-ROTS"
"5","ANOVA","SAM","A","F","-0.0897864514021468","-0.055984195936262","2.09521715170824e-263","****","ANOVA-SAM"
"6","ANOVA","ttest","A","G","-0.087124758531876","-0.086989819258664","7.8248198825431e-307","****","ANOVA-ttest"
"7","DEP","limma","B","C","-3.00209473997443e-05","0","0.927885420872238","na","DEP-limma"
"8","DEP","proDA","B","D","0.00816541430414384","-0.000379049062527059","3.01985693422162e-30","****","DEP-proDA"
"9","DEP","ROTS","B","E","0.035171364435517","-0.00227484335891054","4.27465481896161e-173","****","DEP-ROTS"
"10","DEP","SAM","B","F","0.101065192393381","0.050630767984962","0","****","DEP-SAM"
"11","DEP","ttest","B","G","0.103726885263651","0.099389157445845","0","****","DEP-ttest"
"12","limma","proDA","C","D","0.00819543525154358","-0.000495526944832014","1.15676865449091e-35","****","limma-proDA"
"13","limma","ROTS","C","E","0.0352013853829168","-0.00272185872873401","2.26794591247909e-186","****","limma-ROTS"
"14","limma","SAM","C","F","0.10109521334078","0.0501074569430675","0","****","limma-SAM"
"15","limma","ttest","C","G","0.103756906211051","0.0994298219746425","0","****","limma-ttest"
"16","proDA","ROTS","D","E","0.0270059501313732","-0.0066662301366015","8.59722564849489e-78","****","proDA-ROTS"
"17","proDA","SAM","D","F","0.0928997780892368","0.0472938511380235","0","****","proDA-SAM"
"18","proDA","ttest","D","G","0.0955614709595076","0.100181450287041","0","****","proDA-ttest"
"19","ROTS","SAM","E","F","0.0658938279578636","0.02178851287894","0","****","ROTS-SAM"
"20","ROTS","ttest","E","G","0.0685555208281344","0.0480245407675814","0","****","ROTS-ttest"
"21","SAM","ttest","F","G","0.00266169287027079","0.00347377332326598","0.00678661192257464","**","SAM-ttest"
