"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","center.mean","A","B","0.147294836740602","0.139928816121452","0","****","blank-center.mean"
"2","blank","center.median","A","C","0.099000746216534","0.0693738093712595","2.95846508729738e-320","****","blank-center.median"
"3","blank","div.mean","A","D","0.179511362479598","0.16626260807842","0","****","blank-div.mean"
"4","blank","div.median","A","E","0.187693332603797","0.165633494421839","0","****","blank-div.median"
"5","blank","lossf","A","F","0.0913269477942194","0.024502276095702","5.07781549161918e-180","****","blank-lossf"
"6","blank","max","A","G","0.0121994991908524","0.00036849869686395","8.10892560530296e-29","****","blank-max"
"7","blank","MBQN","A","H","0.165452131422819","0.120953274016368","0","****","blank-MBQN"
"8","blank","quantiles","A","I","0.145669196148588","0.128096401323854","0","****","blank-quantiles"
"9","blank","quantiles.robust","A","J","0.157822047410248","0.140427851943658","0","****","blank-quantiles.robust"
"10","blank","Rlr","A","K","0.110451590939255","0.0479267758996419","1.36148161593926e-261","****","blank-Rlr"
"11","blank","sum","A","L","0.0192167252999943","0.00104159962309103","3.7237707334779e-34","****","blank-sum"
"12","blank","TIC","A","M","0.183570848143773","0.176480334618589","0","****","blank-TIC"
"13","blank","vsn","A","N","0.0920928172363331","0.0668586266000334","2.66812239778509e-300","****","blank-vsn"
"14","center.mean","center.median","B","C","-0.0482940905240684","-0.012013421809524","1.53726102940963e-156","****","center.mean-center.median"
"15","center.mean","div.mean","B","D","0.0322165257389953","0.00674587913336999","6.25539389607149e-55","****","center.mean-div.mean"
"16","center.mean","div.median","B","E","0.0403984958631945","0.000509087340293535","1.06484408718829e-79","****","center.mean-div.median"
"17","center.mean","lossf","B","F","-0.055967888946383","-0.078105051546612","4.8689858514305e-71","****","center.mean-lossf"
"18","center.mean","max","B","G","-0.13509533754975","-0.127258020046304","0","****","center.mean-max"
"19","center.mean","MBQN","B","H","0.0181572946822166","-0.000664735949138962","1.75859108274663e-08","****","center.mean-MBQN"
