DEA,expression_type,MVI,Normalization,label
limma,abd,SeqKNN,No_norm,1.0
limma,ratio,GMS,No_norm,1.0
limma,ratio,GMS,center.median,1.0
limma,abd,GMS,No_norm,1.0
limma,abd,Impseqrob,No_norm,1.0
limma,abd,bpca,No_norm,1.0
limma,ratio,SeqKNN,No_norm,1.0
limma,ratio,SeqKNN,center.median,1.0
limma,abd,Impseq,No_norm,1.0
limma,ratio,Impseq,No_norm,1.0
limma,ratio,bpca,No_norm,1.0
limma,ratio,Impseq,center.median,1.0
limma,ratio,bpca,center.median,1.0
proDA,abd,SeqKNN,No_norm,1.0
proDA,abd,Impseqrob,No_norm,1.0
proDA,abd,bpca,No_norm,1.0
proDA,abd,GMS,No_norm,1.0
limma,abd,missForest,No_norm,1.0
proDA,abd,Impseq,No_norm,1.0
limma,ratio,mice,No_norm,1.0
limma,ratio,Impseqrob,No_norm,1.0
limma,ratio,Impseqrob,center.median,1.0
limma,ratio,mice,center.median,1.0
limma,ratio,missForest,No_norm,1.0
proDA,abd,missForest,No_norm,1.0
limma,ratio,missForest,center.median,1.0
proDA,abd,No_MVI,No_norm,1.0
limma,ratio,knn,No_norm,1.0
limma,ratio,knn,center.median,1.0
proDA,abd,MLE,No_norm,1.0
proDA,abd,zero,No_norm,1.0
limma,ratio,No_MVI,No_norm,1.0
limma,abd,No_MVI,No_norm,1.0
limma,ratio,No_MVI,center.median,1.0
proDA,abd,mice,No_norm,1.0
limma,ratio,zero,center.median,1.0
limma,ratio,zero,No_norm,1.0
limma,abd,mice,No_norm,1.0
limma,abd,knn,No_norm,1.0
limma,ratio,QRILC,No_norm,1.0
limma,ratio,MinProb,No_norm,1.0
limma,abd,MLE,No_norm,1.0
proDA,abd,knn,No_norm,1.0
limma,ratio,MinProb,center.median,1.0
limma,ratio,QRILC,center.median,1.0
limma,abd,QRILC,No_norm,1.0
limma,ratio,MLE,No_norm,1.0
limma,ratio,MLE,center.median,1.0
limma,ratio,MinDet,No_norm,1.0
limma,ratio,MinDet,center.median,1.0
limma,abd,MinProb,No_norm,1.0
limma,abd,MinDet,No_norm,1.0
proDA,abd,QRILC,No_norm,1.0
limma,abd,nbavg,No_norm,1.0
limma,ratio,nbavg,No_norm,1.0
limma,ratio,nbavg,center.median,1.0
limma,abd,min,No_norm,1.0
proDA,abd,MinProb,No_norm,1.0
proDA,abd,MinDet,No_norm,1.0
limma,ratio,min,No_norm,1.0
limma,ratio,min,center.median,1.0
proDA,abd,nbavg,No_norm,1.0
limma,abd,zero,No_norm,1.0
proDA,abd,min,No_norm,1.0
proDA,phi,Impseqrob,No_norm,1.0
proDA,phi,bpca,No_norm,1.0
proDA,phi,Impseq,No_norm,1.0
proDA,phi,GMS,No_norm,1.0
proDA,phi,SeqKNN,No_norm,1.0
proDA,phi,missForest,No_norm,1.0
ROTS,abd,knn,No_norm,1.0
proDA,phi,mice,No_norm,1.0
proDA,phi,No_MVI,No_norm,1.0
proDA,phi,zero,No_norm,1.0
proDA,phi,QRILC,No_norm,1.0
proDA,phi,MLE,No_norm,1.0
proDA,phi,knn,No_norm,1.0
ROTS,abd,MinDet,No_norm,1.0
proDA,phi,MinProb,No_norm,1.0
ROTS,abd,MinProb,No_norm,1.0
proDA,phi,MinDet,No_norm,1.0
ROTS,abd,QRILC,No_norm,1.0
proDA,phi,nbavg,No_norm,1.0
proDA,phi,min,No_norm,1.0
DEP,phi,No_MVI,No_norm,1.0
DEP,phi,zero,No_norm,1.0
DEP,phi,MLE,No_norm,1.0
DEP,phi,Impseq,No_norm,1.0
DEP,phi,bpca,No_norm,1.0
DEP,phi,Impseqrob,No_norm,1.0
DEP,phi,missForest,No_norm,1.0
ROTS,abd,min,No_norm,1.0
DEP,phi,QRILC,No_norm,1.0
ROTS,ratio,min,No_norm,1.0
ROTS,ratio,min,center.median,1.0
limma,abd,SeqKNN,lossf,1.0
proDA,abd,SeqKNN,lossf,1.0
limma,abd,Impseqrob,lossf,1.0
limma,abd,Impseq,lossf,1.0
proDA,abd,Impseqrob,lossf,1.0
limma,abd,bpca,lossf,1.0
proDA,abd,bpca,lossf,1.0
proDA,abd,Impseq,lossf,1.0
proDA,abd,GMS,lossf,1.0
DEP,phi,mice,No_norm,1.0
limma,abd,GMS,lossf,1.0
DEP,phi,knn,No_norm,1.0
DEP,phi,MinProb,No_norm,1.0
DEP,phi,MinDet,No_norm,1.0
limma,abd,missForest,lossf,1.0
DEP,phi,min,No_norm,1.0
proDA,abd,missForest,lossf,1.0
proDA,abd,No_MVI,lossf,1.0
limma,abd,No_MVI,lossf,1.0
ROTS,ratio,zero,No_norm,1.0
ROTS,ratio,zero,center.median,1.0
DEP,phi,nbavg,No_norm,1.0
ROTS,abd,mice,No_norm,1.0
limma,abd,knn,lossf,1.0
proDA,abd,zero,lossf,1.0
proDA,abd,MLE,lossf,1.0
limma,abd,mice,lossf,1.0
limma,abd,QRILC,lossf,1.0
ROTS,abd,MLE,No_norm,1.0
limma,abd,MLE,lossf,1.0
proDA,abd,knn,lossf,1.0
ROTS,ratio,GMS,center.median,1.0
limma,abd,MinProb,lossf,1.0
proDA,abd,mice,lossf,1.0
ROTS,ratio,GMS,No_norm,1.0
limma,abd,MinDet,lossf,1.0
ROTS,abd,No_MVI,No_norm,1.0
proDA,abd,QRILC,lossf,1.0
ROTS,ratio,No_MVI,No_norm,1.0
ROTS,ratio,MLE,No_norm,1.0
ROTS,ratio,SeqKNN,No_norm,1.0
ROTS,abd,GMS,No_norm,1.0
ROTS,ratio,No_MVI,center.median,1.0
ROTS,ratio,mice,No_norm,1.0
ROTS,ratio,MLE,center.median,1.0
proDA,abd,MinProb,lossf,1.0
ROTS,abd,Impseqrob,No_norm,1.0
ROTS,ratio,SeqKNN,center.median,1.0
proDA,abd,MinDet,lossf,1.0
ROTS,ratio,bpca,No_norm,1.0
ROTS,abd,SeqKNN,No_norm,1.0
ROTS,ratio,mice,center.median,1.0
MSstats,MedianPolish,TRUE,FALSE,1.0
MSstats,MedianPolish,FALSE,FALSE,1.0
ROTS,ratio,Impseq,No_norm,1.0
MSstats,msstats,TRUE,FALSE,1.0
ROTS,ratio,missForest,No_norm,1.0
limma,abd,nbavg,lossf,1.0
ROTS,ratio,bpca,center.median,1.0
ROTS,ratio,Impseq,center.median,1.0
ROTS,abd,bpca,No_norm,1.0
ROTS,abd,Impseq,No_norm,1.0
ROTS,ratio,Impseqrob,No_norm,1.0
ROTS,ratio,Impseqrob,center.median,1.0
MSstats,msstats,FALSE,FALSE,1.0
proDA,abd,nbavg,lossf,1.0
ROTS,abd,missForest,No_norm,1.0
limma,abd,min,lossf,1.0
proDA,abd,min,lossf,1.0
ROTS,ratio,missForest,center.median,1.0
ROTS,ratio,knn,No_norm,1.0
ROTS,ratio,knn,center.median,1.0
limma,abd,zero,lossf,1.0
limma,phi,QRILC,No_norm,1.0
ROTS,ratio,QRILC,center.median,1.0
ROTS,abd,zero,No_norm,1.0
ROTS,ratio,QRILC,No_norm,1.0
ROTS,ratio,MinProb,No_norm,1.0
ROTS,ratio,MinProb,center.median,1.0
ROTS,ratio,MinDet,center.median,1.0
ROTS,ratio,MinDet,No_norm,1.0
DEP,phi,GMS,No_norm,1.0
limma,phi,min,No_norm,1.0
limma,phi,knn,No_norm,1.0
limma,phi,zero,No_norm,1.0
limma,phi,MinProb,No_norm,1.0
ROTS,abd,nbavg,No_norm,1.0
limma,phi,MinDet,No_norm,1.0
proDA,phi,Impseqrob,lossf,1.0
proDA,phi,GMS,lossf,1.0
proDA,phi,SeqKNN,lossf,1.0
limma,phi,Impseqrob,lossf,1.0
limma,phi,nbavg,No_norm,1.0
limma,phi,GMS,lossf,1.0
proDA,phi,bpca,lossf,1.0
proDA,phi,Impseq,lossf,1.0
limma,phi,SeqKNN,lossf,1.0
limma,phi,bpca,lossf,1.0
limma,phi,Impseq,lossf,1.0
proDA,phi,missForest,lossf,1.0
proDA,phi,No_MVI,lossf,1.0
proDA,phi,mice,lossf,1.0
limma,phi,missForest,lossf,1.0
proDA,phi,MLE,lossf,1.0
proDA,phi,zero,lossf,1.0
limma,phi,No_MVI,lossf,1.0
proDA,phi,QRILC,lossf,1.0
limma,phi,mice,lossf,1.0
limma,phi,QRILC,lossf,1.0
limma,phi,mice,No_norm,1.0
ROTS,ratio,nbavg,center.median,1.0
proDA,phi,MinProb,lossf,1.0
limma,phi,MLE,lossf,1.0
limma,phi,MinProb,lossf,1.0
ROTS,ratio,nbavg,No_norm,1.0
proDA,phi,MinDet,lossf,1.0
limma,phi,GMS,No_norm,1.0
proDA,phi,knn,lossf,1.0
limma,phi,MinDet,lossf,1.0
limma,phi,knn,lossf,1.0
limma,phi,SeqKNN,No_norm,1.0
limma,phi,Impseqrob,No_norm,1.0
proDA,phi,nbavg,lossf,1.0
limma,phi,missForest,No_norm,1.0
limma,phi,bpca,No_norm,1.0
limma,phi,Impseq,No_norm,1.0
limma,phi,nbavg,lossf,1.0
limma,abd,SeqKNN,Rlr,1.0
proDA,phi,min,lossf,1.0
limma,phi,min,lossf,1.0
MSstats,LogSum,TRUE,FALSE,1.0
MSstats,LogSum,FALSE,FALSE,1.0
limma,abd,Impseqrob,Rlr,1.0
limma,abd,Impseq,Rlr,1.0
limma,abd,GMS,Rlr,1.0
limma,abd,bpca,Rlr,1.0
limma,phi,No_MVI,No_norm,1.0
DEP,ratio,GMS,center.median,1.0
limma,phi,zero,lossf,1.0
DEP,ratio,GMS,No_norm,1.0
limma,abd,missForest,Rlr,1.0
limma,abd,No_MVI,Rlr,2.0
DEP,ratio,Impseq,center.median,2.0
DEP,ratio,bpca,center.median,2.0
proDA,abd,SeqKNN,Rlr,2.0
DEP,ratio,Impseq,No_norm,2.0
DEP,ratio,bpca,No_norm,2.0
proDA,abd,Impseqrob,Rlr,2.0
proDA,abd,Impseq,Rlr,2.0
limma,abd,mice,Rlr,2.0
proDA,abd,GMS,Rlr,2.0
proDA,abd,bpca,Rlr,2.0
limma,abd,knn,Rlr,2.0
proDA,abd,missForest,Rlr,2.0
DEP,phi,SeqKNN,No_norm,2.0
DEP,abd,Impseqrob,No_norm,2.0
limma,abd,QRILC,Rlr,2.0
proDA,abd,No_MVI,Rlr,2.0
DEP,abd,bpca,No_norm,2.0
DEP,ratio,SeqKNN,center.median,2.0
DEP,abd,Impseq,No_norm,2.0
limma,abd,MinProb,Rlr,2.0
