"ANOVA","DEP","DEqMS","limma","proDA","ROTS","SAM","ttest"
"|Maxquant|top0|MLE|blank_geomean_B.A_HYE5600735_LFQ",0.774407793325908,0.733905644727318,0.755800684060388,0.762562130505085,0.733389173414423,0.779369966787033,0.768138646515141,0.748968133008855
"|Maxquant|top0|MLE|blank_geomean_B.A_HYE6600735_LFQ",0.780513777024898,0.633459532074012,0.752204300656918,0.758426085283639,0.731163162331467,0.780726139771463,0.777431275273002,0.74852066049178
"|Maxquant|top0|MLE|blank_geomean_B.A_HYEqe735_LFQ",0.77058894630548,0.689961291724467,0.794892648523388,0.794881626445496,0.725951030014177,0.801050537294049,0.810334120740929,0.78139940179892
"|Maxquant|top0|MLE|blank_geomean_B.A_HYEtims735_LFQ",0.716078780565502,0.53644328481181,0.639209961257624,0.64139702226152,0.624823441883221,0.675391138304911,0.65277424729317,0.621092242181196
"|Maxquant|top0|MLE|blank_geomean_C.B_HYtims134_LFQ",0.571737428288225,0.585378278658596,0,0,0,0,0,0
"|Maxquant|top0|MLE|blank_geomean_D.B_HYtims134_LFQ",0.648250013697779,0.657160094418318,0.0597395678610981,0.0597395678610981,0.0597395678610981,0,0,0.0597395678610981
"|Maxquant|top0|MLE|blank_geomean_D.C_HYtims134_LFQ",0.415847157997891,0.167945420073704,0.0843916839343459,0.0942835212569197,0.0730987461613007,0,0,0.0731523376246292
"|Maxquant|top0|MLE|blank_geomean_B.A_HEtims425_LFQ",0.408783547572892,0.163054565919451,0,0.0577210671749708,0.0408186210150049,0,0,0
"|Maxquant|top0|MLE|blank_geomean_C.A_HEtims425_LFQ",0.826541215179851,0.564367019382031,0.737260635258678,0.745548869384066,0.683961749093685,0.796448897515447,0,0.495744652025903
"|Maxquant|top0|MLE|blank_geomean_C.B_HEtims425_LFQ",0.649325309513792,0.422024254150682,0.460647217835732,0.473981926169688,0.359528511696659,0,0,0.244691857362623
"|Maxquant|top0|MLE|blank_geomean_B.A_HEqe408_LFQ",0.749426043456968,0.518201418645176,0.514544406195789,0.598523780840801,0.555694897422906,0.622669265272043,0.589699851433995,0.546049110775416
"|Maxquant|top0|MLE|blank_geomean_B.A_HYEtims777_LFQ",0.799949490524036,0.61053288514501,0.751626192723077,0.758222610069888,0.739433699503514,0.795104146183477,0,0.608850773010543
"|Maxquant|top0|MLE|sum_geomean_B.A_HYE5600735_LFQ",0.224168405799886,0.115873732410732,0.200593495736033,0.200593495736033,0,0.225562129894146,0.225482720587022,0.155433639671961
"|Maxquant|top0|MLE|sum_geomean_B.A_HYE6600735_LFQ",0.250365115666366,0.06228746598643,0.201646208723879,0.201646208723879,0.0440438895819311,0.226306663256923,0.256098534337229,0.178823712155654
"|Maxquant|top0|MLE|sum_geomean_B.A_HYEqe735_LFQ",0.245117532770155,0.115104887500347,0.316586673167279,0.316586673167279,0.0390991861903319,0.325207609797388,0.348390880875033,0.285397334782187
