"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","ANOVA","DEP","A","B","0.0926537555249634","0.032690847466081","0","****","ANOVA-DEP"
"2","ANOVA","DEqMS","A","C","0.0629540585523347","0","0","****","ANOVA-DEqMS"
"3","ANOVA","limma","A","D","0.0651369840682541","0","0","****","ANOVA-limma"
"4","ANOVA","proDA","A","E","0.11828420169391","0.013692424960247","0","****","ANOVA-proDA"
"5","ANOVA","ROTS","A","F","0.0628675300767068","0","0","****","ANOVA-ROTS"
"6","ANOVA","SAM","A","G","0.294727242961892","0.0955945742306285","0","****","ANOVA-SAM"
"7","ANOVA","ttest","A","H","0.169560027526356","0.0797529093646785","0","****","ANOVA-ttest"
"8","DEP","DEqMS","B","C","-0.0296996969726287","0","1.4400934793065e-171","****","DEP-DEqMS"
"9","DEP","limma","B","D","-0.0275167714567093","0","7.22766109602029e-148","****","DEP-limma"
"10","DEP","proDA","B","E","0.0256304461689466","0","2.63406885459188e-73","****","DEP-proDA"
"11","DEP","ROTS","B","F","-0.0297862254482566","0","7.86815306652726e-121","****","DEP-ROTS"
"12","DEP","SAM","B","G","0.202073487436929","0","0","****","DEP-SAM"
"13","DEP","ttest","B","H","0.076906272001393","0","0","****","DEP-ttest"
"14","DEqMS","limma","C","D","0.00218292551591939","0","2.25404056616946e-31","****","DEqMS-limma"
"15","DEqMS","proDA","C","E","0.0553301431415753","0.00340725331410646","0","****","DEqMS-proDA"
"16","DEqMS","ROTS","C","F","-8.65284756279231e-05","0","0.903602939735265","na","DEqMS-ROTS"
"17","DEqMS","SAM","C","G","0.231773184409557","0.000310347163277491","0","****","DEqMS-SAM"
"18","DEqMS","ttest","C","H","0.106605968974022","0.0231513294161285","0","****","DEqMS-ttest"
"19","limma","proDA","D","E","0.0531472176256559","0.00291319101150156","0","****","limma-proDA"
"20","limma","ROTS","D","F","-0.00226945399154732","0","0.00182153473979597","**","limma-ROTS"
"21","limma","SAM","D","G","0.229590258893638","0","0","****","limma-SAM"
"22","limma","ttest","D","H","0.104423043458102","0.0197738148595285","0","****","limma-ttest"
"23","proDA","ROTS","E","F","-0.0554166716172032","-0.00489429915318945","0","****","proDA-ROTS"
"24","proDA","SAM","E","G","0.176443041267982","0","0","****","proDA-SAM"
"25","proDA","ttest","E","H","0.0512758258324464","0","0","****","proDA-ttest"
"26","ROTS","SAM","F","G","0.231859712885185","0.00907218936315252","0","****","ROTS-SAM"
"27","ROTS","ttest","F","H","0.10669249744965","0.0189678550320435","0","****","ROTS-ttest"
"28","SAM","ttest","G","H","-0.125167215435536","0","0","****","SAM-ttest"
