"beta_binomial","edgeR","plgem"
"|Maxquant|count|MLE|blank_geomean_B.A_HYE5600735_LFQ",0.610665168133967,0.61776279725276,0
"|Maxquant|count|MLE|blank_geomean_B.A_HYE6600735_LFQ",0.591016009537618,0.669192669076199,0
"|Maxquant|count|MLE|blank_geomean_B.A_HYEqe735_LFQ",0.52730216704508,0.614996989555158,0.0231310501029612
"|Maxquant|count|MLE|blank_geomean_B.A_HYEtims735_LFQ",0.201650933795853,0.405311259894137,0
"|Maxquant|count|MLE|blank_geomean_C.B_HYtims134_LFQ",0,0,0
"|Maxquant|count|MLE|blank_geomean_D.B_HYtims134_LFQ",0,0,0
"|Maxquant|count|MLE|blank_geomean_D.C_HYtims134_LFQ",0.0422190541310082,0,0
"|Maxquant|count|MLE|blank_geomean_B.A_HEtims425_LFQ",0.0407893078183948,0,0
"|Maxquant|count|MLE|blank_geomean_C.A_HEtims425_LFQ",0,0,0
"|Maxquant|count|MLE|blank_geomean_C.B_HEtims425_LFQ",0.0815126105429846,0,0
"|Maxquant|count|MLE|blank_geomean_D.C_YUltq006_LFQ",0,0,0
"|Maxquant|count|MLE|blank_geomean_E.B_YUltq006_LFQ",0.220515685678044,0.348536369918649,0
"|Maxquant|count|MLE|blank_geomean_D.B_YUltq099_LFQ",0.519898308961196,0.780112649058909,0
"|Maxquant|count|MLE|blank_geomean_E.C_YUltq099_LFQ",0,0.421589937324888,0
"|Maxquant|count|MLE|blank_geomean_D.A_YUltq819_LFQ",0,0,0.142857142857143
"|Maxquant|count|MLE|blank_geomean_F.C_YUltq819_LFQ",0.283912411829863,0,0
"|Maxquant|count|MLE|blank_geomean_I.H_YUltq819_LFQ",0.374303328436765,0.424420080834605,0
"|Maxquant|count|MLE|blank_geomean_B.A_HEqe408_LFQ",0.0419151627885635,0.440479035120262,0
"|Maxquant|count|MLE|blank_geomean_B.A_HYqfl683_LFQ",0.242266793396511,0,0
"|Maxquant|count|MLE|blank_geomean_C.A_HYqfl683_LFQ",0.374681737858973,0.445101452773448,0
"|Maxquant|count|MLE|blank_geomean_C.B_HYqfl683_LFQ",0.121141271451828,0,0
"|Maxquant|count|MLE|blank_geomean_B.A_HYEtims777_LFQ",0.303089229254434,0.318281187248505,0
"|Maxquant|count|MLE|sum_geomean_C.B_HYtims134_LFQ",0,0,0
"|Maxquant|count|MLE|sum_geomean_D.B_HYtims134_LFQ",0,0,0.0422577127364258
"|Maxquant|count|MLE|sum_geomean_D.C_HYtims134_LFQ",0.0422345218194301,0,0
"|Maxquant|count|MLE|sum_geomean_B.A_HEtims425_LFQ",0.09990401219108,0,0
"|Maxquant|count|MLE|sum_geomean_C.A_HEtims425_LFQ",0.107704799256193,0,0
"|Maxquant|count|MLE|sum_geomean_C.B_HEtims425_LFQ",0.0576951588891039,0,0
"|Maxquant|count|MLE|sum_geomean_D.C_YUltq006_LFQ",0,0,0
"|Maxquant|count|MLE|sum_geomean_E.B_YUltq006_LFQ",0,0,0
"|Maxquant|count|MLE|sum_geomean_D.B_YUltq099_LFQ",0,0,0
"|Maxquant|count|MLE|sum_geomean_E.C_YUltq099_LFQ",0,0,0
"|Maxquant|count|MLE|sum_geomean_D.A_YUltq819_LFQ",0,0,0
"|Maxquant|count|MLE|sum_geomean_F.C_YUltq819_LFQ",0,0,0
"|Maxquant|count|MLE|sum_geomean_I.H_YUltq819_LFQ",0,0,0
"|Maxquant|count|MLE|sum_geomean_B.A_HYqfl683_LFQ",0.241841169004184,0.142115353165736,0
"|Maxquant|count|MLE|sum_geomean_C.A_HYqfl683_LFQ",0.357944512108803,0.358433873670229,0
"|Maxquant|count|MLE|sum_geomean_C.B_HYqfl683_LFQ",0.104952327637896,0,0
"|Maxquant|count|MLE|max_geomean_B.A_HYE5600735_LFQ",0.405982863294008,0.507543928864241,0
"|Maxquant|count|MLE|max_geomean_B.A_HYE6600735_LFQ",0.317496020210915,0.466570134924423,0.05558415558605
"|Maxquant|count|MLE|max_geomean_B.A_HYEqe735_LFQ",0.285038800755179,0.460569336530539,0.0231265105974513
"|Maxquant|count|MLE|max_geomean_B.A_HYEtims735_LFQ",0.201558207928166,0.287389091636942,0
"|Maxquant|count|MLE|max_geomean_C.B_HYtims134_LFQ",0,0,0
"|Maxquant|count|MLE|max_geomean_D.B_HYtims134_LFQ",0,0,0
"|Maxquant|count|MLE|max_geomean_D.C_HYtims134_LFQ",0.0422190541310082,0,0
"|Maxquant|count|MLE|max_geomean_B.A_HEtims425_LFQ",0.057653681415095,0,0
"|Maxquant|count|MLE|max_geomean_C.A_HEtims425_LFQ",0.0813216282246943,0,0
"|Maxquant|count|MLE|max_geomean_C.B_HEtims425_LFQ",0.0815126105429846,0,0
"|Maxquant|count|MLE|max_geomean_D.C_YUltq006_LFQ",0,0,0
"|Maxquant|count|MLE|max_geomean_E.B_YUltq006_LFQ",0,0,0
"|Maxquant|count|MLE|max_geomean_D.B_YUltq099_LFQ",0,0,0
