"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","bpca","A","B","-0.0443969961016585","0","3.04404197469022e-85","****","blank-bpca"
"2","blank","GMS","A","C","-0.0274680451784131","0","2.42779211952203e-37","****","blank-GMS"
"3","blank","Impseq","A","D","-0.0526417057006802","0","2.40892984052266e-96","****","blank-Impseq"
"4","blank","Impseqrob","A","E","-0.0308519429002859","0","1.0194667845009e-56","****","blank-Impseqrob"
"5","blank","knn","A","F","-0.0333228620747044","0","4.39909216290059e-50","****","blank-knn"
"6","blank","mice","A","G","-0.0455634053085538","0","1.66904029869487e-84","****","blank-mice"
"7","blank","min","A","H","-0.026968924109275","0","3.49652848294211e-23","****","blank-min"
"8","blank","MinDet","A","I","-0.0401902255551784","0","1.00774254176144e-67","****","blank-MinDet"
"9","blank","MinProb","A","J","-0.0401549842091037","0","3.32594731422085e-67","****","blank-MinProb"
"10","blank","missForest","A","K","-0.0405932096082662","0","1.80763074204112e-92","****","blank-missForest"
"11","blank","MLE","A","L","-0.00369324863342561","0","0.144483594576041","na","blank-MLE"
"12","blank","nbavg","A","M","-0.0528402541974736","0","7.23544630827678e-115","****","blank-nbavg"
"13","blank","QRILC","A","N","-0.03193046324023","0","1.69814604594063e-45","****","blank-QRILC"
"14","blank","SeqKNN","A","O","-0.0427255397451744","0","1.67563815551671e-75","****","blank-SeqKNN"
"15","blank","zero","A","P","-0.0422891359449553","0","1.77982390808954e-41","****","blank-zero"
"16","bpca","GMS","B","C","0.0169289509232454","0","3.63526931986693e-32","****","bpca-GMS"
"17","bpca","Impseq","B","D","-0.00824470959902177","0","9.78919225339943e-14","****","bpca-Impseq"
"18","bpca","Impseqrob","B","E","0.0135450532013726","0","1.13974531634157e-24","****","bpca-Impseqrob"
"19","bpca","knn","B","F","0.0110741340269541","0","1.55627683496557e-15","****","bpca-knn"
"20","bpca","mice","B","G","-0.00116640920689533","0","0.438536834096192","na","bpca-mice"
"21","bpca","min","B","H","0.0174280719923835","0","2.19508944074483e-14","****","bpca-min"
"22","bpca","MinDet","B","I","0.00420677054648008","0","0.0138417466583799","*","bpca-MinDet"
"23","bpca","MinProb","B","J","0.00424201189255474","0","0.016179996099975","*","bpca-MinProb"
"24","bpca","missForest","B","K","0.00380378649339232","0","0.000427389919711514","***","bpca-missForest"
"25","bpca","MLE","B","L","0.0407037474682329","0","2.74522223900628e-44","****","bpca-MLE"
"26","bpca","nbavg","B","M","-0.00844325809581515","0","9.53534879207014e-07","****","bpca-nbavg"
"27","bpca","QRILC","B","N","0.0124665328614285","0","1.5820167912926e-11","****","bpca-QRILC"
"28","bpca","SeqKNN","B","O","0.00167145635648409","0","0.177313155243877","na","bpca-SeqKNN"
"29","bpca","zero","B","P","0.00210786015670315","0","0.536751836194826","na","bpca-zero"
"30","GMS","Impseq","C","D","-0.0251736605222672","0","1.69771741977608e-61","****","GMS-Impseq"
"31","GMS","Impseqrob","C","E","-0.00338389772187284","0","0.0162899889657177","*","GMS-Impseqrob"
"32","GMS","knn","C","F","-0.00585481689629131","0","2.7672287931544e-05","****","GMS-knn"
"33","GMS","mice","C","G","-0.0180953601301408","0","6.38212763791975e-32","****","GMS-mice"
"34","GMS","min","C","H","0.000499121069138087","0","0.80942709962433","na","GMS-min"
"35","GMS","MinDet","C","I","-0.0127221803767653","0","4.74482668473043e-14","****","GMS-MinDet"
"36","GMS","MinProb","C","J","-0.0126869390306907","0","2.38844617147254e-15","****","GMS-MinProb"
"37","GMS","missForest","C","K","-0.0131251644298531","0","2.1250164405269e-27","****","GMS-missForest"
"38","GMS","MLE","C","L","0.0237747965449874","0","2.15152634687241e-18","****","GMS-MLE"
"39","GMS","nbavg","C","M","-0.0253722090190606","0","8.2417211341844e-56","****","GMS-nbavg"
"40","GMS","QRILC","C","N","-0.00446241806181696","0","0.00542182972673748","**","GMS-QRILC"
"41","GMS","SeqKNN","C","O","-0.0152574945667613","0","8.19827887729142e-27","****","GMS-SeqKNN"
"42","GMS","zero","C","P","-0.0148210907665423","0","4.01531807616957e-06","****","GMS-zero"
"43","Impseq","Impseqrob","D","E","0.0217897628003944","0","8.04179516780228e-51","****","Impseq-Impseqrob"
"44","Impseq","knn","D","F","0.0193188436259759","0","3.68112980608392e-43","****","Impseq-knn"
"45","Impseq","mice","D","G","0.00707830039212644","0","4.29823513507294e-07","****","Impseq-mice"
