"dlfq","LFQ","top0","top3"
"limma|Maxquant||MLE|blank_geomean_B.A_HYE5600735_LFQ",0.754237364002106,0.730411625976416,0.762562130505085,0.72264844631981
"limma|Maxquant||MLE|blank_geomean_B.A_HYE6600735_LFQ",0.781311514268901,0.747560512348946,0.758426085283639,0.728380872282322
"limma|Maxquant||MLE|blank_geomean_B.A_HYEqe735_LFQ",0.802850248608678,0.788423174916205,0.794881626445496,0.766325108196434
"limma|Maxquant||MLE|blank_geomean_B.A_HYEtims735_LFQ",0.512369067990576,0.599213483913926,0.64139702226152,0.673187895555015
"limma|Maxquant||MLE|blank_geomean_C.B_HYtims134_LFQ",0,0,0,0
"limma|Maxquant||MLE|blank_geomean_D.B_HYtims134_LFQ",0.260351077712394,0.263464610929529,0.0597395678610981,0.0597395678610981
"limma|Maxquant||MLE|blank_geomean_D.C_HYtims134_LFQ",0,0.0597286335573804,0.0942835212569197,0.0844226363226723
"limma|Maxquant||MLE|blank_geomean_B.A_HEtims425_LFQ",0.0706237538864725,0.0577573192507016,0.0577210671749708,0.0577521417759701
"limma|Maxquant||MLE|blank_geomean_C.A_HEtims425_LFQ",0.681946158729137,0.763087886207159,0.745548869384066,0.794269077842697
"limma|Maxquant||MLE|blank_geomean_C.B_HEtims425_LFQ",0.670026998324421,0.706681973014169,0.473981926169688,0.4820695178917
"limma|Maxquant||MLE|blank_geomean_E.B_YUltq006_LFQ",0.551027023245522,0.306598907652018,0.467262814240823,0.468825860913486
"limma|Maxquant||MLE|blank_geomean_D.C_YUltq006_LFQ",0.659427519276524,0.372316991549582,0.605370951102963,0.628171145818802
"limma|Maxquant||MLE|blank_geomean_E.C_YUltq099_LFQ",0.960039988135721,0.867156547959221,0.732870528137306,0.730879929997856
"limma|Maxquant||MLE|blank_geomean_D.B_YUltq099_LFQ",0.866409535718957,0.68350674260132,0.142521007937574,0.142478935314388
"limma|Maxquant||MLE|blank_geomean_D.A_YUltq819_LFQ",0.141654620263211,0,0.137798099399923,0
"limma|Maxquant||MLE|blank_geomean_F.C_YUltq819_LFQ",0.349046046116744,0.142016446191742,0.39946249189357,0.20118199399355
"limma|Maxquant||MLE|blank_geomean_I.H_YUltq819_LFQ",0.932842530229644,0.779832877018201,0.886139861679364,0.897809877374101
"limma|Maxquant||MLE|blank_geomean_B.A_HEqe408_LFQ",0.658642196174383,0.518670699486519,0.598523780840801,0.546049110775416
"limma|Maxquant||MLE|blank_geomean_B.A_HYqfl683_LFQ",0.590799886026405,0.522805645017326,0.293321507439658,0.299770371529417
"limma|Maxquant||MLE|blank_geomean_C.A_HYqfl683_LFQ",0.625774470793269,0.563559144523142,0.575773729525756,0.515438570604248
"limma|Maxquant||MLE|blank_geomean_C.B_HYqfl683_LFQ",0.264124232420803,0.277695793569431,0.11335410689988,0.132062116210401
