"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","center.mean","A","B","-0.000701711338024065","0.000257639763872941","0.630434725633174","na","blank-center.mean"
"2","blank","center.median","A","C","-0.00316353513150418","0","0.029337607732394","*","blank-center.median"
"3","blank","div.mean","A","D","0.504050888005251","0.5987948653099","0","****","blank-div.mean"
"4","blank","div.median","A","E","0.503973984035754","0.598166830954665","0","****","blank-div.median"
"5","blank","lossf","A","F","-0.0148956512636182","0","9.39980295224063e-26","****","blank-lossf"
"6","blank","max","A","G","0.503926314895499","0.597564548374395","0","****","blank-max"
"7","blank","MBQN","A","H","0.0723273770911842","0.0273194051532707","9.9117537240339e-194","****","blank-MBQN"
"8","blank","quantiles","A","I","-0.00584346621578983","1.09443250779009e-05","1.75434878357516e-05","****","blank-quantiles"
"9","blank","quantiles.robust","A","J","0.257759781062382","0.163219355082905","0","****","blank-quantiles.robust"
"10","blank","Rlr","A","K","-0.0133272592173752","0","1.57074460233564e-22","****","blank-Rlr"
"11","blank","sum","A","L","0.513912723910495","0.614844678458668","0","****","blank-sum"
"12","blank","TIC","A","M","0.0895357829312842","0.02513476930452","0","****","blank-TIC"
"13","blank","vsn","A","N","0.501521557573994","0.60010377719833","0","****","blank-vsn"
"14","center.mean","center.median","B","C","-0.00246182379348011","0","0.000165313751183669","***","center.mean-center.median"
"15","center.mean","div.mean","B","D","0.504752599343275","0.607297376979775","0","****","center.mean-div.mean"
"16","center.mean","div.median","B","E","0.504675695373778","0.607060831319855","0","****","center.mean-div.median"
"17","center.mean","lossf","B","F","-0.0141939399255941","-0.004002239537714","1.37472083820305e-33","****","center.mean-lossf"
"18","center.mean","max","B","G","0.504628026233523","0.606369729253459","0","****","center.mean-max"
"19","center.mean","MBQN","B","H","0.0730290884292083","0.016868527904783","2.06840871979874e-206","****","center.mean-MBQN"
"20","center.mean","quantiles","B","I","-0.00514175487776576","0","1.22571728192448e-10","****","center.mean-quantiles"
"21","center.mean","quantiles.robust","B","J","0.258461492400406","0.142617449495592","0","****","center.mean-quantiles.robust"
"22","center.mean","Rlr","B","K","-0.0126255478793512","-0.00243806746789599","1.04794418674816e-27","****","center.mean-Rlr"
"23","center.mean","sum","B","L","0.514614435248519","0.624392223931212","0","****","center.mean-sum"
"24","center.mean","TIC","B","M","0.0902374942693083","0.018180298909468","4.54540394173947e-322","****","center.mean-TIC"
"25","center.mean","vsn","B","N","0.502223268912018","0.609871568689154","0","****","center.mean-vsn"
"26","center.median","div.mean","C","D","0.507214423136755","0.603616836512066","0","****","center.median-div.mean"
"27","center.median","div.median","C","E","0.507137519167258","0.603453370820643","0","****","center.median-div.median"
"28","center.median","lossf","C","F","-0.011732116132114","-0.000732388700931952","2.46262751755885e-28","****","center.median-lossf"
"29","center.median","max","C","G","0.507089850027003","0.60255956940545","0","****","center.median-max"
"30","center.median","MBQN","C","H","0.0754909122226884","0.0196448919121111","4.64515839255575e-222","****","center.median-MBQN"
"31","center.median","quantiles","C","I","-0.00267993108428565","0","0.00289591959635862","**","center.median-quantiles"
"32","center.median","quantiles.robust","C","J","0.260923316193886","0.14325125922786","0","****","center.median-quantiles.robust"
"33","center.median","Rlr","C","K","-0.010163724085871","-0.00026815415256598","9.31477388667348e-23","****","center.median-Rlr"
"34","center.median","sum","C","L","0.517076259041999","0.620605531232436","0","****","center.median-sum"
"35","center.median","TIC","C","M","0.0926993180627884","0.0195444534228499","1.97626258336499e-323","****","center.median-TIC"
"36","center.median","vsn","C","N","0.504685092705498","0.605370951102963","0","****","center.median-vsn"
"37","div.mean","div.median","D","E","-7.69039694971909e-05","0","0.200118960553231","na","div.mean-div.median"
"38","div.mean","lossf","D","F","-0.518946539268869","-0.6181374365539","0","****","div.mean-lossf"
"39","div.mean","max","D","G","-0.000124573109752145","0","0.359014504003336","na","div.mean-max"
"40","div.mean","MBQN","D","H","-0.431723510914067","-0.485361331418654","0","****","div.mean-MBQN"
"41","div.mean","quantiles","D","I","-0.509894354221041","-0.610100921499538","0","****","div.mean-quantiles"
"42","div.mean","quantiles.robust","D","J","-0.246291106942869","-0.109252035501814","0","****","div.mean-quantiles.robust"
"43","div.mean","Rlr","D","K","-0.517378147222626","-0.617659202289912","0","****","div.mean-Rlr"
"44","div.mean","sum","D","L","0.00986183590524371","0","2.7421632016771e-47","****","div.mean-sum"
"45","div.mean","TIC","D","M","-0.414515105073967","-0.451143060096149","0","****","div.mean-TIC"
"46","div.mean","vsn","D","N","-0.00252933043125739","0","0.00134509905483722","**","div.mean-vsn"
"47","div.median","lossf","E","F","-0.518869635299372","-0.618060280891902","0","****","div.median-lossf"
"48","div.median","max","E","G","-4.76691402549541e-05","0","0.722873801006277","na","div.median-max"
"49","div.median","MBQN","E","H","-0.43164660694457","-0.486012711867199","0","****","div.median-MBQN"
"50","div.median","quantiles","E","I","-0.509817450251544","-0.610065892995352","0","****","div.median-quantiles"
"51","div.median","quantiles.robust","E","J","-0.246214202973372","-0.10796684330919","0","****","div.median-quantiles.robust"
"52","div.median","Rlr","E","K","-0.517301243253129","-0.617615122747974","0","****","div.median-Rlr"
"53","div.median","sum","E","L","0.0099387398747409","0","2.49656441620049e-47","****","div.median-sum"
"54","div.median","TIC","E","M","-0.41443820110447","-0.450863197509057","0","****","div.median-TIC"
"55","div.median","vsn","E","N","-0.0024524264617602","0","0.00182015371581799","**","div.median-vsn"
"56","lossf","max","F","G","0.518821966159117","0.617728995823352","0","****","lossf-max"
"57","lossf","MBQN","F","H","0.0872230283548024","0.0228267760972111","2.36104579298211e-291","****","lossf-MBQN"
"58","lossf","quantiles","F","I","0.00905218504782835","0.00156756552241599","2.20229280880622e-17","****","lossf-quantiles"
"59","lossf","quantiles.robust","F","J","0.272655432326","0.164009441994955","0","****","lossf-quantiles.robust"
"60","lossf","Rlr","F","K","0.00156839204624295","0","0.00306126949812408","**","lossf-Rlr"
"61","lossf","sum","F","L","0.528808375174113","0.633371381626064","0","****","lossf-sum"
"62","lossf","TIC","F","M","0.104431434194902","0.0223099817006249","0","****","lossf-TIC"
"63","lossf","vsn","F","N","0.516417208837612","0.61932024969279","0","****","lossf-vsn"
"64","max","MBQN","G","H","-0.431598937804315","-0.485748694077575","0","****","max-MBQN"
"65","max","quantiles","G","I","-0.509769781111289","-0.609832203396061","0","****","max-quantiles"
"66","max","quantiles.robust","G","J","-0.246166533833117","-0.107937758719256","0","****","max-quantiles.robust"
"67","max","Rlr","G","K","-0.517253574112874","-0.617317052574515","0","****","max-Rlr"
"68","max","sum","G","L","0.00998640901499586","0","4.96515181261081e-48","****","max-sum"
"69","max","TIC","G","M","-0.414390531964215","-0.450503309907938","0","****","max-TIC"
"70","max","vsn","G","N","-0.00240475732150525","0","0.00215850928359931","**","max-vsn"
"71","MBQN","quantiles","H","I","-0.078170843306974","-0.019749936629352","1.21033438750263e-253","****","MBQN-quantiles"
"72","MBQN","quantiles.robust","H","J","0.185432403971198","0.1038518672209","0","****","MBQN-quantiles.robust"
"73","MBQN","Rlr","H","K","-0.0856546363085594","-0.0255603949852621","1.51277102996333e-291","****","MBQN-Rlr"
"74","MBQN","sum","H","L","0.441585346819311","0.50325976243194","0","****","MBQN-sum"
"75","MBQN","TIC","H","M","0.0172084058401","0","9.92899643356931e-10","****","MBQN-TIC"
"76","MBQN","vsn","H","N","0.42919418048281","0.483039057920534","0","****","MBQN-vsn"
"77","quantiles","quantiles.robust","I","J","0.263603247278172","0.154035729294757","0","****","quantiles-quantiles.robust"
