"pauc001feature","pauc001sr","pauc001rank","pauc005feature","pauc005sr","pauc005rank","pauc01feature","pauc01sr","pauc01rank","nMCCfeature","nMCCsr","nMCCrank","G-meanfeature","G-meansr","G-meanrank","avg_rank"
"1","SeqKNN",1,1,"SeqKNN",1,1,"SeqKNN",0.933333333333333,2,"SeqKNN",1,1,"SeqKNN",0.733333333333333,5,2
"2","missForest",0.933333333333333,2,"missForest",0.866666666666667,3,"missForest",0.8,4,"missForest",0.8,4,"missForest",0.6,7,4
"3","Impseq",0.866666666666667,3,"Impseq",0.933333333333333,2,"Impseq",1,1,"Impseq",0.933333333333333,2,"Impseq",0.933333333333333,2,2
"4","MinProb",0.8,4,"MinProb",0.733333333333333,5,"MinProb",0.666666666666667,6,"MinProb",0.733333333333333,5,"MinProb",0.466666666666667,9,5.8
"5","GMS",0.733333333333333,5,"GMS",0.466666666666667,9,"GMS",0.4,10,"GMS",0.4,10,"GMS",0.2,13,9.4
"6","bpca",0.666666666666667,6,"bpca",0.8,4,"bpca",0.866666666666667,3,"bpca",0.666666666666667,6,"bpca",0.8,4,4.6
"7","knn",0.6,7,"knn",0.4,10,"knn",0.466666666666667,9,"knn",0.466666666666667,9,"knn",0.4,10,9
"8","blank",0.533333333333333,8,"blank",0.133333333333333,14,"blank",0.133333333333333,14,"blank",0.0666666666666667,15,"blank",0,16,13.4
"9","QRILC",0.466666666666667,9,"QRILC",0.266666666666667,12,"QRILC",0.266666666666667,12,"QRILC",0.333333333333333,11,"QRILC",0.333333333333333,11,11
"10","Impseqrob",0.4,10,"Impseqrob",0.333333333333333,11,"Impseqrob",0.533333333333333,8,"Impseqrob",0.266666666666667,12,"Impseqrob",0.266666666666667,12,10.6
"11","MinDet",0.333333333333333,11,"MinDet",0.666666666666667,6,"MinDet",0.6,7,"MinDet",0.6,7,"MinDet",0.533333333333333,8,7.8
"12","nbavg",0.266666666666667,12,"nbavg",0.533333333333333,8,"nbavg",0.333333333333333,11,"nbavg",0.866666666666667,3,"nbavg",1,1,7
"13","mice",0.2,13,"mice",0.6,7,"mice",0.733333333333333,5,"mice",0.533333333333333,8,"mice",0.866666666666667,3,7.2
"14","min",0.133333333333333,14,"min",0.2,13,"min",0.2,13,"min",0.133333333333333,14,"min",0.133333333333333,14,13.6
"15","zero",0.0666666666666667,15,"zero",0.0666666666666667,15,"zero",0.0666666666666667,15,"zero",0.2,13,"zero",0.666666666666667,6,12.8
"16","MLE",0,16,"MLE",0,16,"MLE",0,16,"MLE",0,16,"MLE",0.0666666666666667,15,15.8
