"pauc001feature","pauc001sr","pauc001rank","pauc005feature","pauc005sr","pauc005rank","pauc01feature","pauc01sr","pauc01rank","nMCCfeature","nMCCsr","nMCCrank","G-meanfeature","G-meansr","G-meanrank","avg_rank"
"1","lossf",1,1,"lossf",1,1,"lossf",1,1,"lossf",1,1,"lossf",1,1,1
"2","Rlr",0.923076923076923,2,"Rlr",0.923076923076923,2,"Rlr",0.923076923076923,2,"Rlr",0.923076923076923,2,"Rlr",0.923076923076923,2,2
"3","blank",0.846153846153846,3,"blank",0.846153846153846,3,"blank",0.769230769230769,4,"blank",0.615384615384615,6,"blank",0.615384615384615,6,4.4
"4","center.median",0.769230769230769,4,"center.median",0.769230769230769,4,"center.median",0.846153846153846,3,"center.median",0.846153846153846,3,"center.median",0.769230769230769,4,3.6
"5","div.median",0.692307692307692,5,"div.median",0.692307692307692,5,"div.median",0.692307692307692,5,"div.median",0.230769230769231,11,"div.median",0.153846153846154,12,7.6
"6","max",0.615384615384615,6,"max",0.615384615384615,6,"max",0.615384615384615,6,"max",0.0769230769230769,13,"max",0.230769230769231,11,8.4
"7","vsn",0.538461538461538,7,"vsn",0.461538461538462,8,"vsn",0.461538461538462,8,"vsn",0.307692307692308,10,"vsn",0.307692307692308,10,8.6
"8","center.mean",0.461538461538462,8,"center.mean",0.538461538461538,7,"center.mean",0.538461538461538,7,"center.mean",0.692307692307692,5,"center.mean",0.692307692307692,5,6.4
"9","div.mean",0.384615384615385,9,"div.mean",0.384615384615385,9,"div.mean",0.384615384615385,9,"div.mean",0.153846153846154,12,"div.mean",0.0769230769230769,13,10.4
"10","TIC",0.307692307692308,10,"TIC",0.0769230769230769,13,"TIC",0.0769230769230769,13,"TIC",0.461538461538462,8,"TIC",0.461538461538462,8,10.4
"11","quantiles",0.230769230769231,11,"quantiles",0.307692307692308,10,"quantiles",0.307692307692308,10,"quantiles",0.769230769230769,4,"quantiles",0.846153846153846,3,7.6
"12","sum",0.153846153846154,12,"sum",0.230769230769231,11,"sum",0.230769230769231,11,"sum",0,14,"sum",0,14,12.4
"13","MBQN",0.0769230769230769,13,"MBQN",0.153846153846154,12,"MBQN",0.153846153846154,12,"MBQN",0.538461538461538,7,"MBQN",0.538461538461538,7,10.2
"14","quantiles.robust",0,14,"quantiles.robust",0,14,"quantiles.robust",0,14,"quantiles.robust",0.384615384615385,9,"quantiles.robust",0.384615384615385,9,12
