"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","ANOVA","DEP","A","B","-0.00782685701222817","0","4.93870191108114e-46","****","ANOVA-DEP"
"2","ANOVA","DEqMS","A","C","-0.0147639210667799","0","1.22089838654794e-246","****","ANOVA-DEqMS"
"3","ANOVA","limma","A","D","-0.021406052474786","0","2.1572403407504e-307","****","ANOVA-limma"
"4","ANOVA","proDA","A","E","-0.00859145037729936","0","2.5581214549494e-34","****","ANOVA-proDA"
"5","ANOVA","ROTS","A","F","-0.0224513845128068","0","3.93474893983209e-267","****","ANOVA-ROTS"
"6","ANOVA","SAM","A","G","0.0629168402011437","0","0","****","ANOVA-SAM"
"7","ANOVA","ttest","A","H","0.00968235172669614","0","6.95257527011966e-61","****","ANOVA-ttest"
"8","DEP","DEqMS","B","C","-0.00693706405455175","0","1.47777571232189e-60","****","DEP-DEqMS"
"9","DEP","limma","B","D","-0.0135791954625578","0","8.80669281698395e-161","****","DEP-limma"
"10","DEP","proDA","B","E","-0.000764593365071191","0","0.232427213779048","na","DEP-proDA"
"11","DEP","ROTS","B","F","-0.0146245275005786","0","2.48479920473409e-137","****","DEP-ROTS"
"12","DEP","SAM","B","G","0.0707436972133718","0","0","****","DEP-SAM"
"13","DEP","ttest","B","H","0.0175092087389243","0","1.31118515550361e-161","****","DEP-ttest"
"14","DEqMS","limma","C","D","-0.00664213140800607","0","2.14820774447478e-94","****","DEqMS-limma"
"15","DEqMS","proDA","C","E","0.00617247068948056","0","6.76645114481037e-28","****","DEqMS-proDA"
"16","DEqMS","ROTS","C","F","-0.00768746344602686","0","2.51637545242005e-65","****","DEqMS-ROTS"
"17","DEqMS","SAM","C","G","0.0776807612679236","0.00026544408076451","0","****","DEqMS-SAM"
"18","DEqMS","ttest","C","H","0.0244462727934761","0.000243102228486503","0","****","DEqMS-ttest"
"19","limma","proDA","D","E","0.0128146020974866","0","4.77511964277851e-130","****","limma-proDA"
"20","limma","ROTS","D","F","-0.00104533203802079","0","0.00319813993128351","**","limma-ROTS"
"21","limma","SAM","D","G","0.0843228926759297","2.18488189330235e-05","0","****","limma-SAM"
"22","limma","ttest","D","H","0.0310884042014821","0.000581289404215979","0","****","limma-ttest"
"23","proDA","ROTS","E","F","-0.0138599341355074","0","8.46968112162355e-126","****","proDA-ROTS"
"24","proDA","SAM","E","G","0.071508290578443","0","0","****","proDA-SAM"
"25","proDA","ttest","E","H","0.0182738021039955","0","2.76960961688934e-312","****","proDA-ttest"
"26","ROTS","SAM","F","G","0.0853682247139505","0","0","****","ROTS-SAM"
"27","ROTS","ttest","F","H","0.0321337362395029","0","0","****","ROTS-ttest"
"28","SAM","ttest","G","H","-0.0532344884744475","0","0","****","SAM-ttest"
