"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","bpca","A","B","-0.0113884486902588","0","4.05315978363033e-35","****","blank-bpca"
"2","blank","GMS","A","C","-0.00931869349021933","0","6.57557668321314e-26","****","blank-GMS"
"3","blank","Impseq","A","D","-0.014914825828825","0","9.96857443506065e-47","****","blank-Impseq"
"4","blank","Impseqrob","A","E","-0.00745617794702825","0","2.50631402290658e-24","****","blank-Impseqrob"
"5","blank","knn","A","F","-0.00965870283311741","0","1.00138370291041e-25","****","blank-knn"
"6","blank","mice","A","G","-0.00988693503214876","0","1.36502507543875e-28","****","blank-mice"
"7","blank","min","A","H","-0.00127069871708971","0","0.285916060517438","na","blank-min"
"8","blank","MinDet","A","I","-0.0106570506811836","0","1.87346214096468e-26","****","blank-MinDet"
"9","blank","MinProb","A","J","-0.0117620259516208","0","4.0092650811829e-31","****","blank-MinProb"
"10","blank","missForest","A","K","-0.0131415812822843","0","1.55566133574967e-62","****","blank-missForest"
"11","blank","MLE","A","L","0.0118902354216802","0.00815896811949701","2.83827152959027e-29","****","blank-MLE"
"12","blank","nbavg","A","M","-0.014686296162305","0","3.86500868089944e-49","****","blank-nbavg"
"13","blank","QRILC","A","N","-0.00912349174894293","0","2.01877819955611e-18","****","blank-QRILC"
"14","blank","SeqKNN","A","O","-0.0160108730445168","0","1.97434123522258e-61","****","blank-SeqKNN"
"15","blank","zero","A","P","-0.00651261411413981","0","4.01972421052696e-07","****","blank-zero"
"16","bpca","GMS","B","C","0.0020697552000395","0","0.000794023936733609","***","bpca-GMS"
"17","bpca","Impseq","B","D","-0.00352637713856613","0","1.50736972210251e-12","****","bpca-Impseq"
"18","bpca","Impseqrob","B","E","0.00393227074323058","0","1.33972111913231e-13","****","bpca-Impseqrob"
"19","bpca","knn","B","F","0.00172974585714142","0","0.006465219201098","**","bpca-knn"
"20","bpca","mice","B","G","0.00150151365811007","0","0.0228750718556548","*","bpca-mice"
"21","bpca","min","B","H","0.0101177499731691","0","1.1031276780779e-23","****","bpca-min"
"22","bpca","MinDet","B","I","0.000731398009075269","0","0.335714809111794","na","bpca-MinDet"
"23","bpca","MinProb","B","J","-0.00037357726136194","0","0.647142235144967","na","bpca-MinProb"
"24","bpca","missForest","B","K","-0.00175313259202552","0","0.000223520296156192","***","bpca-missForest"
"25","bpca","MLE","B","L","0.023278684111939","0.011009578486648","7.30247915449544e-89","****","bpca-MLE"
"26","bpca","nbavg","B","M","-0.0032978474720462","0","6.65163394764053e-05","****","bpca-nbavg"
"27","bpca","QRILC","B","N","0.0022649569413159","0","0.0108607379335292","*","bpca-QRILC"
"28","bpca","SeqKNN","B","O","-0.00462242435425793","0","1.2242228058969e-16","****","bpca-SeqKNN"
"29","bpca","zero","B","P","0.00487583457611902","0","0.000305227592330696","***","bpca-zero"
"30","GMS","Impseq","C","D","-0.00559613233860563","0","3.84411998700107e-17","****","GMS-Impseq"
"31","GMS","Impseqrob","C","E","0.00186251554319108","0","0.00213325981520321","**","GMS-Impseqrob"
"32","GMS","knn","C","F","-0.000340009342898079","0","0.5938419399917","na","GMS-knn"
"33","GMS","mice","C","G","-0.000568241541929431","0","0.391479569309888","na","GMS-mice"
"34","GMS","min","C","H","0.00804799477312962","0","7.01864400458587e-18","****","GMS-min"
"35","GMS","MinDet","C","I","-0.00133835719096423","0","0.0723246340459478","na","GMS-MinDet"
"36","GMS","MinProb","C","J","-0.00244333246140144","0","0.000854762527178672","***","GMS-MinProb"
"37","GMS","missForest","C","K","-0.00382288779206502","0","6.2405475472574e-13","****","GMS-missForest"
"38","GMS","MLE","C","L","0.0212089289118995","0.010819636167001","1.0596331696709e-76","****","GMS-MLE"
"39","GMS","nbavg","C","M","-0.0053676026720857","0","1.77086740524144e-13","****","GMS-nbavg"
"40","GMS","QRILC","C","N","0.000195201741276399","0","0.801741059603353","na","GMS-QRILC"
"41","GMS","SeqKNN","C","O","-0.00669217955429743","0","5.78715466330679e-27","****","GMS-SeqKNN"
"42","GMS","zero","C","P","0.00280607937607952","0","0.0296383411780702","*","GMS-zero"
"43","Impseq","Impseqrob","D","E","0.00745864788179671","0","5.4364199849675e-33","****","Impseq-Impseqrob"
"44","Impseq","knn","D","F","0.00525612299570755","0","4.12544697273803e-15","****","Impseq-knn"
"45","Impseq","mice","D","G","0.0050278907966762","0","1.72438975070267e-15","****","Impseq-mice"
"46","Impseq","min","D","H","0.0136441271117352","0","1.62879240324738e-43","****","Impseq-min"
"47","Impseq","MinDet","D","I","0.0042577751476414","0","1.55497273685696e-08","****","Impseq-MinDet"
"48","Impseq","MinProb","D","J","0.00315279987720419","0","0.000108404225233143","***","Impseq-MinProb"
"49","Impseq","missForest","D","K","0.00177324454654061","0","0.00535176839029103","**","Impseq-missForest"
"50","Impseq","MLE","D","L","0.0268050612505051","0.012136366560929","9.80475587391098e-104","****","Impseq-MLE"
"51","Impseq","nbavg","D","M","0.000228529666519932","0","0.756828875330931","na","Impseq-nbavg"
"52","Impseq","QRILC","D","N","0.00579133407988203","0","1.83184682665766e-10","****","Impseq-QRILC"
"53","Impseq","SeqKNN","D","O","-0.0010960472156918","0","0.0428708159355898","*","Impseq-SeqKNN"
"54","Impseq","zero","D","P","0.00840221171468515","0","1.21418821807538e-09","****","Impseq-zero"
"55","Impseqrob","knn","E","F","-0.00220252488608916","0","0.000335621092129616","***","Impseqrob-knn"
"56","Impseqrob","mice","E","G","-0.00243075708512051","0","8.45321072573864e-05","****","Impseqrob-mice"
"57","Impseqrob","min","E","H","0.00618547922993853","0","1.3048877044693e-09","****","Impseqrob-min"
"58","Impseqrob","MinDet","E","I","-0.00320087273415531","0","4.70708757678959e-05","****","Impseqrob-MinDet"
"59","Impseqrob","MinProb","E","J","-0.00430584800459252","0","3.60677139495373e-07","****","Impseqrob-MinProb"
