"dlfq","LFQ","top0","top3"
"limma|Maxquant||MLE|blank_nMcc_B.A_HYE5600735_LFQ",0.853281509272692,0.84447721227091,0.851342703792027,0.831234227542999
"limma|Maxquant||MLE|blank_nMcc_B.A_HYE6600735_LFQ",0.859499165454762,0.8515841342225,0.830547098721898,0.826192036431139
"limma|Maxquant||MLE|blank_nMcc_B.A_HYEqe735_LFQ",0.871001550857649,0.867640049976716,0.859126204149843,0.844842482209457
"limma|Maxquant||MLE|blank_nMcc_B.A_HYEtims735_LFQ",0.719273403426187,0.770751839868076,0.757797090961916,0.782078787872282
"limma|Maxquant||MLE|blank_nMcc_C.B_HYtims134_LFQ",0.493167786189071,0.496056617567387,0.493167786189071,0.493167786189071
"limma|Maxquant||MLE|blank_nMcc_D.B_HYtims134_LFQ",0.613095327357971,0.603995780664085,0.51531575203753,0.51531575203753
"limma|Maxquant||MLE|blank_nMcc_D.C_HYtims134_LFQ",0.490333383630295,0.511936301142498,0.511898682028746,0.516893324619983
"limma|Maxquant||MLE|blank_nMcc_B.A_HEtims425_LFQ",0.502031120103605,0.510745595512179,0.503701275032602,0.509315476582625
"limma|Maxquant||MLE|blank_nMcc_C.A_HEtims425_LFQ",0.793503344563805,0.854379328029433,0.783417813060454,0.810604456166488
"limma|Maxquant||MLE|blank_nMcc_C.B_HEtims425_LFQ",0.799566187296447,0.834429718483819,0.662852500818592,0.662580120516803
"limma|Maxquant||MLE|blank_nMcc_E.B_YUltq006_LFQ",0.582315335772963,0.513807542533684,0.587692060271173,0.599736778939806
"limma|Maxquant||MLE|blank_nMcc_D.C_YUltq006_LFQ",0.609753886900301,0.522844700213982,0.590072257113849,0.606754339212324
"limma|Maxquant||MLE|blank_nMcc_E.C_YUltq099_LFQ",0.870235116258028,0.730551934223546,0.721309060301037,0.706780828148687
"limma|Maxquant||MLE|blank_nMcc_D.B_YUltq099_LFQ",0.882276222634857,0.79057861604957,0.518114158021217,0.516546566439106
"limma|Maxquant||MLE|blank_nMcc_D.A_YUltq819_LFQ",0.502750830725636,0.487369766067427,0.480943436622836,0.478187582194203
"limma|Maxquant||MLE|blank_nMcc_F.C_YUltq819_LFQ",0.616838463901642,0.507728439133606,0.582715849331708,0.532273561707097
"limma|Maxquant||MLE|blank_nMcc_I.H_YUltq819_LFQ",0.918565595178657,0.842235790657651,0.870228359068863,0.880280686681033
"limma|Maxquant||MLE|blank_nMcc_B.A_HEqe408_LFQ",0.802534706626376,0.72609649246237,0.768664808492289,0.750804883723156
"limma|Maxquant||MLE|blank_nMcc_B.A_HYqfl683_LFQ",0.77501103768442,0.744479935135984,0.618413417379491,0.631828378338905
"limma|Maxquant||MLE|blank_nMcc_C.A_HYqfl683_LFQ",0.796179431962333,0.767709169104741,0.75762779703331,0.736469112435549
"limma|Maxquant||MLE|blank_nMcc_C.B_HYqfl683_LFQ",0.621133607368823,0.628657630289672,0.544953241900997,0.556236052254593
"limma|Maxquant||MLE|blank_nMcc_B.A_HYEtims777_LFQ",0.791663117969301,0.840709299262999,0.810906896939158,0.829155287835542
"limma|Maxquant||MLE|sum_nMcc_B.A_HYE5600735_LFQ",0.578986613859289,0.631618972852321,0.577755650693605,0.581027740950604
"limma|Maxquant||MLE|sum_nMcc_B.A_HYE6600735_LFQ",0.580752698466561,0.617168979026576,0.578838688702463,0.588955229023014
"limma|Maxquant||MLE|sum_nMcc_B.A_HYEqe735_LFQ",0.618002172156098,0.612349307460035,0.630910871662644,0.627304729022822
"limma|Maxquant||MLE|sum_nMcc_B.A_HYEtims735_LFQ",0.602728376270754,0.553329828822588,0.54542202774087,0.54542202774087
"limma|Maxquant||MLE|sum_nMcc_C.B_HYtims134_LFQ",0.493167786189071,0.496056617567387,0.493167786189071,0.493167786189071
"limma|Maxquant||MLE|sum_nMcc_D.B_HYtims134_LFQ",0.494422368125694,0.488155456411715,0.51531575203753,0.51531575203753
"limma|Maxquant||MLE|sum_nMcc_D.C_HYtims134_LFQ",0.491176968532473,0.493167786189071,0.506563805411214,0.506563805411214
"limma|Maxquant||MLE|sum_nMcc_B.A_HEtims425_LFQ",0.494482637263859,0.512456416000944,0.49639129707716,0.49639129707716
"limma|Maxquant||MLE|sum_nMcc_C.A_HEtims425_LFQ",0.485819686186863,0.492777332162239,0.492481799689178,0.492481799689178
"limma|Maxquant||MLE|sum_nMcc_C.B_HEtims425_LFQ",0.499616645454736,0.517337116235154,0.493746506282957,0.493746506282957
"limma|Maxquant||MLE|sum_nMcc_E.B_YUltq006_LFQ",0.489108773115313,0.492163805091373,0.489351969448934,0.489108773115313
"limma|Maxquant||MLE|sum_nMcc_D.C_YUltq006_LFQ",0.489854734921923,0.491229545740753,0.490115138394299,0.490115138394299
"limma|Maxquant||MLE|sum_nMcc_E.C_YUltq099_LFQ",0.489789714755706,0.491353800787331,0.489383007322863,0.488990421513352
"limma|Maxquant||MLE|sum_nMcc_D.B_YUltq099_LFQ",0.494252426067503,0.495460049173042,0.494252426067503,0.493902027719575
"limma|Maxquant||MLE|sum_nMcc_D.A_YUltq819_LFQ",0.494240066149428,0.491841031880503,0.494240066149428,0.494240066149428
"limma|Maxquant||MLE|sum_nMcc_F.C_YUltq819_LFQ",0.575243890279968,0.493557595716124,0.575243890279968,0.494240066149428
"limma|Maxquant||MLE|sum_nMcc_I.H_YUltq819_LFQ",0.494240066149428,0.4959303976279,0.494240066149428,0.494240066149428
"limma|Maxquant||MLE|sum_nMcc_B.A_HEqe408_LFQ",0.498960984287592,0.508563117362564,0.497732648778778,0.510999649501475
