"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","center.mean","A","B","-0.00249901125784657","0","0.000275692958489963","***","blank-center.mean"
"2","blank","center.median","A","C","-0.0065680136114212","0","7.78419006248386e-21","****","blank-center.median"
"3","blank","div.mean","A","D","0.191646857636021","0.198981242482295","0","****","blank-div.mean"
"4","blank","div.median","A","E","0.191615612074938","0.198677484676044","0","****","blank-div.median"
"5","blank","lossf","A","F","-0.0142037266135919","0","1.07486728144568e-87","****","blank-lossf"
"6","blank","max","A","G","0.191785792047742","0.199329221345807","0","****","blank-max"
"7","blank","MBQN","A","H","0.0357461723640404","0.015370766639379","4.90160552303194e-230","****","blank-MBQN"
"8","blank","quantiles","A","I","-0.000358905748211185","0.000337098530266977","0.584540961135527","na","blank-quantiles"
"9","blank","quantiles.robust","A","J","0.113045719068103","0.08413865356874","0","****","blank-quantiles.robust"
"10","blank","Rlr","A","K","-0.0127972526910096","0","5.43712610979101e-82","****","blank-Rlr"
"11","blank","sum","A","L","0.194809642490578","0.205459903691298","0","****","blank-sum"
"12","blank","TIC","A","M","0.0488082361181788","0.014340357105085","0","****","blank-TIC"
"13","blank","vsn","A","N","0.188726024066061","0.191329479768786","0","****","blank-vsn"
"14","center.mean","center.median","B","C","-0.00406900235357462","-0.000354279212041009","3.60303005505774e-46","****","center.mean-center.median"
"15","center.mean","div.mean","B","D","0.194145868893868","0.220058697249371","0","****","center.mean-div.mean"
"16","center.mean","div.median","B","E","0.194114623332785","0.220058697249371","0","****","center.mean-div.median"
"17","center.mean","lossf","B","F","-0.0117047153557454","-0.00337283384783793","1.06146831977199e-105","****","center.mean-lossf"
"18","center.mean","max","B","G","0.194284803305588","0.220224979688136","0","****","center.mean-max"
"19","center.mean","MBQN","B","H","0.038245183621887","0.0107528102315421","2.29143115346721e-256","****","center.mean-MBQN"
"20","center.mean","quantiles","B","I","0.00214010550963539","0","5.48292849555105e-07","****","center.mean-quantiles"
"21","center.mean","quantiles.robust","B","J","0.11554473032595","0.078762436930623","0","****","center.mean-quantiles.robust"
"22","center.mean","Rlr","B","K","-0.010298241433163","-0.00210209904354808","4.62986018062519e-92","****","center.mean-Rlr"
"23","center.mean","sum","B","L","0.197308653748424","0.226576279728347","0","****","center.mean-sum"
"24","center.mean","TIC","B","M","0.0513072473760253","0.014769964302917","0","****","center.mean-TIC"
"25","center.mean","vsn","B","N","0.191225035323907","0.215709101783265","0","****","center.mean-vsn"
"26","center.median","div.mean","C","D","0.198214871247442","0.226039955596845","0","****","center.median-div.mean"
"27","center.median","div.median","C","E","0.198183625686359","0.22582097448527","0","****","center.median-div.median"
"28","center.median","lossf","C","F","-0.00763571300217075","-0.000659729229895989","3.50331566337866e-52","****","center.median-lossf"
"29","center.median","max","C","G","0.198353805659163","0.226108866816336","0","****","center.median-max"
"30","center.median","MBQN","C","H","0.0423141859754616","0.013897348763639","1.0346773110378e-314","****","center.median-MBQN"
"31","center.median","quantiles","C","I","0.00620910786321001","0.000559752034246075","9.81096422590444e-39","****","center.median-quantiles"
"32","center.median","quantiles.robust","C","J","0.119613732679524","0.081503077969355","0","****","center.median-quantiles.robust"
"33","center.median","Rlr","C","K","-0.00622923907958839","0","1.24472666999073e-38","****","center.median-Rlr"
"34","center.median","sum","C","L","0.201377656101999","0.231891328682272","0","****","center.median-sum"
"35","center.median","TIC","C","M","0.0553762497296","0.0169373889637879","0","****","center.median-TIC"
"36","center.median","vsn","C","N","0.195294037677482","0.2214516606272","0","****","center.median-vsn"
"37","div.mean","div.median","D","E","-3.12455610828755e-05","0","0.161740453118685","na","div.mean-div.median"
"38","div.mean","lossf","D","F","-0.205850584249613","-0.235794605504915","0","****","div.mean-lossf"
"39","div.mean","max","D","G","0.000138934411720725","0","0.00707915933349045","**","div.mean-max"
"40","div.mean","MBQN","D","H","-0.155900685271981","-0.162177573637184","0","****","div.mean-MBQN"
"41","div.mean","quantiles","D","I","-0.192005763384232","-0.212685232893753","0","****","div.mean-quantiles"
"42","div.mean","quantiles.robust","D","J","-0.0786011385679177","-0.010999649501475","0","****","div.mean-quantiles.robust"
"43","div.mean","Rlr","D","K","-0.204444110327031","-0.235673064244082","0","****","div.mean-Rlr"
"44","div.mean","sum","D","L","0.00316278485455671","0","1.16329226408543e-32","****","div.mean-sum"
