"beta_binomial","edgeR","plgem"
"|Maxquant|count|MLE|blank_pauc001_B.A_HYE5600735_LFQ",0.617497883244202,0.629982874649076,0.506336997125121
"|Maxquant|count|MLE|blank_pauc001_B.A_HYE6600735_LFQ",0.657178847856349,0.656628975736089,0.511909302600962
"|Maxquant|count|MLE|blank_pauc001_B.A_HYEqe735_LFQ",0.638280292929369,0.595859446203807,0.509710679228089
"|Maxquant|count|MLE|blank_pauc001_B.A_HYEtims735_LFQ",0.533924513230879,0.522179716456132,0.500939847044493
"|Maxquant|count|MLE|blank_pauc001_C.B_HYtims134_LFQ",0.499499153858714,0.500012932308602,0.499905222638887
"|Maxquant|count|MLE|blank_pauc001_D.B_HYtims134_LFQ",0.499420592440431,0.501220777802054,0.500187174119733
"|Maxquant|count|MLE|blank_pauc001_D.C_HYtims134_LFQ",0.499963373895746,0.499539299813171,0.500656288803951
"|Maxquant|count|MLE|blank_pauc001_B.A_HEtims425_LFQ",0.499047895640156,0.499770570805488,0.506942764800985
"|Maxquant|count|MLE|blank_pauc001_C.A_HEtims425_LFQ",0.497490522935928,0.502518673690372,0.511991753695506
"|Maxquant|count|MLE|blank_pauc001_C.B_HEtims425_LFQ",0.50034724535492,0.498907748643054,0.50928088998336
"|Maxquant|count|MLE|blank_pauc001_D.C_YUltq006_LFQ",0.499285686621934,0.517483647024981,0.517549284885968
"|Maxquant|count|MLE|blank_pauc001_E.B_YUltq006_LFQ",0.49748743718593,0.502455132806892,0.538397871711499
"|Maxquant|count|MLE|blank_pauc001_D.B_YUltq099_LFQ",0.49748743718593,0.49748743718593,0.503305643865586
"|Maxquant|count|MLE|blank_pauc001_E.C_YUltq099_LFQ",0.49748743718593,0.499198674444652,0.49748743718593
"|Maxquant|count|MLE|blank_pauc001_D.A_YUltq819_LFQ",0.49748743718593,0.49748743718593,0.508825507345287
"|Maxquant|count|MLE|blank_pauc001_F.C_YUltq819_LFQ",0.49748743718593,0.49748743718593,0.507121014036921
"|Maxquant|count|MLE|blank_pauc001_I.H_YUltq819_LFQ",0.49748743718593,0.523006011892261,0.51105941559284
"|Maxquant|count|MLE|blank_pauc001_B.A_HEqe408_LFQ",0.501832456900953,0.508771308630493,0.503104975398674
"|Maxquant|count|MLE|blank_pauc001_B.A_HYqfl683_LFQ",0.543267135319472,0.538660158023281,0.505060756753011
"|Maxquant|count|MLE|blank_pauc001_C.A_HYqfl683_LFQ",0.579038111665373,0.617128493198322,0.512195852990928
"|Maxquant|count|MLE|blank_pauc001_C.B_HYqfl683_LFQ",0.539588558796891,0.504646568723073,0.498464918576889
"|Maxquant|count|MLE|blank_pauc001_B.A_HYEtims777_LFQ",0.532886063691586,0.537885731514016,0.506748190397098
"|Maxquant|count|MLE|sum_pauc001_C.B_HYtims134_LFQ",0.49956454414586,0.499944353338329,0.500770431142077
"|Maxquant|count|MLE|sum_pauc001_D.B_HYtims134_LFQ",0.499014500089813,0.49994673000927,0.502208165129917
"|Maxquant|count|MLE|sum_pauc001_D.C_HYtims134_LFQ",0.500341998668393,0.499956666384095,0.501045523910483
"|Maxquant|count|MLE|sum_pauc001_B.A_HEtims425_LFQ",0.502252648549657,0.499714759613549,0.506189284457769
"|Maxquant|count|MLE|sum_pauc001_C.A_HEtims425_LFQ",0.501391222167649,0.497778965962218,0.503229900334676
"|Maxquant|count|MLE|sum_pauc001_C.B_HEtims425_LFQ",0.499297957815825,0.501140340586039,0.505155417936522
"|Maxquant|count|MLE|sum_pauc001_D.C_YUltq006_LFQ",0.49748743718593,0.49748743718593,0.500979767728125
"|Maxquant|count|MLE|sum_pauc001_E.B_YUltq006_LFQ",0.49748743718593,0.49748743718593,0.510419867934715
"|Maxquant|count|MLE|sum_pauc001_D.B_YUltq099_LFQ",0.49748743718593,0.49748743718593,0.51396229089041
"|Maxquant|count|MLE|sum_pauc001_E.C_YUltq099_LFQ",0.49748743718593,0.49748743718593,0.49748743718593
"|Maxquant|count|MLE|sum_pauc001_D.A_YUltq819_LFQ",0.49748743718593,0.49748743718593,0.504677787105914
"|Maxquant|count|MLE|sum_pauc001_F.C_YUltq819_LFQ",0.49748743718593,0.49748743718593,0.504489391971498
"|Maxquant|count|MLE|sum_pauc001_I.H_YUltq819_LFQ",0.49748743718593,0.49748743718593,0.505631971204535
"|Maxquant|count|MLE|sum_pauc001_B.A_HYqfl683_LFQ",0.526368511032966,0.529009857463556,0.499702656245702
"|Maxquant|count|MLE|sum_pauc001_C.A_HYqfl683_LFQ",0.560425740942137,0.580447559298992,0.498532607943298
"|Maxquant|count|MLE|sum_pauc001_C.B_HYqfl683_LFQ",0.529075523001068,0.506692338211121,0.498854198945565
"|Maxquant|count|MLE|max_pauc001_B.A_HYE5600735_LFQ",0.6094190835589,0.585546926005547,0.51391817593075
"|Maxquant|count|MLE|max_pauc001_B.A_HYE6600735_LFQ",0.562970292342524,0.55895451135064,0.513189348558686
"|Maxquant|count|MLE|max_pauc001_B.A_HYEqe735_LFQ",0.553936363340862,0.546540698601161,0.502139411613404
"|Maxquant|count|MLE|max_pauc001_B.A_HYEtims735_LFQ",0.528973739321408,0.521544822498705,0.500170061768012
"|Maxquant|count|MLE|max_pauc001_C.B_HYtims134_LFQ",0.499579540670925,0.499944353338329,0.501101931652474
"|Maxquant|count|MLE|max_pauc001_D.B_HYtims134_LFQ",0.49936826432067,0.49994673000927,0.501538821235931
