"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","ANOVA","DEP","A","B","-0.208820918403047","-0.216624881947623","0","****","ANOVA-DEP"
"2","ANOVA","DEqMS","A","C","-0.199877997189822","-0.202240525762114","0","****","ANOVA-DEqMS"
"3","ANOVA","limma","A","D","-0.223497050635725","-0.228974439965223","0","****","ANOVA-limma"
"4","ANOVA","proDA","A","E","-0.213336447516967","-0.220678710080413","0","****","ANOVA-proDA"
"5","ANOVA","ROTS","A","F","-0.222686231156104","-0.228536181307847","0","****","ANOVA-ROTS"
"6","ANOVA","SAM","A","G","-0.205440687914568","-0.207856558433108","0","****","ANOVA-SAM"
"7","ANOVA","ttest","A","H","-0.173763929657385","-0.173077854134542","0","****","ANOVA-ttest"
"8","DEP","DEqMS","B","C","0.00894292121322526","0.00489735978817152","5.35422878297245e-217","****","DEP-DEqMS"
"9","DEP","limma","B","D","-0.0146761322326783","0","2.77057913874512e-147","****","DEP-limma"
"10","DEP","proDA","B","E","-0.00451552911391967","0.00165894063607397","8.85501608801379e-12","****","DEP-proDA"
"11","DEP","ROTS","B","F","-0.0138653127530572","-0.00348261965728758","2.68040412137406e-95","****","DEP-ROTS"
"12","DEP","SAM","B","G","0.003380230488479","0.000687014070935021","2.11338660919539e-07","****","DEP-SAM"
"13","DEP","ttest","B","H","0.035056988745662","0.036357075176267","0","****","DEP-ttest"
"14","DEqMS","limma","C","D","-0.0236190534459036","-0.00622935549905895","0","****","DEqMS-limma"
"15","DEqMS","proDA","C","E","-0.0134584503271449","-0.00324596105434954","2.01102971224706e-92","****","DEqMS-proDA"
"16","DEqMS","ROTS","C","F","-0.0228082339662824","-0.00958565680744855","3.11080316358169e-266","****","DEqMS-ROTS"
"17","DEqMS","SAM","C","G","-0.00556269072474626","-0.00481603587725593","5.69427469299263e-19","****","DEqMS-SAM"
"18","DEqMS","ttest","C","H","0.0261140675324368","0.02450374936324","0","****","DEqMS-ttest"
"19","limma","proDA","D","E","0.0101606031187586","0.00144765036822203","3.66923078104878e-150","****","limma-proDA"
"20","limma","ROTS","D","F","0.000810819479621118","-0.00232430247482146","0.0709363298675063","na","limma-ROTS"
"21","limma","SAM","D","G","0.0180563627211573","0.000979945836880491","2.78465259689387e-254","****","limma-SAM"
"22","limma","ttest","D","H","0.0497331209783403","0.038334711517378","0","****","limma-ttest"
"23","proDA","ROTS","E","F","-0.00934978363913752","-0.00558965033435399","5.71061399392041e-57","****","proDA-ROTS"
"24","proDA","SAM","E","G","0.00789575960239867","-0.000118355061243025","2.10765617879291e-35","****","proDA-SAM"
"25","proDA","ttest","E","H","0.0395725178595817","0.034486509564605","0","****","proDA-ttest"
"26","ROTS","SAM","F","G","0.0172455432415362","0.00372300007567244","3.00516512578391e-207","****","ROTS-SAM"
"27","ROTS","ttest","F","H","0.0489223014987192","0.039577085452152","0","****","ROTS-ttest"
"28","SAM","ttest","G","H","0.031676758257183","0.0328001911384539","0","****","SAM-ttest"
