"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","center.mean","A","B","0.00578130685557283","0.00258480142522499","2.37017381976726e-19","****","blank-center.mean"
"2","blank","center.median","A","C","0.00058676304046123","0.000263178325686009","0.352103146017791","na","blank-center.median"
"3","blank","div.mean","A","D","0.00923356312736984","0.00210474663108096","5.27352282560421e-41","****","blank-div.mean"
"4","blank","div.median","A","E","0.00329838031638207","0","4.61999178475981e-07","****","blank-div.median"
"5","blank","lossf","A","F","-0.00273708414679212","-0.000274602460044959","0.00056504742070638","***","blank-lossf"
"6","blank","max","A","G","0.00475958754048124","0","9.19894226298116e-16","****","blank-max"
"7","blank","MBQN","A","H","0.0321886102483623","0.0183013175216079","3.66814775331673e-190","****","blank-MBQN"
"8","blank","quantiles","A","I","0.018768311793387","0.00554325846818104","3.62014774004617e-127","****","blank-quantiles"
"9","blank","quantiles.robust","A","J","0.116624851817516","0.0921913674877389","0","****","blank-quantiles.robust"
"10","blank","Rlr","A","K","-0.000965491083955615","0","0.166645931775799","na","blank-Rlr"
"11","blank","sum","A","L","0.0244798490566384","0.00731806728916506","1.74643652614753e-270","****","blank-sum"
"12","blank","TIC","A","M","0.0279675881753991","0.00412312710241103","8.2690594191327e-138","****","blank-TIC"
"13","blank","vsn","A","N","0.0088728239903177","0","4.76980383672995e-27","****","blank-vsn"
"14","center.mean","center.median","B","C","-0.00519454381511161","-0.00156615895938406","6.7095811541452e-77","****","center.mean-center.median"
"15","center.mean","div.mean","B","D","0.003452256271797","0.000185267526307986","8.38052340162965e-26","****","center.mean-div.mean"
"16","center.mean","div.median","B","E","-0.00248292653919076","-0.00124771899643894","4.81243453447175e-11","****","center.mean-div.median"
"17","center.mean","lossf","B","F","-0.00851839100236495","-0.00423826211061595","1.89353950372824e-50","****","center.mean-lossf"
"18","center.mean","max","B","G","-0.0010217193150916","-0.00166025010745502","0.228849155446767","na","center.mean-max"
"19","center.mean","MBQN","B","H","0.0264073033927895","0.00681819943548501","2.08983924283854e-142","****","center.mean-MBQN"
"20","center.mean","quantiles","B","I","0.0129870049378142","0.00208070398267901","1.03667965784749e-177","****","center.mean-quantiles"
"21","center.mean","quantiles.robust","B","J","0.110843544961943","0.084276325042845","0","****","center.mean-quantiles.robust"
"22","center.mean","Rlr","B","K","-0.00674679793952845","-0.002809902311042","8.78191409788187e-41","****","center.mean-Rlr"
"23","center.mean","sum","B","L","0.0186985422010656","0.00347082126763298","1.20708792495136e-94","****","center.mean-sum"
"24","center.mean","TIC","B","M","0.0221862813198263","0.000516368481256968","1.37351305933899e-95","****","center.mean-TIC"
"25","center.mean","vsn","B","N","0.00309151713474487","-0.00172174085217602","7.18917049473113e-06","****","center.mean-vsn"
"26","center.median","div.mean","C","D","0.00864680008690861","0.00251077866293703","2.33714130863559e-102","****","center.median-div.mean"
"27","center.median","div.median","C","E","0.00271161727592084","8.77261085620029e-05","1.58851251828156e-18","****","center.median-div.median"
"28","center.median","lossf","C","F","-0.00332384718725335","-0.00172058007829701","1.23232238875331e-09","****","center.median-lossf"
"29","center.median","max","C","G","0.00417282450002001","0","8.80767822306407e-07","****","center.median-max"
"30","center.median","MBQN","C","H","0.0316018472079011","0.01198141513952","1.10429088511081e-200","****","center.median-MBQN"
"31","center.median","quantiles","C","I","0.0181815487529258","0.00362757970847694","3.03298900524776e-240","****","center.median-quantiles"
"32","center.median","quantiles.robust","C","J","0.116038088777054","0.0885206935128741","0","****","center.median-quantiles.robust"
"33","center.median","Rlr","C","K","-0.00155225412441684","-0.000357783644488019","0.00137353314429314","**","center.median-Rlr"
"34","center.median","sum","C","L","0.0238930860161772","0.00682560005487198","1.72576561146969e-147","****","center.median-sum"
"35","center.median","TIC","C","M","0.0273808251349379","0.00287164665777306","5.24140522041098e-132","****","center.median-TIC"
"36","center.median","vsn","C","N","0.00828606094985647","0","8.82946021002132e-35","****","center.median-vsn"
"37","div.mean","div.median","D","E","-0.00593518281098777","-0.00157477397361794","5.04922679264152e-95","****","div.mean-div.median"
"38","div.mean","lossf","D","F","-0.011970647274162","-0.00501778580546108","5.86698486654193e-96","****","div.mean-lossf"
"39","div.mean","max","D","G","-0.0044739755868886","-0.000910063021864027","2.0019719230837e-07","****","div.mean-max"
"40","div.mean","MBQN","D","H","0.0229550471209925","0.00331899211619702","2.03424669744303e-108","****","div.mean-MBQN"
"41","div.mean","quantiles","D","I","0.00953474866601719","0.00155280731627594","3.55093848653084e-79","****","div.mean-quantiles"
"42","div.mean","quantiles.robust","D","J","0.107391288690146","0.078919307380198","0","****","div.mean-quantiles.robust"
"43","div.mean","Rlr","D","K","-0.0101990542113255","-0.00314954794723599","5.27947003492471e-89","****","div.mean-Rlr"
"44","div.mean","sum","D","L","0.0152462859292686","0.00228087882261097","2.0906808973002e-60","****","div.mean-sum"
"45","div.mean","TIC","D","M","0.0187340250480293","6.14907447199498e-05","3.40272675998294e-68","****","div.mean-TIC"
"46","div.mean","vsn","D","N","-0.00036073913705214","-0.00219315271404796","0.587863620370279","na","div.mean-vsn"
"47","div.median","lossf","E","F","-0.00603546446317419","-0.00141025693644004","3.18722821663043e-31","****","div.median-lossf"
"48","div.median","max","E","G","0.00146120722409916","0","0.0829638639891154","na","div.median-max"
"49","div.median","MBQN","E","H","0.0288902299319802","0.00839060644421696","4.41828529881477e-172","****","div.median-MBQN"
"50","div.median","quantiles","E","I","0.015469931477005","0.00291852636884593","1.59110707271009e-157","****","div.median-quantiles"
"51","div.median","quantiles.robust","E","J","0.113326471501134","0.0831580057418499","0","****","div.median-quantiles.robust"
